date_number,action,ticker,shares,price,max_position_size,cash,sell_date,clear_date,date,nr
2387,buy,SUPN,66,30.17,2000,8008.78,2411.0,,2023-06-27,2387
2388,buy,SUPN,66,30.16,2000,6018.219999999999,2411.0,,2023-06-28,2388
2388,buy,TR,56,35.11,2000,4052.0599999999995,,,2023-06-28,2388
2389,buy,SUPN,66,29.91,2000,2077.9999999999995,2411.0,,2023-06-29,2389
2389,buy,TR,57,34.97,2000,84.70999999999958,,,2023-06-29,2389
2392,buy,SUPN,2,29.53,84.70999999999958,25.64999999999958,2411.0,,2023-07-05,2392
2400,buy,NOK,6,3.85,25.64999999999958,2.549999999999578,2436.0,,2023-07-17,2400
2411.0,sell,SUPN,66,31.69,2.549999999999578,2.549999999999578,,2414.0,2023-08-01,2411
2411.0,sell,SUPN,66,31.69,2094.0899999999997,2094.0899999999997,,2414.0,2023-08-01,2411
2411.0,sell,SUPN,66,31.69,4185.629999999999,4185.629999999999,,2414.0,2023-08-01,2411
2411.0,sell,SUPN,2,31.69,6277.169999999999,6277.169999999999,,2414.0,2023-08-01,2411
2414.0,clear,SUPN,66,31.69,2.549999999999578,2094.0899999999997,,,2023-08-04,2414
2414.0,clear,SUPN,66,31.69,2094.0899999999997,4185.629999999999,,,2023-08-04,2414
2414.0,clear,SUPN,66,31.69,4185.629999999999,6277.169999999999,,,2023-08-04,2414
2414.0,clear,SUPN,2,31.69,6277.169999999999,6340.549999999999,,,2023-08-04,2414
2414,buy,IRDM,40,49.7,2000,4352.549999999999,,,2023-08-04,2414
2415,buy,NEP,40,49.74,2000,440.14999999999895,,,2023-08-07,2415
2415,buy,MTZ,20,96.14,2000,2429.749999999999,,,2023-08-07,2415
2416,buy,CPB,10,43.31,440.14999999999895,7.049999999998931,,,2023-08-08,2416
2436.0,sell,NOK,6,4.05,7.049999999998931,7.049999999998931,,2439.0,2023-09-06,2436
2439.0,clear,NOK,6,4.05,7.049999999998931,31.34999999999893,,,2023-09-11,2439
2441,buy,BOX,1,25.23,31.34999999999893,6.119999999998928,2497.0,,2023-09-13,2441
2451,buy,ABEV,2,2.53,6.119999999998928,1.0599999999989285,2478.0,,2023-09-27,2451
2478.0,sell,ABEV,2,2.7,1.0599999999989285,1.0599999999989285,,2481.0,2023-11-03,2478
2481.0,clear,ABEV,2,2.7,1.0599999999989285,6.459999999998929,,,2023-11-08,2481
2497.0,sell,BOX,1,26.57,6.459999999998929,6.459999999998929,,2500.0,2023-12-01,2497
2500.0,clear,BOX,1,26.57,6.459999999998929,33.02999999999893,,,2023-12-06,2500
2519,buy,FLEX,1,23.18,33.02999999999893,9.849999999998929,2538.0,,2024-01-04,2519
2538.0,sell,FLEX,1,25.04,1.7999999999989278,1.7999999999989278,,2541.0,2024-02-01,2538
2540,buy,ELP,1,8.05,9.849999999998929,1.7999999999989278,,,2024-02-05,2540
2541.0,clear,FLEX,1,25.04,1.7999999999989278,26.839999999998927,,,2024-02-06,2541
2541,buy,FLEX,1,24.17,26.839999999998927,2.6699999999989252,2543.0,,2024-02-06,2541
2543.0,sell,FLEX,1,25.54,2.6699999999989252,2.6699999999989252,,2546.0,2024-02-08,2543
2546.0,clear,FLEX,1,25.54,2.6699999999989252,28.209999999998924,,,2024-02-13,2546
2547,buy,LEG,1,19.82,28.209999999998924,8.389999999998924,,,2024-02-14,2547
