Ticker,Earning Date
IFF,2024-02-20
IFF,2023-11-06
IFF,2023-08-07
IFF,2023-05-08
IFF,2023-02-08
IFF,2022-11-07
IFF,2022-08-08
IFF,2022-05-09
IFF,2022-02-09
IFF,2021-11-08
IFF,2021-08-05
IFF,2021-05-10
IFF,2021-02-10
IFF,2020-11-09
IFF,2020-08-10
IFF,2020-05-11
IFF,2020-02-12
IFF,2019-11-04
IFF,2019-08-05
IFF,2019-05-06
IFF,2019-02-13
IFF,2018-11-05
IFF,2018-08-07
IFF,2018-05-07
IFF,2018-02-14
IFF,2017-11-06
IFF,2017-08-08
IFF,2017-05-08
IFF,2017-02-15
IFF,2016-11-07
IFF,2016-08-08
IFF,2016-05-09
IFF,2016-02-10
IFF,2015-11-09
IFF,2015-08-10
IFF,2015-05-12
IFF,2015-02-12
IFF,2024-05-13
