Ticker,Earning Date
IP,2024-02-01
IP,2023-10-26
IP,2023-07-27
IP,2023-04-27
IP,2023-01-31
IP,2022-10-27
IP,2022-07-28
IP,2022-04-28
IP,2022-01-27
IP,2021-10-27
IP,2021-07-29
IP,2021-04-29
IP,2021-02-04
IP,2020-10-29
IP,2020-07-30
IP,2020-04-30
IP,2020-01-30
IP,2019-10-31
IP,2019-07-25
IP,2019-04-25
IP,2019-01-31
IP,2018-10-25
IP,2018-07-26
IP,2018-04-26
IP,2018-02-01
IP,2017-10-25
IP,2017-07-27
IP,2017-04-27
IP,2017-02-02
IP,2016-10-27
IP,2016-07-28
IP,2016-04-27
IP,2016-02-03
IP,2015-10-28
IP,2015-07-29
IP,2015-04-29
IP,2015-01-28
IP,2024-04-25
