Ticker,Earning Date
IPG,2024-02-08
IPG,2023-10-20
IPG,2023-07-21
IPG,2023-04-27
IPG,2023-02-09
IPG,2022-10-21
IPG,2022-07-21
IPG,2022-04-28
IPG,2022-02-10
IPG,2021-10-21
IPG,2021-07-21
IPG,2021-04-28
IPG,2021-02-10
IPG,2020-10-21
IPG,2020-07-29
IPG,2020-04-22
IPG,2020-02-12
IPG,2019-10-22
IPG,2019-07-23
IPG,2019-04-26
IPG,2019-02-13
IPG,2018-10-19
IPG,2018-07-24
IPG,2018-04-27
IPG,2018-02-14
IPG,2017-10-24
IPG,2017-07-25
IPG,2017-04-21
IPG,2017-02-10
IPG,2016-10-21
IPG,2016-07-21
IPG,2016-04-22
IPG,2016-02-12
IPG,2015-10-21
IPG,2015-07-22
IPG,2015-04-24
IPG,2015-02-13
IPG,2024-04-25
