Ticker,Earning Date
NXST,2024-02-28
NXST,2023-11-08
NXST,2023-08-08
NXST,2023-05-09
NXST,2023-02-28
NXST,2022-11-08
NXST,2022-08-04
NXST,2022-05-10
NXST,2022-02-22
NXST,2021-11-02
NXST,2021-08-04
NXST,2021-05-04
NXST,2021-02-23
NXST,2020-11-05
NXST,2020-08-05
NXST,2020-05-06
NXST,2020-02-26
NXST,2019-11-06
NXST,2019-08-07
NXST,2019-05-08
NXST,2019-02-26
NXST,2018-11-08
NXST,2018-08-08
NXST,2018-05-09
NXST,2018-02-27
NXST,2017-11-06
NXST,2017-08-08
NXST,2017-05-09
NXST,2017-02-28
NXST,2016-11-08
NXST,2016-08-09
NXST,2016-05-03
NXST,2016-02-25
NXST,2015-11-03
NXST,2015-08-06
NXST,2015-05-07
NXST,2015-02-26
NXST,2024-05-14
