Ticker,Earning Date
SYNA,2024-02-08
SYNA,2023-11-09
SYNA,2023-08-03
SYNA,2023-05-03
SYNA,2023-02-02
SYNA,2022-11-03
SYNA,2022-08-04
SYNA,2022-05-05
SYNA,2022-02-03
SYNA,2021-11-04
SYNA,2021-08-05
SYNA,2021-05-06
SYNA,2021-02-04
SYNA,2020-11-05
SYNA,2020-08-05
SYNA,2020-05-07
SYNA,2020-02-06
SYNA,2019-11-07
SYNA,2019-08-08
SYNA,2019-05-09
SYNA,2019-02-07
SYNA,2018-11-08
SYNA,2018-08-09
SYNA,2018-05-09
SYNA,2018-02-07
SYNA,2017-11-07
SYNA,2017-08-03
SYNA,2017-04-27
SYNA,2017-01-26
SYNA,2016-10-27
SYNA,2016-07-28
SYNA,2016-04-28
SYNA,2016-01-28
SYNA,2015-10-22
SYNA,2015-07-30
SYNA,2015-04-23
SYNA,2015-01-29
SYNA,2024-05-01
