Ticker,Earning Date
TEF,2024-02-22
TEF,2023-11-08
TEF,2023-07-27
TEF,2023-05-11
TEF,2023-02-23
TEF,2022-11-04
TEF,2022-07-28
TEF,2022-05-12
TEF,2022-02-24
TEF,2021-11-04
TEF,2021-07-29
TEF,2021-05-13
TEF,2021-02-25
TEF,2020-10-29
TEF,2020-07-30
TEF,2020-05-07
TEF,2020-02-20
TEF,2019-11-05
TEF,2019-07-25
TEF,2019-05-10
TEF,2019-02-21
TEF,2018-10-31
TEF,2018-07-26
TEF,2018-04-26
TEF,2018-02-22
TEF,2017-10-26
TEF,2017-07-27
TEF,2017-05-10
TEF,2017-02-23
TEF,2016-10-27
TEF,2016-07-28
TEF,2016-04-29
TEF,2016-02-26
TEF,2015-11-06
TEF,2015-07-30
TEF,2015-05-14
TEF,2015-02-25
TEF,2024-05-09
