Ticker,Earning Date
TEL,2024-01-24
TEL,2023-11-01
TEL,2023-07-26
TEL,2023-04-26
TEL,2023-01-25
TEL,2022-11-02
TEL,2022-07-27
TEL,2022-04-27
TEL,2022-01-26
TEL,2021-10-27
TEL,2021-07-28
TEL,2021-04-21
TEL,2021-01-27
TEL,2020-10-28
TEL,2020-07-29
TEL,2020-04-28
TEL,2020-01-29
TEL,2019-10-30
TEL,2019-07-24
TEL,2019-04-24
TEL,2019-01-23
TEL,2018-10-31
TEL,2018-07-25
TEL,2018-04-25
TEL,2018-01-24
TEL,2017-11-01
TEL,2017-07-26
TEL,2017-04-26
TEL,2017-01-25
TEL,2016-11-02
TEL,2016-07-20
TEL,2016-04-20
TEL,2016-01-20
TEL,2015-10-28
TEL,2015-07-22
TEL,2015-04-22
TEL,2015-01-28
TEL,2024-04-24
