Ticker,Earning Date
URBN,2024-02-27
URBN,2023-11-21
URBN,2023-08-22
URBN,2023-05-23
URBN,2023-02-28
URBN,2022-11-21
URBN,2022-08-23
URBN,2022-05-24
URBN,2022-03-01
URBN,2021-11-22
URBN,2021-08-24
URBN,2021-05-25
URBN,2021-03-02
URBN,2020-11-23
URBN,2020-08-25
URBN,2020-05-19
URBN,2020-03-03
URBN,2019-11-19
URBN,2019-08-20
URBN,2019-05-21
URBN,2019-03-05
URBN,2018-11-19
URBN,2018-08-21
URBN,2018-05-22
URBN,2018-03-06
URBN,2017-11-20
URBN,2017-08-15
URBN,2017-05-16
URBN,2017-03-07
URBN,2016-11-22
URBN,2016-08-16
URBN,2016-05-18
URBN,2016-03-07
URBN,2015-11-16
URBN,2015-08-17
URBN,2015-05-18
URBN,2015-03-09
URBN,2024-05-28
