Ticker,Earning Date
WIT,2024-01-12
WIT,2023-10-18
WIT,2023-07-13
WIT,2023-04-27
WIT,2023-01-13
WIT,2022-10-12
WIT,2022-07-20
WIT,2022-04-29
WIT,2022-01-12
WIT,2021-10-13
WIT,2021-07-15
WIT,2021-04-15
WIT,2021-01-13
WIT,2020-10-13
WIT,2020-07-14
WIT,2020-04-15
WIT,2020-01-14
WIT,2019-10-15
WIT,2019-07-17
WIT,2019-04-16
WIT,2019-01-18
WIT,2018-10-24
WIT,2018-07-20
WIT,2018-04-25
WIT,2018-01-19
WIT,2017-10-17
WIT,2017-07-20
WIT,2017-04-25
WIT,2017-01-25
WIT,2016-10-21
WIT,2016-07-19
WIT,2016-04-20
WIT,2016-01-18
WIT,2015-10-21
WIT,2015-07-23
WIT,2015-04-21
WIT,2015-01-16
WIT,2024-04-25
