Ticker,Earning Date
XRX,2024-01-25
XRX,2023-10-24
XRX,2023-07-25
XRX,2023-04-25
XRX,2023-01-26
XRX,2022-10-25
XRX,2022-07-26
XRX,2022-04-21
XRX,2022-01-25
XRX,2021-10-26
XRX,2021-07-27
XRX,2021-04-20
XRX,2021-01-26
XRX,2020-10-27
XRX,2020-07-28
XRX,2020-04-28
XRX,2020-01-28
XRX,2019-10-29
XRX,2019-07-30
XRX,2019-04-25
XRX,2019-01-29
XRX,2018-10-23
XRX,2018-07-26
XRX,2018-05-02
XRX,2018-01-31
XRX,2017-10-26
XRX,2017-08-01
XRX,2017-04-25
XRX,2017-01-31
XRX,2016-10-28
XRX,2016-07-29
XRX,2016-04-25
XRX,2016-01-29
XRX,2015-10-26
XRX,2015-07-24
XRX,2015-04-24
XRX,2015-01-30
XRX,2024-04-23
