Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.340000,19.500000,19.290001,19.400000,5.659261,3677600
2014-01-03,19.500000,19.709999,19.379999,19.590000,5.714691,5445700
2014-01-06,19.639999,19.879999,19.620001,19.760000,5.764278,4727600
2014-01-07,19.879999,20.049999,19.639999,19.950001,5.819705,5992500
2014-01-08,19.889999,19.920000,19.750000,19.870001,5.796368,4430000
2014-01-09,19.889999,19.900000,19.639999,19.780001,5.770113,4683600
2014-01-10,20.190001,20.200001,19.930000,20.139999,5.875129,3843900
2014-01-13,20.100000,20.520000,19.990000,20.450001,5.965561,8462100
2014-01-14,20.440001,20.450001,20.129999,20.160000,5.880966,3291100
2014-01-15,20.090000,20.379999,20.070000,20.150000,5.878047,3520300
2014-01-16,20.120001,20.299999,20.070000,20.280001,5.915968,2867500
2014-01-17,20.260000,20.290001,20.180000,20.250000,5.907217,2220900
2014-01-21,20.330000,20.629999,20.190001,20.570000,6.000565,4919100
2014-01-22,20.520000,20.620001,20.360001,20.559999,5.997651,3888200
2014-01-23,20.639999,20.900000,20.510000,20.840000,6.079332,4530700
2014-01-24,20.900000,21.120001,20.799999,20.809999,6.070578,6570100
2014-01-27,20.940001,21.010000,20.580000,20.670000,6.029738,4809000
2014-01-28,20.900000,20.920000,20.549999,20.680000,6.032657,3685400
2014-01-29,20.709999,20.830000,20.500000,20.750000,6.053078,3077700
2014-01-30,20.700001,20.799999,20.570000,20.719999,6.044325,6210300
2014-01-31,20.780001,21.100000,20.740000,20.950001,6.111417,6027000
2014-02-03,21.020000,21.170000,20.959999,21.059999,6.143505,10769800
2014-02-04,21.100000,21.660000,21.000000,21.330000,6.222272,13524500
2014-02-05,21.549999,21.920000,21.520000,21.770000,6.350627,9181300
2014-02-06,21.860001,22.100000,21.620001,21.650000,6.315620,6805200
2014-02-07,21.639999,22.040001,21.530001,21.980000,6.411881,8747000
2014-02-10,21.980000,22.170000,21.940001,22.129999,6.455641,4873800
2014-02-11,22.150000,22.219999,21.920000,21.959999,6.406051,6109800
2014-02-12,21.950001,22.080000,21.900000,22.000000,6.417718,4720900
2014-02-13,21.940001,22.200001,21.879999,22.120001,6.452728,3182300
2014-02-14,22.129999,22.150000,21.959999,22.040001,6.429387,4099900
2014-02-18,22.020000,22.480000,21.930000,22.480000,6.557744,5469900
2014-02-19,22.490000,22.500000,22.280001,22.309999,6.508149,5715300
2014-02-20,22.320000,22.370001,22.090000,22.160000,6.464395,3398500
2014-02-21,22.080000,22.230000,21.930000,22.020000,6.423553,5731100
2014-02-24,22.100000,22.150000,21.990000,22.049999,6.432305,5135600
2014-02-25,22.110001,22.230000,22.000000,22.129999,6.455641,4423400
2014-02-26,22.200001,22.350000,22.170000,22.309999,6.508149,3643900
2014-02-27,22.360001,22.400000,22.219999,22.379999,6.528569,3012300
2014-02-28,22.410000,22.469999,22.230000,22.290001,6.502318,7528100
2014-03-03,22.200001,22.650000,22.200001,22.600000,6.592746,4297500
2014-03-04,22.650000,22.650000,22.219999,22.590000,6.589831,5056600
2014-03-05,22.629999,22.690001,22.469999,22.650000,6.607333,2972800
2014-03-06,22.610001,22.719999,22.540001,22.549999,6.578162,3075900
2014-03-07,22.299999,22.299999,21.910000,22.010000,6.420636,6410600
2014-03-10,22.040001,22.250000,22.020000,22.100000,6.446892,3383500
2014-03-11,22.129999,22.309999,21.980000,22.020000,6.423553,2739100
2014-03-12,21.990000,22.440001,21.969999,22.440001,6.546072,3587400
2014-03-13,22.450001,22.750000,22.389999,22.660000,6.610249,6955900
2014-03-14,22.610001,22.840000,22.530001,22.559999,6.581077,2848100
2014-03-17,22.559999,22.639999,22.450001,22.500000,6.563578,3926700
2014-03-18,22.480000,22.680000,22.450001,22.639999,6.604416,2374600
2014-03-19,22.670000,22.750000,22.059999,22.070000,6.438140,9936600
2014-03-20,22.020000,22.059999,21.629999,21.950001,6.403132,9642800
2014-03-21,22.000000,22.480000,21.950001,22.480000,6.557744,11243600
2014-03-24,22.270000,22.379999,22.030001,22.219999,6.481897,4494400
2014-03-25,22.160000,22.209999,22.030001,22.030001,6.620129,4240600
2014-03-26,22.180000,22.180000,21.889999,21.900000,6.581063,5828000
2014-03-27,21.299999,21.400000,21.040001,21.260000,6.584161,4583300
2014-03-28,21.270000,21.410000,21.200001,21.250000,6.581062,2458600
2014-03-31,21.270000,21.570000,21.120001,21.490000,6.655389,4623900
2014-04-01,21.430000,21.670000,21.330000,21.639999,6.701849,3895300
2014-04-02,21.639999,21.770000,21.480000,21.500000,6.658490,5208600
2014-04-03,21.510000,21.590000,21.290001,21.510000,6.661585,4149600
2014-04-04,21.570000,21.879999,21.549999,21.809999,6.754493,4512300
2014-04-07,21.740000,22.150000,21.740000,21.959999,6.800948,4448600
2014-04-08,21.910000,23.030001,21.910000,22.070000,6.835016,5431800
2014-04-09,22.090000,22.350000,21.980000,22.309999,6.909338,4695500
2014-04-10,22.270000,22.500000,22.230000,22.330000,6.915537,4506200
2014-04-11,22.320000,22.540001,22.219999,22.389999,6.934118,3366700
2014-04-14,22.379999,22.520000,22.020000,22.219999,6.881469,3998000
2014-04-15,22.160000,22.299999,22.059999,22.219999,6.881469,4431600
2014-04-16,22.110001,22.209999,22.080000,22.110001,6.847405,3712400
2014-04-17,22.049999,22.200001,21.780001,21.879999,6.776172,6391600
2014-04-21,21.860001,22.139999,21.840000,22.129999,6.853595,2748600
2014-04-22,22.150000,22.410000,22.139999,22.360001,6.924831,4254100
2014-04-23,22.410000,22.500000,22.360001,22.379999,6.931020,3405800
2014-04-24,22.360001,22.639999,22.350000,22.570000,6.989864,3033600
2014-04-25,22.580000,22.780001,22.510000,22.770000,7.051805,4000900
2014-04-28,22.870001,22.879999,22.559999,22.590000,6.996058,6548200
2014-04-29,22.820000,22.820000,22.260000,22.400000,6.937215,7909900
2014-04-30,22.299999,22.750000,22.299999,22.709999,7.033223,4030300
2014-05-01,22.700001,22.889999,22.670000,22.850000,7.076577,3484300
2014-05-02,22.590000,22.740000,22.459999,22.510000,6.971286,6166300
2014-05-05,22.490000,22.750000,22.440001,22.690001,7.027027,2960300
2014-05-06,22.620001,22.730000,22.610001,22.709999,7.033223,1811900
2014-05-07,22.719999,23.100000,22.700001,23.100000,7.154003,4677700
2014-05-08,22.980000,23.270000,22.780001,23.020000,7.129227,4689000
2014-05-09,22.980000,23.240000,22.980000,23.100000,7.154003,2956800
2014-05-12,23.080000,23.240000,22.900000,22.940001,7.104450,4260500
2014-05-13,22.959999,23.010000,22.830000,22.980000,7.116842,3621200
2014-05-14,23.000000,23.219999,22.969999,23.180000,7.178778,3393400
2014-05-15,23.120001,23.340000,23.070000,23.230000,7.194263,6384900
2014-05-16,23.190001,23.270000,23.090000,23.200001,7.184972,2495600
2014-05-19,23.219999,23.389999,23.129999,23.340000,7.228330,2537000
2014-05-20,23.379999,23.440001,23.209999,23.250000,7.200457,1889500
2014-05-21,23.200001,23.410000,23.150000,23.340000,7.228330,2524800
2014-05-22,23.340000,23.570000,23.290001,23.430000,7.256200,3860300
2014-05-23,23.450001,23.680000,23.360001,23.580000,7.302660,4330300
2014-05-27,23.590000,23.830000,23.580000,23.790001,7.367696,4404200
2014-05-28,23.870001,23.870001,23.580000,23.650000,7.324335,4041400
2014-05-29,23.690001,23.740000,23.500000,23.559999,7.296460,1913000
2014-05-30,23.469999,23.790001,23.459999,23.730000,7.349110,4264000
2014-06-02,23.750000,23.889999,23.700001,23.709999,7.342914,2422500
2014-06-03,23.660000,23.700001,23.430000,23.450001,7.262396,2854700
2014-06-04,23.440001,23.450001,23.240000,23.360001,7.234524,3784100
2014-06-05,23.430000,23.629999,23.370001,23.629999,7.318143,3098100
2014-06-06,23.629999,23.799999,23.620001,23.760000,7.358405,3184800
2014-06-09,23.799999,23.870001,23.670000,23.820000,7.376981,4466700
2014-06-10,23.809999,23.850000,23.540001,23.549999,7.293363,4744800
2014-06-11,23.570000,23.700001,23.459999,23.590000,7.305755,2495800
2014-06-12,23.639999,23.700001,23.510000,23.680000,7.333623,2184900
2014-06-13,23.639999,23.719999,23.450001,23.680000,7.333623,4117700
2014-06-16,23.700001,23.709999,23.570000,23.650000,7.324335,2075500
2014-06-17,23.670000,23.680000,23.330000,23.400000,7.246913,3792100
2014-06-18,23.570000,23.600000,23.260000,23.459999,7.265494,6170600
2014-06-19,23.570000,23.770000,23.500000,23.730000,7.349110,6311300
