Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,24.799999,24.889999,24.700001,24.850000,15.225953,4632800
2017-08-17,24.940001,25.049999,24.850000,24.950001,15.287230,1797500
2017-08-18,24.950001,25.049999,24.900000,24.980000,15.305609,507500
2017-08-21,24.980000,25.100000,24.900000,24.950001,15.287230,186800
2017-08-22,25.000000,25.100000,24.940001,25.010000,15.323987,385000
2017-08-23,25.049999,25.190001,25.020000,25.070000,15.360753,236400
2017-08-24,25.059999,25.150000,25.004999,25.020000,15.330118,430400
2017-08-25,25.090000,25.190001,25.000000,25.090000,15.373011,140200
2017-08-28,25.010000,25.250000,25.010000,25.090000,15.373011,307200
2017-08-29,25.080000,25.100000,25.030001,25.070000,15.360753,198400
2017-08-30,25.059999,25.170000,25.059999,25.090000,15.373011,167900
2017-08-31,25.120001,25.129999,25.059999,25.090000,15.373011,278800
2017-09-01,25.090000,25.129999,25.049999,25.120001,15.391387,245000
2017-09-05,25.190001,25.190001,25.070000,25.070000,15.360753,262900
2017-09-06,25.139999,25.229000,25.080000,25.229000,15.458176,187400
2017-09-07,25.250000,25.340000,25.160000,25.340000,15.526182,178800
2017-09-08,25.250000,25.379999,25.250000,25.349001,15.531702,101800
2017-09-11,25.400000,25.400000,25.290001,25.320000,15.513931,141400
2017-09-12,25.340000,25.389999,25.290001,25.370001,15.544565,166000
2017-09-13,25.320000,25.389999,25.240000,25.309999,15.507798,205300
2017-09-14,25.280001,25.450001,25.280001,25.379999,15.550694,306900
2017-09-15,25.389999,25.389999,25.290001,25.330000,15.520061,271200
2017-09-18,25.350000,25.450001,25.290001,25.450001,15.593582,400400
2017-09-19,25.450001,25.450001,25.350000,25.389999,15.556824,201600
2017-09-20,25.430000,25.480000,25.360001,25.400000,15.562947,168900
2017-09-21,25.389999,25.469999,25.350000,25.360001,15.538442,386000
2017-09-22,25.330000,25.420000,25.320000,25.400000,15.562947,140400
2017-09-25,25.420000,25.469999,25.400000,25.454000,15.596032,110300
2017-09-26,25.490000,25.530001,25.430000,25.500000,15.624220,145200
2017-09-27,25.469999,25.600000,25.440001,25.540001,15.648728,225400
2017-09-28,25.379999,25.500000,25.299999,25.480000,15.771281,207500
2017-09-29,25.490000,25.940001,25.400999,25.840000,15.994112,213600
2017-10-02,25.860001,25.860001,25.639999,25.750000,15.938408,92100
2017-10-03,25.790001,25.790001,25.650000,25.660000,15.882698,50200
2017-10-04,25.650000,25.830000,25.639999,25.680000,15.895079,89500
2017-10-05,25.750000,25.799999,25.700001,25.770000,15.950783,134700
2017-10-06,25.700001,25.790001,25.580000,25.750000,15.938408,178400
2017-10-09,25.750000,25.850000,25.700001,25.719999,15.919835,211500
2017-10-10,25.790001,25.799999,25.664000,25.730000,15.926024,151800
2017-10-11,25.709999,25.850000,25.709999,25.799999,15.969350,155400
2017-10-12,25.820000,25.940001,25.805000,25.910000,16.037439,161900
2017-10-13,25.940001,26.170000,25.910000,26.139999,16.179800,130700
2017-10-16,26.030001,26.450001,26.030001,26.190001,16.210751,115800
2017-10-17,26.200001,26.270000,26.139999,26.200001,16.216940,117500
2017-10-18,26.260000,26.530001,26.200001,26.440001,16.365492,153100
2017-10-19,26.400000,26.490000,26.350000,26.459999,16.377869,162900
2017-10-20,26.490000,26.504999,26.270000,26.450001,16.371683,1268100
2017-10-23,26.430000,26.709999,26.370001,26.540001,16.427387,92200
2017-10-24,26.570000,26.570000,26.200001,26.459999,16.377869,79600
2017-10-25,26.510000,26.670000,26.309000,26.459999,16.377869,128300
2017-10-26,26.400000,26.611000,26.372999,26.590000,16.458334,115400
2017-10-27,26.590000,26.790001,26.500000,26.559999,16.439766,82000
2017-10-30,26.600000,26.650000,26.538000,26.549999,16.433577,89800
2017-10-31,26.650000,26.790001,26.600000,26.750000,16.557371,46100
2017-11-01,26.750000,26.750000,26.420000,26.490000,16.396439,95400
2017-11-02,26.600000,26.600000,26.405001,26.480000,16.390247,74300
2017-11-03,26.480000,26.490000,26.410000,26.430000,16.359297,39700
2017-11-06,26.400000,26.420000,26.347000,26.350000,16.309784,12400
2017-11-07,26.480000,26.480000,26.247999,26.360001,16.315979,30900
2017-11-08,26.440001,26.440001,26.160000,26.209999,16.223127,85600
2017-11-09,26.200001,26.377001,26.059999,26.110001,16.161234,59000
2017-11-10,26.280001,26.299999,26.110001,26.250000,16.247887,454100
2017-11-13,26.490000,26.490000,26.129999,26.150000,16.185991,21800
2017-11-14,26.150000,26.480000,25.990000,26.260000,16.254074,27500
2017-11-15,26.480000,26.490000,26.205999,26.469999,16.384058,133000
2017-11-16,26.480000,26.480000,25.809999,25.820000,15.981731,126200
2017-11-17,25.799999,25.950001,25.580000,25.799999,15.969350,159900
2017-11-20,25.900000,26.020000,25.850000,25.860001,16.006489,58500
2017-11-21,25.860001,25.990000,25.790001,25.840000,15.994112,34800
2017-11-22,25.900000,26.082001,25.799999,25.980000,16.080761,107400
2017-11-24,26.080000,26.080000,26.010000,26.028000,16.110477,5300
2017-11-27,26.020000,26.049999,25.910000,26.010000,16.099337,22800
2017-11-28,26.030001,26.030001,25.870001,25.990000,16.086958,37100
2017-11-29,26.000000,26.000000,25.780001,25.900000,16.031252,101300
