Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,42.009998,42.090000,41.500000,41.580002,33.967140,788800
2014-01-03,41.540001,41.639999,41.160000,41.459999,33.869118,819600
2014-01-06,41.480000,41.610001,41.240002,41.299999,33.738400,670400
2014-01-07,41.380001,41.750000,41.369999,41.709999,34.073338,769900
2014-01-08,41.700001,41.860001,41.450001,41.700001,34.065174,726900
2014-01-09,41.799999,41.830002,41.470001,41.599998,33.983471,697700
2014-01-10,41.680000,42.410000,41.619999,41.990002,34.302067,941400
2014-01-13,41.939999,42.070000,41.529999,41.590000,33.975311,530700
2014-01-14,41.650002,41.910000,41.340000,41.509998,33.909962,450100
2014-01-15,41.599998,41.599998,41.180000,41.279999,33.722073,633400
2014-01-16,41.259998,41.540001,41.200001,41.509998,33.909962,777200
2014-01-17,41.680000,41.680000,41.230000,41.529999,33.926300,932000
2014-01-21,41.110001,41.930000,41.110001,41.860001,34.195885,710200
2014-01-22,41.820000,42.189999,41.820000,42.110001,34.400108,519800
2014-01-23,41.959999,42.169998,41.820000,42.160000,34.440937,622200
2014-01-24,42.000000,42.150002,41.740002,41.830002,34.171356,717200
2014-01-27,41.840000,42.049999,41.650002,41.650002,34.024319,646700
2014-01-28,41.660000,42.020000,41.660000,41.790001,34.138699,730100
2014-01-29,41.669998,42.009998,41.660000,41.959999,34.277573,841300
2014-01-30,42.000000,42.560001,41.750000,42.500000,34.951942,942700
2014-01-31,42.230000,42.680000,42.070000,42.570000,35.009495,1076400
2014-02-03,42.500000,42.970001,41.980000,42.310001,34.795685,1134700
2014-02-04,42.490002,42.490002,41.610001,41.759998,34.343349,1303300
2014-02-05,41.669998,41.750000,41.160000,41.160000,33.849915,976900
2014-02-06,41.189999,41.799999,41.070000,41.700001,34.294018,591500
2014-02-07,41.860001,42.310001,41.770000,42.279999,34.771011,612300
2014-02-10,42.349998,42.450001,41.910000,42.340000,34.820354,557600
2014-02-11,42.270000,42.750000,42.200001,42.709999,35.124634,1009700
2014-02-12,42.750000,43.080002,42.549999,42.900002,35.280888,576400
2014-02-13,42.720001,43.570000,42.590000,43.570000,35.831894,695200
2014-02-14,43.599998,43.689999,43.330002,43.599998,35.856575,494400
2014-02-18,43.720001,43.880001,43.419998,43.669998,35.914135,558800
2014-02-19,43.520000,43.990002,43.470001,43.630001,35.881256,607800
2014-02-20,43.590000,44.070000,43.410000,44.060001,36.234879,504000
2014-02-21,44.029999,44.450001,43.880001,44.270000,36.407585,650000
2014-02-24,44.360001,44.500000,43.849998,43.869999,36.078629,593300
2014-02-25,43.730000,44.500000,43.709999,43.950001,36.144421,785900
2014-02-26,44.130001,44.270000,43.810001,43.869999,36.078629,491300
2014-02-27,43.750000,44.290001,43.369999,44.020000,36.201992,538800
2014-02-28,44.200001,45.150002,44.060001,44.840000,36.876350,957900
2014-03-03,44.660000,44.689999,44.080002,44.150002,36.308903,978000
2014-03-04,44.500000,44.730000,44.310001,44.470001,36.572060,717100
2014-03-05,44.419998,44.549999,44.040001,44.349998,36.473370,822900
2014-03-06,44.500000,44.650002,44.259998,44.360001,36.481590,784800
2014-03-07,44.410000,44.500000,44.049999,44.349998,36.473370,722600
2014-03-10,44.349998,44.560001,44.139999,44.430000,36.539162,840300
2014-03-11,44.259998,44.330002,43.630001,43.849998,36.062168,884400
2014-03-12,43.740002,44.279999,43.689999,44.270000,36.407585,584800
2014-03-13,44.439999,45.049999,44.259998,44.990002,36.999714,878800
2014-03-14,45.040001,45.860001,44.990002,45.560001,37.468468,1101900
2014-03-17,45.630001,45.630001,44.990002,45.130001,37.114849,645400
2014-03-18,45.240002,45.720001,45.150002,45.490002,37.410912,788100
2014-03-19,45.540001,45.759998,44.820000,44.910000,36.933914,525500
2014-03-20,44.759998,44.939999,44.549999,44.660000,36.728306,733400
2014-03-21,44.930000,45.529999,44.709999,45.060001,37.057278,1120500
2014-03-24,45.259998,45.480000,44.959999,45.169998,37.147736,567200
2014-03-25,45.369999,45.369999,44.939999,45.049999,37.049053,454700
2014-03-26,45.049999,45.200001,44.419998,44.439999,36.547382,668500
2014-03-27,44.560001,44.980000,44.259998,44.959999,36.975033,567000
2014-03-28,45.009998,45.290001,44.980000,45.130001,37.114849,640100
2014-03-31,45.279999,45.740002,44.970001,45.400002,37.336899,1052600
2014-04-01,45.380001,45.439999,44.860001,45.160000,37.139507,887900
2014-04-02,45.150002,45.639999,44.889999,45.520000,37.435574,589000
2014-04-03,45.549999,45.830002,45.430000,45.529999,37.443802,618200
2014-04-04,45.680000,46.230000,45.500000,45.790001,37.657631,786400
2014-04-07,45.740002,46.020000,45.439999,45.470001,37.394463,664700
2014-04-08,45.419998,45.560001,44.959999,45.480000,37.402679,1072700
2014-04-09,45.599998,45.700001,45.099998,45.669998,37.558941,690800
2014-04-10,45.610001,46.040001,45.340000,45.529999,37.443802,956200
2014-04-11,45.520000,45.730000,45.369999,45.500000,37.419132,876800
2014-04-14,45.770000,45.980000,45.400002,45.750000,37.624722,801200
2014-04-15,45.560001,45.810001,45.110001,45.660000,37.550705,859800
2014-04-16,45.770000,45.970001,45.419998,45.970001,37.805664,900800
2014-04-17,45.990002,46.209999,45.560001,45.669998,37.558941,578000
2014-04-21,45.900002,46.130001,45.570000,45.790001,37.657631,515800
2014-04-22,45.880001,46.160000,45.630001,46.009998,37.838554,614500
2014-04-23,46.110001,46.279999,45.790001,45.860001,37.715191,783600
2014-04-24,45.880001,46.209999,45.599998,46.000000,37.830330,602300
2014-04-25,45.959999,46.130001,45.750000,46.119999,37.929012,662900
2014-04-28,46.209999,46.580002,45.939999,46.450001,38.200401,1105000
2014-04-29,46.500000,46.630001,45.849998,45.889999,37.739864,691700
2014-04-30,45.970001,46.150002,45.490002,45.529999,37.443802,758100
2014-05-01,45.660000,46.220001,45.430000,46.220001,38.011261,671100
2014-05-02,46.169998,46.650002,45.820000,46.169998,37.970131,812900
2014-05-05,46.180000,46.570000,45.959999,46.560001,38.290867,586500
2014-05-06,46.380001,46.650002,46.020000,46.180000,37.978359,561600
