Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,17.290001,17.330000,16.750000,17.000000,11.090593,161900
2014-01-03,17.120001,17.299999,16.950001,17.170000,11.201500,131400
2014-01-06,17.139999,17.570000,16.980000,17.410000,11.358073,259300
2014-01-07,17.410000,17.410000,16.950001,16.980000,11.077545,164000
2014-01-08,16.950001,17.160000,16.760000,16.959999,11.064497,163000
2014-01-09,16.610001,16.879999,16.510000,16.770000,10.940545,159000
2014-01-10,16.910000,17.260000,16.889999,17.230000,11.240642,126600
2014-01-13,17.190001,17.260000,16.660000,16.879999,11.012306,131800
2014-01-14,16.910000,17.170000,16.830000,17.090000,11.149308,123400
2014-01-15,17.090000,17.240000,16.889999,17.070000,11.136260,145500
2014-01-16,17.030001,17.100000,16.750000,16.940001,11.051450,67900
2014-01-17,16.610001,16.740000,16.420000,16.590000,10.823114,340900
2014-01-21,16.459999,16.629999,16.120001,16.629999,10.849210,274800
2014-01-22,16.459999,16.549999,16.230000,16.540001,10.790497,252200
2014-01-23,16.250000,16.270000,15.600000,15.850000,10.340348,288500
2014-01-24,15.730000,15.900000,15.470000,15.700000,10.242489,247700
2014-01-27,15.670000,15.710000,15.230000,15.540000,10.138107,161800
2014-01-28,15.500000,15.710000,15.360000,15.580000,10.164203,129000
2014-01-29,15.190000,15.670000,15.130000,15.440000,10.072868,131500
2014-01-30,15.390000,15.570000,15.250000,15.440000,10.072868,238200
2014-01-31,14.890000,15.400000,14.870000,15.150000,9.883677,274100
2014-02-03,15.220000,15.230000,14.600000,14.650000,9.557484,215400
2014-02-04,14.830000,15.040000,14.670000,14.870000,9.701007,200200
2014-02-05,14.540000,14.640000,14.270000,14.520000,9.472672,189900
2014-02-06,14.540000,14.890000,14.530000,14.870000,9.701007,235900
2014-02-07,14.740000,15.000000,14.420000,14.920000,9.733627,334700
2014-02-10,14.870000,15.000000,14.620000,14.690000,9.583578,192200
2014-02-11,14.700000,15.310000,14.700000,15.210000,9.922819,223800
2014-02-12,15.420000,15.550000,15.020000,15.090000,9.844532,229900
2014-02-13,15.010000,15.760000,14.960000,15.700000,10.242489,356800
2014-02-14,15.530000,16.219999,15.530000,16.129999,10.523016,297000
2014-02-18,15.580000,15.670000,14.860000,14.870000,9.701007,328200
2014-02-19,14.170000,14.710000,14.150000,14.500000,9.459624,381900
2014-02-20,14.530000,15.300000,14.380000,15.220000,9.929345,297300
2014-02-21,15.270000,15.470000,14.880000,15.010000,9.792341,204000
2014-02-24,14.770000,14.890000,14.560000,14.670000,9.570530,554400
2014-02-25,14.520000,14.520000,14.030000,14.130000,9.218241,305400
2014-02-26,14.190000,14.270000,14.020000,14.180000,9.250859,249600
2014-02-27,14.190000,14.510000,14.120000,14.510000,9.466147,202000
2014-02-28,14.160000,14.250000,13.700000,13.900000,9.068192,402000
2014-03-03,13.690000,13.860000,13.270000,13.610000,8.878999,199800
2014-03-04,14.250000,14.400000,13.600000,13.750000,8.970333,170700
2014-03-05,13.540000,13.730000,13.420000,13.530000,8.826808,174600
2014-03-06,13.640000,13.720000,13.530000,13.570000,8.852903,223400
2014-03-07,13.390000,13.390000,12.830000,12.940000,8.441898,374500
2014-03-10,12.940000,13.010000,12.620000,12.750000,8.317945,280700
2014-03-11,12.940000,13.280000,12.760000,12.880000,8.402756,187900
2014-03-12,12.810000,13.060000,12.560000,13.060000,8.520185,329800
2014-03-13,13.150000,13.250000,12.880000,12.890000,8.409279,174000
2014-03-14,12.680000,13.030000,12.640000,12.830000,8.370135,176000
2014-03-17,12.830000,13.080000,12.800000,12.970000,8.461471,169300
2014-03-18,12.950000,13.710000,12.910000,13.650000,8.905095,330800
2014-03-19,13.590000,14.390000,13.570000,14.080000,9.185621,391400
2014-03-20,14.040000,14.690000,13.910000,14.390000,9.387862,274100
2014-03-21,14.130000,14.740000,14.130000,14.600000,9.524864,272500
2014-03-24,14.680000,14.920000,14.470000,14.880000,9.707532,320800
2014-03-25,14.850000,14.970000,14.720000,14.810000,9.661863,498500
2014-03-26,14.970000,15.060000,14.610000,14.720000,9.603150,366600
2014-03-27,14.870000,15.630000,14.810000,15.510000,10.118534,399900
2014-03-28,15.580000,15.990000,15.460000,15.580000,10.164203,355300
2014-03-31,15.620000,15.760000,15.510000,15.620000,10.190299,152500
2014-04-01,15.410000,15.570000,15.030000,15.140000,9.877152,679000
2014-04-02,15.150000,15.810000,15.130000,15.550000,10.144631,603400
2014-04-03,15.620000,15.630000,15.140000,15.240000,9.942391,316700
2014-04-04,15.600000,15.840000,15.420000,15.500000,10.112012,332900
2014-04-07,15.730000,16.040001,15.560000,15.720000,10.255537,398300
2014-04-08,16.030001,16.059999,15.190000,15.340000,10.007629,322900
2014-04-09,14.970000,15.130000,14.680000,15.000000,9.785818,437100
2014-04-10,15.110000,15.170000,14.780000,14.900000,9.720579,654000
2014-04-11,14.820000,14.990000,14.590000,14.690000,9.583578,245500
2014-04-14,14.790000,14.800000,14.420000,14.700000,9.590101,234000
2014-04-15,14.680000,14.680000,14.110000,14.550000,9.492244,541200
2014-04-16,14.050000,14.320000,13.920000,14.190000,9.621754,349900
2014-04-17,14.080000,14.540000,13.920000,14.520000,9.845514,366900
2014-04-21,14.740000,14.740000,14.270000,14.460000,9.804832,122200
2014-04-22,14.300000,14.450000,14.120000,14.280000,9.682779,249600
2014-04-23,14.230000,14.230000,14.030000,14.110000,9.567508,272300
2014-04-24,14.190000,14.190000,13.790000,14.000000,9.492921,327400
2014-04-25,13.910000,13.960000,13.620000,13.700000,9.289502,153500
2014-04-28,13.590000,13.670000,13.330000,13.620000,9.235256,372400
2014-04-29,13.850000,14.020000,13.520000,13.560000,9.194573,368300
2014-04-30,13.480000,13.730000,13.390000,13.600000,9.221694,153500
2014-05-01,13.540000,13.640000,13.410000,13.580000,9.208134,75600
2014-05-02,13.720000,14.130000,13.670000,13.980000,9.479359,229200
2014-05-05,14.080000,14.250000,13.850000,14.030000,9.513263,276600
2014-05-06,14.060000,14.340000,14.040000,14.260000,9.669218,257100
2014-05-07,14.180000,14.570000,14.030000,14.550000,9.865858,286300
2014-05-08,14.440000,14.480000,14.200000,14.330000,9.716683,569700
2014-05-09,14.370000,14.430000,13.750000,13.880000,9.411553,443900
2014-05-12,13.730000,14.050000,13.720000,14.020000,9.506483,472900
2014-05-13,13.960000,14.110000,13.800000,13.980000,9.479359,369100
2014-05-14,13.910000,13.990000,13.840000,13.910000,9.431895,369300
2014-05-15,13.820000,13.870000,13.600000,13.620000,9.235256,261400
2014-05-16,13.880000,13.900000,13.620000,13.770000,9.336966,270600
2014-05-19,13.640000,13.650000,13.420000,13.460000,9.126765,474400
2014-05-20,13.350000,13.530000,13.110000,13.120000,8.896222,139900
2014-05-21,13.290000,13.470000,13.270000,13.390000,9.079303,192800
2014-05-22,13.410000,13.460000,13.150000,13.440000,9.113205,244300
2014-05-23,13.440000,13.530000,13.170000,13.230000,8.970810,203500
2014-05-27,13.310000,13.310000,12.880000,12.940000,8.774171,262500
2014-05-28,12.950000,13.070000,12.800000,13.030000,8.835196,228500
2014-05-29,13.070000,13.190000,12.970000,13.170000,8.930127,242700
2014-05-30,13.050000,13.170000,12.890000,13.010000,8.821636,350200
2014-06-02,12.880000,13.220000,12.760000,13.140000,8.909785,255000
2014-06-03,13.120000,13.290000,13.030000,13.150000,8.916565,204000
2014-06-04,13.190000,13.190000,12.880000,12.930000,8.767392,222500
2014-06-05,13.160000,13.220000,12.900000,13.050000,8.848759,249600
2014-06-06,13.270000,13.430000,13.130000,13.380000,9.072520,273600
2014-06-09,13.530000,13.870000,13.500000,13.770000,9.336966,178100
2014-06-10,13.700000,13.880000,13.470000,13.550000,9.187792,297500
2014-06-11,13.600000,13.640000,13.510000,13.570000,9.201353,294700
2014-06-12,13.570000,13.590000,13.340000,13.420000,9.099644,219900
2014-06-13,13.440000,13.460000,13.230000,13.370000,9.065740,186000
2014-06-16,13.330000,13.450000,13.170000,13.240000,8.977592,210900
2014-06-17,13.150000,13.230000,12.950000,13.150000,8.916565,181500
2014-06-18,13.100000,13.620000,13.090000,13.600000,9.221694,183900
2014-06-19,13.670000,13.760000,13.340000,13.450000,9.119984,165000
2014-06-20,13.470000,13.800000,13.430000,13.630000,9.242037,172900
2014-06-23,13.590000,13.670000,13.410000,13.480000,9.140326,110100
2014-06-24,13.420000,13.520000,13.280000,13.310000,9.025056,248500
2014-06-25,13.400000,13.430000,13.040000,13.130000,8.903006,282700
2014-06-26,13.070000,13.170000,12.930000,13.140000,8.909785,321700
2014-06-27,13.090000,13.090000,12.860000,13.010000,8.821636,233900
2014-06-30,12.940000,12.990000,12.760000,12.850000,8.713146,163900
2014-07-01,12.890000,12.990000,12.710000,12.800000,8.679243,172300
2014-07-02,12.700000,12.820000,12.550000,12.810000,8.686024,253900
2014-07-03,12.850000,13.300000,12.850000,13.260000,8.991153,198900
2014-07-07,12.990000,13.220000,12.940000,13.160000,8.923346,181700
2014-07-08,13.170000,13.210000,13.020000,13.110000,8.889442,139300
2014-07-09,13.170000,13.460000,13.110000,13.230000,8.970810,169100
2014-07-10,13.150000,13.300000,13.130000,13.210000,8.957250,329300
2014-07-11,13.220000,13.450000,13.170000,13.380000,9.072520,209400
2014-07-14,13.480000,13.600000,13.410000,13.470000,9.133547,345700
2014-07-15,13.480000,13.530000,13.340000,13.430000,9.106423,501600
2014-07-16,13.400000,13.470000,12.860000,13.030000,8.835196,554000
2014-07-17,12.840000,12.860000,12.600000,12.640000,8.570753,305300
2014-07-18,12.850000,12.870000,12.490000,12.520000,8.489385,416200
2014-07-21,12.520000,12.550000,12.370000,12.520000,8.489385,283600
2014-07-22,12.540000,12.620000,12.460000,12.580000,8.530067,355400
2014-07-23,12.450000,12.530000,12.310000,12.480000,8.462261,400800
2014-07-24,12.590000,12.850000,12.540000,12.830000,8.699584,301600
2014-07-25,12.690000,12.910000,12.670000,12.780000,8.665681,336900
2014-07-28,12.780000,12.850000,12.680000,12.800000,8.679243,174400
2014-07-29,12.740000,12.800000,12.410000,12.470000,8.455482,186700
2014-07-30,12.450000,12.530000,12.200000,12.480000,8.462261,232300
2014-07-31,12.240000,12.410000,12.180000,12.410000,8.414796,199200
2014-08-01,12.410000,12.520000,12.140000,12.390000,8.401236,231200
2014-08-04,12.430000,12.450000,12.210000,12.390000,8.401236,134300
2014-08-05,12.280000,12.430000,12.190000,12.300000,8.340210,140300
2014-08-06,12.380000,12.820000,12.310000,12.800000,8.679243,438400
2014-08-07,12.800000,12.800000,12.560000,12.590000,8.536849,264900
2014-08-08,12.430000,12.540000,12.330000,12.420000,8.421576,422700
2014-08-11,12.440000,12.620000,12.420000,12.560000,8.516506,186800
2014-08-12,12.470000,12.750000,12.440000,12.710000,8.618217,168700
2014-08-13,12.840000,13.090000,12.770000,13.030000,8.835196,390500
2014-08-14,13.100000,13.170000,13.020000,13.110000,8.889442,250700
2014-08-15,13.370000,13.420000,13.060000,13.350000,9.052179,506600
2014-08-18,13.390000,13.530000,13.330000,13.490000,9.147106,343900
2014-08-19,13.430000,13.620000,13.330000,13.620000,9.235256,550900
2014-08-20,13.660000,13.820000,13.390000,13.500000,9.153889,257600
2014-08-21,13.530000,13.570000,13.300000,13.370000,9.065740,244700
2014-08-22,13.340000,13.450000,13.070000,13.280000,9.004714,311400
2014-08-25,13.450000,13.460000,13.330000,13.440000,9.113205,109800
2014-08-26,13.520000,13.630000,13.340000,13.570000,9.201353,248000
2014-08-27,13.620000,13.800000,13.420000,13.730000,9.309843,189500
2014-08-28,13.780000,13.830000,13.580000,13.680000,9.275941,255000
2014-08-29,13.770000,13.770000,13.470000,13.650000,9.255598,326500
2014-09-02,13.730000,14.230000,13.710000,14.040000,9.520044,439800
2014-09-03,14.060000,14.170000,13.800000,14.000000,9.492921,918900
2014-09-04,14.050000,14.180000,13.970000,14.120000,9.574288,360000
2014-09-05,14.070000,14.090000,13.850000,13.900000,9.425115,203700
2014-09-08,13.860000,13.880000,13.440000,13.470000,9.133547,290000
2014-09-09,13.270000,13.340000,13.010000,13.100000,8.882663,257800
2014-09-10,12.940000,13.050000,12.790000,13.040000,8.841979,269000
2014-09-11,13.070000,13.260000,13.010000,13.160000,8.923346,236100
2014-09-12,12.810000,13.120000,12.800000,13.020000,8.828417,292300
2014-09-15,13.010000,13.220000,12.900000,13.220000,8.964030,212500
2014-09-16,13.450000,13.900000,13.440000,13.610000,9.228476,280400
