Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,30.219999,30.271999,29.604000,29.860001,25.463923,880500
2014-01-03,29.952000,30.124001,29.836000,29.972000,25.559437,640750
2014-01-06,30.091999,30.091999,29.704000,29.712000,25.337711,1081500
2014-01-07,29.788000,30.016001,29.680000,29.908001,25.504868,1122000
2014-01-08,29.864000,29.944000,29.375999,29.632000,25.269487,1883000
2014-01-09,29.695999,29.952000,29.604000,29.875999,25.477564,1418500
2014-01-10,30.020000,30.195999,29.931999,30.080000,25.651535,925000
2014-01-13,30.219999,31.488001,30.219999,31.288000,26.681692,2181000
2014-01-14,31.364000,31.448000,31.132000,31.275999,26.671461,1896750
2014-01-15,31.260000,31.528000,31.044001,31.520000,26.879534,1124750
2014-01-16,31.732000,32.172001,31.591999,32.088001,27.363914,1993500
2014-01-17,32.132000,32.304001,31.664000,31.680000,27.015984,2214250
2014-01-21,31.959999,32.088001,31.743999,32.012001,27.299103,1197250
2014-01-22,31.968000,32.063999,31.652000,31.808001,27.125134,1480750
2014-01-23,31.716000,31.771999,31.444000,31.568001,26.920467,954000
2014-01-24,31.459999,31.608000,31.100000,31.104000,26.524778,1015250
2014-01-27,31.096001,31.556000,31.052000,31.340000,26.726025,1567500
2014-01-28,31.360001,31.959999,31.351999,31.832001,27.145603,1346250
2014-01-29,30.104000,31.596001,30.104000,31.204000,26.610054,1412000
2014-01-30,31.292000,31.600000,30.908001,31.219999,26.623705,1793500
2014-01-31,30.796000,31.096001,30.548000,30.799999,26.265539,1708750
2014-02-03,30.747999,30.980000,30.216000,30.412001,25.934660,2051750
2014-02-04,30.676001,30.716000,30.375999,30.691999,26.173429,1246250
2014-02-05,30.587999,30.736000,30.323999,30.340000,25.873260,1231500
2014-02-06,30.396000,30.884001,30.312000,30.860001,26.316711,800500
2014-02-07,30.952000,31.452000,30.823999,31.431999,26.804491,1105500
2014-02-10,31.368000,31.500000,31.035999,31.416000,26.790852,964500
2014-02-11,31.408001,31.788000,31.260000,31.771999,27.094431,1341000
2014-02-12,31.992001,32.076000,31.743999,31.980000,27.271816,1166750
2014-02-13,31.844000,32.271999,31.736000,32.236000,27.490120,856500
2014-02-14,32.124001,32.436001,32.035999,32.380001,27.612923,1105250
2014-02-18,32.444000,32.604000,32.259998,32.448002,27.670912,916000
2014-02-19,32.307999,32.723999,32.264000,32.408001,27.636808,755500
2014-02-20,32.424000,32.796001,32.127998,32.616001,27.814177,865500
2014-02-21,32.627998,32.695999,32.444000,32.672001,27.861927,1061500
2014-02-24,32.900002,33.312000,32.667999,33.243999,28.349726,1281750
2014-02-25,33.444000,33.639999,33.216000,33.560001,28.619207,2035750
2014-02-26,33.639999,33.875999,33.160000,33.195999,28.308786,1292000
2014-02-27,33.164001,33.507999,33.080002,33.372002,28.458878,975000
2014-02-28,33.408001,33.652000,33.231998,33.520000,28.585093,919500
2014-03-03,33.391998,33.504002,33.051998,33.268002,28.370188,939000
2014-03-04,33.596001,33.796001,33.540001,33.720001,28.755646,1415750
2014-03-05,34.619999,35.327999,34.403999,34.844002,29.816738,1944000
2014-03-06,34.944000,35.304001,34.728001,35.279999,30.189835,1197000
2014-03-07,35.400002,35.492001,34.959999,35.240002,30.155600,1157750
2014-03-10,35.236000,35.344002,35.056000,35.256001,30.169300,953250
2014-03-11,35.411999,35.411999,35.012001,35.180000,30.104261,816000
2014-03-12,34.980000,35.144001,34.740002,35.023998,29.970762,1061250
2014-03-13,35.172001,35.200001,34.591999,34.804001,29.782501,838500
2014-03-14,34.748001,35.175999,34.748001,34.852001,29.823587,890250
2014-03-17,34.956001,35.344002,34.860001,35.344002,30.244600,965000
2014-03-18,35.327999,35.591999,35.228001,35.551998,30.422583,962500
2014-03-19,35.644001,35.939999,35.363998,35.624001,30.484201,1308500
2014-03-20,35.476002,35.812000,35.259998,35.784000,30.621119,1089250
2014-03-21,36.096001,36.459999,35.779999,35.896000,30.716949,2550250
2014-03-24,35.956001,36.144001,35.195999,35.203999,30.124788,1928250
2014-03-25,35.332001,35.608002,35.195999,35.304001,30.210373,1301250
2014-03-26,35.400002,35.976002,35.212002,35.523998,30.398621,1205750
2014-03-27,35.391998,35.820000,35.200001,35.520000,30.395208,1666000
2014-03-28,35.540001,35.868000,35.360001,35.584000,30.449972,860500
2014-03-31,35.692001,35.916000,35.520000,35.875999,30.699835,1270750
2014-04-01,36.108002,36.108002,35.644001,35.872002,30.696405,868750
2014-04-02,35.863998,36.099998,35.599998,35.731998,30.576603,1486500
2014-04-03,35.804001,35.875999,35.520000,35.743999,30.586891,1936750
2014-04-04,35.952000,36.119999,35.380001,35.492001,30.371246,1069750
2014-04-07,35.599998,35.599998,35.299999,35.332001,30.234333,1025500
2014-04-08,35.327999,35.675999,35.228001,35.608002,30.470510,983000
2014-04-09,35.807999,36.200001,35.660000,36.192001,30.970245,1533000
2014-04-10,36.180000,36.411999,35.619999,35.692001,30.542385,1315250
2014-04-11,35.596001,35.908001,34.936001,34.967999,29.922850,1575750
2014-04-14,35.099998,35.335999,34.416000,34.688000,29.683249,2063000
2014-04-15,34.860001,34.860001,34.183998,34.796001,29.775667,1524250
2014-04-16,35.116001,35.484001,34.888000,35.476002,30.357559,848500
2014-04-17,35.332001,35.680000,35.116001,35.568001,30.436274,2913750
2014-04-21,35.599998,35.872002,35.411999,35.599998,30.463659,656000
2014-04-22,35.476002,35.672001,35.167999,35.312000,30.217220,1046750
2014-04-23,35.372002,35.391998,35.035999,35.155998,30.083719,947250
2014-04-24,35.259998,35.619999,35.183998,35.439999,30.326756,1607000
2014-04-25,35.439999,35.608002,35.195999,35.480000,30.360975,950000
2014-04-28,35.660000,35.855999,35.327999,35.768002,30.607428,947000
2014-04-29,35.924000,36.268002,35.672001,35.928001,30.744337,1148000
2014-04-30,35.891998,35.928001,35.512001,35.888000,30.710104,909000
2014-05-01,35.807999,36.043999,35.588001,35.936001,30.751181,632500
2014-05-02,35.860001,36.251999,35.768002,36.223999,30.997627,881250
2014-05-05,36.175999,36.560001,35.967999,36.480000,31.216690,987000
2014-05-06,36.284000,36.372002,35.852001,35.911999,30.730652,1357000
2014-05-07,35.964001,36.304001,35.939999,36.251999,31.021599,722000
2014-05-08,36.212002,36.419998,35.972000,36.068001,30.864136,552250
2014-05-09,36.000000,36.216000,35.840000,36.183998,30.963402,685000
2014-05-12,36.316002,36.504002,36.127998,36.228001,31.001049,785000
2014-05-13,36.228001,36.424000,36.175999,36.352001,31.107164,822500
2014-05-14,36.400002,36.644001,36.304001,36.540001,31.268047,949750
2014-05-15,36.424000,36.556000,36.043999,36.164001,30.946287,826000
2014-05-16,36.155998,36.908001,36.136002,36.855999,31.538441,787750
2014-05-19,36.816002,36.900002,36.584000,36.612000,31.329653,603750
2014-05-20,36.612000,36.731998,36.116001,36.155998,30.939445,773500
2014-05-21,36.216000,36.647999,36.155998,36.599998,31.319386,750750
2014-05-22,36.596001,36.987999,36.396000,36.751999,31.449446,709000
2014-05-23,36.820000,36.820000,36.396000,36.568001,31.291988,628250
2014-05-27,36.512001,36.896000,36.512001,36.804001,31.493952,501250
2014-05-28,36.883999,36.888000,36.495998,36.520000,31.250921,611000
2014-05-29,36.551998,37.015999,36.551998,36.911999,31.586359,541250
2014-05-30,36.908001,37.119999,36.835999,37.068001,31.719870,972250
2014-06-02,37.372002,37.908001,36.972000,37.436001,32.135330,1111250
2014-06-03,37.528000,37.608002,37.088001,37.160000,31.898417,1667000
2014-06-04,37.167999,37.327999,36.835999,37.259998,31.984232,1454250
2014-06-05,37.259998,37.896000,36.880001,37.868000,32.506153,1214750
2014-06-06,37.891998,37.944000,37.523998,37.796001,32.444363,1085000
2014-06-09,37.672001,37.896000,37.251999,37.348000,32.059788,1204500
2014-06-10,37.240002,37.584000,37.228001,37.472000,32.166225,1159250
2014-06-11,37.532001,37.688000,37.368000,37.568001,32.248634,614750
2014-06-12,37.532001,37.796001,37.344002,37.535999,32.221172,637750
2014-06-13,37.504002,37.748001,37.355999,37.456001,32.152485,450750
2014-06-16,37.363998,37.576000,37.360001,37.528000,32.214291,1072000
2014-06-17,37.467999,37.672001,37.259998,37.588001,32.265820,571500
2014-06-18,37.604000,38.408001,37.456001,38.388000,32.952530,962500
2014-06-19,38.368000,38.667999,38.316002,38.660000,33.186020,875500
2014-06-20,38.860001,38.860001,38.363998,38.563999,33.103611,1359250
2014-06-23,38.464001,38.580002,38.035999,38.136002,32.736210,756250
2014-06-24,38.000000,38.035999,37.759998,37.768002,32.420319,773000
2014-06-25,37.768002,38.000000,37.624001,37.900002,32.533646,673750
2014-06-26,37.880001,37.939999,37.528000,37.604000,32.279541,540750
2014-06-27,37.467999,37.768002,37.403999,37.695999,32.358521,763500
2014-06-30,37.632000,38.251999,37.540001,37.667999,32.334480,1097000
2014-07-01,37.792000,38.112000,37.720001,37.948002,32.574825,1038000
2014-07-02,37.872002,38.127998,37.608002,37.759998,32.413445,777750
2014-07-03,37.731998,38.043999,37.700001,37.771999,32.423752,887250
2014-07-07,37.796001,38.231998,37.736000,38.127998,32.729343,830250
2014-07-08,38.147999,38.264000,37.664001,37.688000,32.351643,950750
2014-07-09,37.844002,37.844002,37.543999,37.636002,32.307007,807250
2014-07-10,37.335999,37.616001,37.208000,37.515999,32.203995,487250
2014-07-11,37.596001,37.664001,37.256001,37.540001,32.224609,456250
2014-07-14,37.787998,37.796001,37.411999,37.571999,32.252079,525250
2014-07-15,37.504002,37.599998,37.276001,37.335999,32.049484,790750
2014-07-16,37.368000,37.368000,37.040001,37.119999,31.864069,701750
2014-07-17,36.995998,37.139999,36.612000,36.655998,31.465769,437250
2014-07-18,36.816002,37.320000,36.543999,37.071999,31.822872,775000
2014-07-21,36.824001,36.959999,36.619999,36.807999,31.596247,558500
2014-07-22,36.804001,37.259998,36.723999,37.119999,31.864069,795750
2014-07-23,37.119999,37.236000,36.824001,36.860001,31.640882,614000
2014-07-24,37.028000,37.028000,36.664001,36.787998,31.579088,791500
2014-07-25,36.664001,36.987999,36.448002,36.580002,31.400520,755750
2014-07-28,36.528000,36.716000,35.799999,36.116001,31.002234,1423250
2014-07-29,36.063999,36.492001,36.000000,36.020000,30.919827,1120250
2014-07-30,36.060001,36.112000,35.212002,35.268002,30.274321,1387000
2014-07-31,35.243999,35.268002,34.591999,34.660000,29.752394,1632250
2014-08-01,34.647999,35.292000,34.599998,35.020000,30.061420,1348250
2014-08-04,34.984001,35.416000,34.980000,35.352001,30.346415,1121000
2014-08-05,35.180000,35.624001,35.119999,35.355999,30.349842,1213500
2014-08-06,35.292000,36.248001,35.292000,36.228001,31.098366,1346500
2014-08-07,36.383999,36.400002,35.908001,36.127998,31.012531,1018750
2014-08-08,36.296001,36.675999,35.944000,36.660000,31.469200,786500
2014-08-11,36.467999,36.992001,36.007999,36.820000,31.606560,1169750
2014-08-12,36.776001,36.816002,36.624001,36.736000,31.534443,951500
2014-08-13,36.964001,36.964001,36.540001,36.712002,31.513849,727250
2014-08-14,36.743999,37.040001,36.743999,36.964001,31.730164,832500
2014-08-15,37.152000,37.259998,36.703999,37.116001,31.860630,818750
2014-08-18,37.200001,37.268002,37.000000,37.180000,31.915579,619000
2014-08-19,37.147999,37.344002,37.076000,37.200001,31.932747,977000
2014-08-20,37.212002,37.243999,36.948002,37.080002,31.829729,614250
2014-08-21,37.080002,37.411999,37.076000,37.096001,31.843477,939750
2014-08-22,37.015999,37.299999,36.827999,36.967999,31.733595,1125750
2014-08-25,37.312000,37.408001,37.056000,37.363998,32.073521,1104500
2014-08-26,37.363998,37.448002,36.840000,36.896000,31.671797,1514500
2014-08-27,36.563999,37.060001,36.500000,36.820000,31.606560,735750
2014-08-28,36.599998,36.827999,36.348000,36.608002,31.424570,1097000
2014-08-29,36.779999,37.112000,36.563999,37.063999,31.816002,1146500
2014-09-02,37.023998,37.316002,36.804001,36.883999,31.661497,1051000
2014-09-03,37.035999,37.124001,36.664001,36.779999,31.572222,1289000
2014-09-04,36.764000,36.944000,36.636002,36.720001,31.620438,691250
2014-09-05,36.731998,36.883999,36.464001,36.883999,31.761663,594750
2014-09-08,36.723999,36.771999,35.928001,36.268002,31.231209,1172250
2014-09-09,36.155998,36.287998,35.900002,36.116001,31.100319,920500
2014-09-10,36.203999,36.363998,35.959999,36.228001,31.196760,478250
