Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,11.410000,11.620000,11.350000,11.510000,11.055117,3498300
2014-01-03,11.510000,11.700000,11.320000,11.380000,10.930251,1507000
2014-01-06,11.450000,11.520000,11.320000,11.390000,10.939857,1844000
2014-01-07,11.240000,11.550000,11.240000,11.480000,11.026300,1243200
2014-01-08,11.470000,11.550000,11.320000,11.450000,10.997486,1123900
2014-01-09,11.320000,11.400000,11.080000,11.210000,10.766971,1635300
2014-01-10,11.370000,11.400000,11.170000,11.350000,10.901441,1850500
2014-01-13,11.450000,11.970000,11.380000,11.970000,11.496935,2284700
2014-01-14,11.830000,12.280000,11.580000,11.620000,11.160769,2191900
2014-01-15,11.600000,12.030000,11.520000,11.990000,11.516144,2087000
2014-01-16,12.060000,12.170000,11.970000,12.130000,11.650613,2176600
2014-01-17,12.260000,12.430000,12.160000,12.280000,11.794684,2197400
2014-01-21,12.500000,12.730000,12.210000,12.690000,12.188480,2329300
2014-01-22,12.690000,13.140000,12.520000,12.900000,12.390181,2558000
2014-01-23,13.080000,13.500000,13.030000,13.100000,12.582277,2121800
2014-01-24,13.270000,13.470000,13.000000,13.310000,12.783978,1953400
2014-01-27,13.490000,13.490000,12.700000,12.730000,12.226901,2230900
2014-01-28,12.700000,12.990000,12.520000,12.870000,12.361366,1241700
2014-01-29,13.060000,13.120000,12.850000,13.000000,12.486229,1930900
2014-01-30,12.690000,12.940000,12.540000,12.600000,12.102037,1442600
2014-01-31,12.670000,12.780000,12.240000,12.400000,11.909941,2227300
2014-02-03,12.480000,12.480000,11.720000,11.740000,11.276025,2629400
2014-02-04,11.710000,11.850000,11.340000,11.450000,10.997486,2883100
2014-02-05,11.580000,11.760000,11.310000,11.390000,10.939857,2943000
2014-02-06,11.410000,11.530000,11.080000,11.180000,10.738158,2288500
2014-02-07,11.230000,11.430000,11.100000,11.270000,10.824602,4066900
2014-02-10,11.400000,11.720000,11.370000,11.710000,11.247211,3336500
2014-02-11,11.860000,12.630000,11.860000,12.420000,11.929152,3620700
2014-02-12,12.480000,12.600000,12.260000,12.310000,11.823500,2252100
2014-02-13,12.300000,12.670000,12.180000,12.560000,12.063620,2057400
2014-02-14,12.830000,13.000000,12.770000,12.930000,12.418996,2319600
2014-02-18,12.980000,13.200000,12.880000,13.080000,12.563068,2171600
2014-02-19,13.010000,13.160000,12.810000,12.830000,12.322948,2749800
2014-02-20,12.810000,13.210000,12.800000,13.110000,12.591880,1569400
2014-02-21,13.110000,13.500000,13.090000,13.440000,12.908839,2634000
2014-02-24,13.580000,13.600000,13.310000,13.470000,12.937654,1842100
2014-02-25,13.260000,13.430000,12.960000,12.990000,12.476625,1314100
2014-02-26,12.920000,12.950000,12.680000,12.820000,12.313344,1673400
2014-02-27,12.860000,12.960000,12.520000,12.530000,12.034803,1297000
2014-02-28,12.490000,13.570000,12.490000,12.600000,12.102037,3656200
2014-03-03,12.980000,13.290000,12.940000,13.080000,12.563068,2402300
2014-03-04,12.990000,13.160000,12.870000,12.890000,12.380577,2345300
2014-03-05,12.880000,13.130000,12.820000,12.950000,12.438205,1362700
2014-03-06,13.070000,13.270000,13.030000,13.160000,12.639904,1276100
2014-03-07,12.960000,13.210000,12.840000,12.880000,12.370972,1879800
2014-03-10,12.730000,13.130000,12.720000,12.850000,12.342157,1369400
2014-03-11,13.010000,13.120000,12.660000,12.900000,12.390181,1824900
2014-03-12,13.080000,13.320000,12.880000,13.050000,12.534253,2993800
2014-03-13,13.300000,13.760000,13.070000,13.570000,13.033702,3629000
2014-03-14,13.800000,14.100000,13.770000,14.000000,13.446707,2414100
2014-03-17,13.940000,14.120000,13.700000,13.790000,13.245007,2166900
2014-03-18,13.460000,13.600000,13.040000,13.330000,12.803186,3303900
2014-03-19,13.170000,13.420000,12.900000,12.950000,12.438205,1932700
2014-03-20,12.880000,13.000000,12.630000,12.850000,12.342157,2228800
2014-03-21,13.120000,13.140000,12.750000,12.850000,12.342157,5256600
2014-03-24,12.660000,12.990000,12.580000,12.580000,12.082826,1825700
2014-03-25,12.720000,12.790000,12.610000,12.650000,12.150062,1351000
2014-03-26,12.700000,12.850000,12.040000,12.070000,11.592982,2253500
2014-03-27,12.040000,12.660000,11.960000,12.630000,12.130853,2220300
2014-03-28,12.160000,12.940000,12.160000,12.850000,12.342157,1582800
2014-03-31,12.800000,12.950000,12.460000,12.570000,12.073223,1492900
2014-04-01,12.610000,12.960000,12.580000,12.790000,12.284528,1220200
2014-04-02,12.980000,13.160000,12.920000,12.970000,12.457415,1781200
2014-04-03,12.890000,13.050000,12.720000,12.860000,12.351762,1360600
2014-04-04,13.190000,13.210000,12.850000,12.900000,12.390181,1142200
2014-04-07,12.690000,13.200000,12.690000,13.000000,12.486229,1184400
2014-04-08,13.280000,13.530000,13.230000,13.480000,12.947258,1885700
2014-04-09,12.950000,13.700000,12.950000,13.490000,12.956863,1430300
2014-04-10,13.730000,13.880000,13.110000,13.150000,12.630301,2652200
2014-04-11,13.100000,13.320000,12.880000,12.920000,12.419778,1257500
2014-04-14,13.210000,13.210000,12.920000,13.010000,12.506295,1396600
2014-04-15,12.660000,13.130000,12.660000,13.110000,12.602424,2221300
2014-04-16,13.000000,13.080000,12.800000,12.840000,12.342878,1501400
2014-04-17,12.810000,12.890000,12.660000,12.730000,12.237137,1006700
2014-04-21,12.620000,12.700000,12.310000,12.520000,12.035266,1528900
2014-04-22,12.500000,12.540000,12.310000,12.430000,11.948750,1413800
2014-04-23,12.470000,12.800000,12.350000,12.730000,12.237137,1449800
2014-04-24,12.570000,12.990000,12.540000,12.930000,12.429393,1425100
2014-04-25,13.020000,13.030000,12.530000,12.740000,12.246748,1180300
2014-04-28,12.680000,12.930000,12.530000,12.860000,12.362103,1042000
2014-04-29,12.850000,13.020000,12.730000,12.760000,12.265974,1615700
2014-04-30,12.700000,13.000000,12.670000,13.000000,12.496683,2215400
2014-05-01,12.650000,12.650000,11.500000,11.760000,11.304691,4501500
2014-05-02,11.730000,11.740000,11.570000,11.610000,11.160499,1833000
2014-05-05,11.760000,11.880000,11.560000,11.620000,11.170113,1240400
2014-05-06,11.600000,11.610000,11.400000,11.530000,11.083595,3305700
2014-05-07,11.440000,11.590000,11.090000,11.200000,10.766372,1889400
2014-05-08,11.200000,11.370000,11.160000,11.250000,10.814437,1179500
2014-05-09,11.230000,11.450000,11.000000,11.100000,10.670245,1326700
2014-05-12,11.240000,11.390000,11.160000,11.260000,10.824049,1243100
2014-05-13,11.240000,11.260000,11.010000,11.020000,10.593342,1378300
2014-05-14,11.100000,11.110000,10.840000,10.970000,10.545277,1703900
2014-05-15,10.880000,10.950000,10.860000,10.930000,10.506828,1074300
2014-05-16,10.920000,11.020000,10.830000,10.840000,10.420311,900100
2014-05-19,10.930000,11.000000,10.830000,10.970000,10.545277,1034900
2014-05-20,10.890000,11.030000,10.830000,10.910000,10.487599,804700
2014-05-21,10.900000,10.930000,10.660000,10.770000,10.353022,994600
2014-05-22,10.840000,10.930000,10.730000,10.770000,10.353022,957600
2014-05-23,10.760000,10.820000,10.710000,10.770000,10.353022,2723300
2014-05-27,10.790000,10.790000,10.500000,10.590000,10.179992,1838600
2014-05-28,10.570000,10.620000,10.160000,10.300000,9.901218,1855100
2014-05-29,10.140000,10.520000,10.000000,10.400000,9.997346,1220000
2014-05-30,10.250000,10.690000,10.080000,10.690000,10.276117,2376300
2014-06-02,10.620000,10.750000,10.430000,10.510000,10.103088,1230300
2014-06-03,10.530000,10.530000,10.270000,10.410000,10.006959,1462800
2014-06-04,10.420000,10.440000,10.160000,10.270000,9.872380,1332000
2014-06-05,10.350000,10.370000,10.140000,10.180000,9.785862,2199500
2014-06-06,10.150000,10.200000,10.020000,10.040000,9.651284,1190200
2014-06-09,10.060000,10.210000,10.050000,10.070000,9.680122,1233100
2014-06-10,10.120000,10.290000,10.020000,10.160000,9.766638,2674600
2014-06-11,10.210000,10.390000,9.750000,9.950000,9.564770,4673200
2014-06-12,10.070000,10.100000,9.900000,10.000000,9.612832,3444900
2014-06-13,10.030000,10.130000,9.910000,10.080000,9.689736,2756000
2014-06-16,10.090000,10.210000,10.060000,10.060000,9.670510,1718900
2014-06-17,9.880000,10.160000,9.880000,10.080000,9.689736,1318600
2014-06-18,10.180000,10.250000,9.870000,10.220000,9.824316,3321700
2014-06-19,10.390000,10.910000,10.340000,10.850000,10.429926,3545700
2014-06-20,10.830000,10.930000,10.690000,10.870000,10.449149,2367000
2014-06-23,10.870000,11.130000,10.860000,11.030000,10.602953,1313000
2014-06-24,10.990000,11.200000,10.640000,10.670000,10.256893,1316300
2014-06-25,10.630000,10.780000,10.510000,10.680000,10.266505,765200
2014-06-26,10.680000,11.440000,10.640000,11.330000,10.891339,2530500
2014-06-27,11.430000,11.560000,11.320000,11.460000,11.016306,1609700
2014-06-30,11.340000,11.830000,11.310000,11.810000,11.352756,1805600
2014-07-01,11.820000,12.090000,11.750000,11.770000,11.314304,1929100
2014-07-02,11.720000,11.930000,11.720000,11.900000,11.439270,1095300
2014-07-03,11.790000,11.930000,11.650000,11.890000,11.429657,975700
2014-07-07,11.820000,11.940000,11.740000,11.860000,11.400819,1408200
2014-07-08,11.890000,11.980000,11.560000,11.680000,11.227789,1836600
2014-07-09,11.780000,11.970000,11.700000,11.950000,11.487334,1146800
2014-07-10,12.130000,12.190000,11.450000,11.490000,11.045144,2007800
2014-07-11,11.350000,11.640000,11.320000,11.620000,11.170113,1645500
2014-07-14,11.400000,11.690000,11.350000,11.400000,10.958629,1346300
2014-07-15,12.040000,12.040000,10.960000,11.010000,10.583730,1335400
2014-07-16,11.060000,11.210000,10.950000,11.140000,10.708696,1332800
2014-07-17,11.470000,11.490000,11.050000,11.450000,11.006693,1263500
2014-07-18,11.370000,11.390000,11.040000,11.300000,10.862501,1201800
2014-07-21,11.360000,11.380000,10.870000,11.240000,10.804822,1051800
2014-07-22,11.190000,11.270000,11.100000,11.180000,10.747148,497800
2014-07-23,11.150000,11.330000,11.040000,11.160000,10.727921,680200
2014-07-24,11.090000,11.140000,10.710000,10.920000,10.497212,1144200
2014-07-25,10.890000,11.530000,10.800000,11.530000,11.083595,1598500
2014-07-28,11.440000,11.550000,11.300000,11.530000,11.083595,913100
2014-07-29,11.550000,11.890000,11.490000,11.720000,11.266239,1143200
2014-07-30,11.680000,11.840000,11.490000,11.640000,11.189337,1215500
2014-07-31,11.530000,11.880000,11.440000,11.710000,11.256627,1409400
2014-08-01,11.780000,12.160000,11.740000,12.060000,11.593078,2131900
2014-08-04,12.120000,12.210000,11.770000,11.850000,11.391209,995800
2014-08-05,11.510000,12.070000,11.510000,12.010000,11.545013,1484300
2014-08-06,12.120000,12.300000,12.000000,12.280000,11.804559,1791100
2014-08-07,12.190000,12.300000,12.080000,12.230000,11.756494,1097000
2014-08-08,11.980000,12.460000,11.980000,12.310000,11.833398,965200
2014-08-11,12.430000,13.030000,12.380000,12.930000,12.429393,2345900
2014-08-12,12.950000,13.260000,12.870000,13.210000,12.698551,2290100
2014-08-13,13.240000,13.340000,13.040000,13.130000,12.621650,1695000
2014-08-14,13.140000,13.250000,13.000000,13.070000,12.563972,2103100
2014-08-15,12.860000,13.150000,12.800000,13.060000,12.554360,1786500
2014-08-18,12.640000,13.240000,12.640000,13.150000,12.640875,1749500
2014-08-19,13.200000,13.210000,13.060000,13.160000,12.650486,1055200
2014-08-20,13.140000,13.350000,13.080000,13.230000,12.717776,1034900
2014-08-21,13.040000,13.500000,13.030000,13.460000,12.938872,1950000
2014-08-22,13.660000,13.660000,13.410000,13.520000,12.996550,1203200
2014-08-25,13.390000,13.490000,13.220000,13.480000,12.958097,980100
2014-08-26,13.590000,13.620000,13.410000,13.600000,13.073454,876200
2014-08-27,13.610000,13.800000,13.540000,13.760000,13.227259,659800
2014-08-28,13.780000,14.820000,13.630000,14.440000,13.880931,3977900
2014-08-29,14.450000,14.700000,14.270000,14.560000,13.996284,2025300
2014-09-02,14.250000,14.370000,13.700000,13.740000,13.208032,1794100
2014-09-03,13.830000,14.000000,13.800000,13.910000,13.371451,1192400
2014-09-04,14.130000,14.130000,13.070000,13.110000,12.602424,1390400
2014-09-05,13.150000,13.390000,13.100000,13.330000,12.813907,1218500
