Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,44.450001,44.520000,43.880001,44.380001,43.001785,935800
2014-01-03,44.340000,44.470001,44.209999,44.320000,42.943642,421200
2014-01-06,44.330002,44.439999,43.889999,44.330002,42.953331,692500
2014-01-07,44.389999,44.610001,44.340000,44.470001,43.088989,911400
2014-01-08,44.959999,45.139999,43.980000,43.990002,42.623886,2271300
2014-01-09,44.119999,44.799999,44.049999,44.700001,43.311836,1974400
2014-01-10,44.669998,45.020000,44.459999,44.599998,43.214951,588900
2014-01-13,44.130001,44.450001,42.889999,43.130001,41.790600,2299700
2014-01-14,43.119999,43.340000,42.340000,43.009998,41.674320,1859700
2014-01-15,43.029999,43.310001,42.810001,43.009998,41.674320,698100
2014-01-16,43.029999,43.150002,42.759998,42.939999,41.606495,984600
2014-01-17,42.919998,42.970001,42.459999,42.480000,41.160782,497500
2014-01-21,42.580002,42.869999,42.130001,42.439999,41.122025,1221000
2014-01-22,42.540001,42.740002,42.340000,42.700001,41.373951,930700
2014-01-23,42.470001,42.730000,42.000000,42.250000,40.937927,1059600
2014-01-24,42.029999,42.029999,41.000000,41.020000,39.746120,1265000
2014-01-27,41.009998,41.419998,40.230000,40.580002,39.319790,1428300
2014-01-28,40.520000,40.779999,39.950001,40.119999,38.874073,2791900
2014-01-29,39.959999,40.919998,39.930000,40.650002,39.387615,1344200
2014-01-30,41.070000,41.549999,40.980000,41.090000,39.813953,1523600
2014-01-31,40.669998,41.340000,40.380001,41.099998,39.823639,1347200
2014-02-03,41.430000,41.430000,40.250000,40.320000,39.067863,1380600
2014-02-04,39.000000,41.680000,37.290001,41.070000,39.794567,4380700
2014-02-05,40.889999,40.950001,40.189999,40.450001,39.193829,1435500
2014-02-06,41.270000,41.770000,40.650002,41.660000,40.366245,1845700
2014-02-07,42.360001,42.630001,41.830002,42.509998,41.189850,1828600
2014-02-10,42.320000,42.650002,42.220001,42.630001,41.306126,1071000
2014-02-11,42.590000,43.439999,42.439999,43.410000,42.061901,1061000
2014-02-12,43.369999,43.720001,43.250000,43.570000,42.216938,1226100
2014-02-13,43.200001,44.240002,43.180000,43.919998,42.556068,1898000
2014-02-14,43.799999,44.320000,43.700001,44.250000,42.875809,787600
2014-02-18,44.380001,44.790001,44.360001,44.490002,43.108360,1308100
2014-02-19,44.380001,45.000000,44.160000,44.250000,42.875809,1461300
2014-02-20,44.369999,44.529999,43.820000,44.200001,42.827362,1399500
2014-02-21,44.250000,44.509998,44.080002,44.310001,42.933949,864300
2014-02-24,44.330002,44.570000,44.270000,44.349998,42.972702,850800
2014-02-25,44.360001,44.570000,44.169998,44.500000,43.118053,949800
2014-02-26,44.500000,44.799999,44.500000,44.669998,43.282772,813600
2014-02-27,44.660000,44.849998,44.500000,44.759998,43.369972,991400
2014-02-28,44.750000,45.139999,44.639999,45.020000,43.621899,667100
2014-03-03,44.599998,44.730000,44.279999,44.540001,43.156811,837300
2014-03-04,44.860001,45.099998,44.509998,44.639999,43.253700,988500
2014-03-05,44.639999,45.020000,44.500000,44.860001,43.466869,1651100
2014-03-06,44.910000,45.080002,44.529999,44.570000,43.185867,1028700
2014-03-07,44.720001,44.779999,44.080002,44.389999,43.011471,740200
2014-03-10,44.299999,44.410000,43.770000,44.150002,42.778927,934700
