Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,25.490000,25.549999,25.250000,25.510000,19.468019,285900
2014-01-03,25.920000,26.139999,25.770000,25.910000,19.773275,134300
2014-01-06,26.139999,26.160000,25.930000,25.969999,19.819065,120500
2014-01-07,26.160000,26.320000,26.090000,26.250000,20.032747,298200
2014-01-08,26.290001,26.799999,26.160000,26.740000,20.406691,896400
2014-01-09,26.950001,27.129999,26.840000,27.090000,20.673792,184800
2014-01-10,26.760000,27.100000,26.719999,27.049999,20.643267,114900
2014-01-13,26.910000,27.110001,26.889999,26.980000,20.589851,134100
2014-01-14,27.030001,27.389999,26.870001,27.299999,20.834053,113800
2014-01-15,27.120001,27.430000,27.090000,27.410000,20.918007,296600
2014-01-16,27.250000,27.600000,27.200001,27.549999,21.024841,389900
2014-01-17,27.290001,27.370001,27.090000,27.100000,20.681427,263200
2014-01-21,27.209999,27.209999,26.969999,27.090000,20.673792,150100
2014-01-22,27.250000,27.320000,27.139999,27.200001,20.757744,133100
2014-01-23,27.100000,27.209999,26.980000,27.040001,20.635637,616800
2014-01-24,26.830000,26.870001,26.240000,26.240000,20.025114,365100
2014-01-27,26.400000,26.469999,25.860001,26.010000,19.849588,125400
2014-01-28,26.690001,27.370001,26.650000,26.930000,20.551691,750200
2014-01-29,26.260000,26.740000,26.190001,26.469999,20.200638,216300
2014-01-30,26.670000,26.709999,26.340000,26.549999,20.261690,859900
2014-01-31,25.719999,26.000000,25.660000,25.900000,19.765648,151800
2014-02-03,25.840000,25.879999,25.250000,25.320000,19.323013,106700
2014-02-04,25.670000,25.870001,25.500000,25.809999,19.696962,257100
2014-02-05,25.490000,25.709999,25.309999,25.660000,19.582489,902400
2014-02-06,25.650000,26.270000,25.650000,26.270000,20.048014,171400
2014-02-07,26.730000,27.290001,26.700001,27.280001,20.818796,131700
2014-02-10,27.020000,27.049999,26.830000,26.940001,20.559322,81100
2014-02-11,27.030001,27.530001,27.030001,27.420000,20.925638,91500
2014-02-12,27.330000,27.580000,27.290001,27.469999,20.963791,103000
2014-02-13,26.809999,27.400000,26.770000,27.350000,20.872217,73300
2014-02-14,27.150000,27.450001,27.120001,27.379999,20.895105,56100
2014-02-18,27.510000,27.809999,27.450001,27.730000,21.162209,79200
2014-02-19,27.469999,27.740000,27.320000,27.330000,20.856955,71100
2014-02-20,27.350000,27.559999,27.260000,27.540001,21.017216,74500
2014-02-21,27.639999,27.760000,27.360001,27.400000,20.910378,73400
2014-02-24,27.740000,28.200001,27.740000,28.030001,21.391159,121700
2014-02-25,29.990000,30.059999,29.469999,29.719999,22.680885,240200
2014-02-26,29.230000,29.330000,29.040001,29.120001,22.222996,124100
2014-02-27,29.110001,29.530001,29.080000,29.500000,22.512991,288500
2014-02-28,29.440001,29.680000,29.320000,29.459999,22.482468,171900
2014-03-03,28.719999,28.879999,28.570000,28.820000,21.994045,165700
2014-03-04,29.440001,29.629999,29.309999,29.530001,22.535889,167400
2014-03-05,28.840000,28.950001,28.709999,28.860001,22.484467,89900
