Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,38.400002,38.919998,38.020000,38.919998,34.788380,458900
2014-01-03,38.880001,39.619999,38.590000,39.200001,35.038662,320100
2014-01-06,39.189999,39.740002,39.009998,39.259998,35.092278,455700
2014-01-07,39.250000,40.360001,39.209999,40.290001,36.012943,431500
2014-01-08,40.419998,41.490002,40.150002,40.709999,36.388359,661700
2014-01-09,40.759998,40.930000,40.259998,40.860001,36.522434,557100
2014-01-10,40.889999,41.970001,40.889999,41.700001,37.273258,492400
2014-01-13,41.540001,41.540001,40.439999,40.849998,36.513489,578200
2014-01-14,40.860001,41.209999,40.500000,41.150002,36.781662,252600
2014-01-15,41.200001,41.799999,41.119999,41.310001,36.924667,450300
2014-01-16,41.259998,41.259998,40.689999,40.689999,36.370472,410400
2014-01-17,40.709999,41.049999,40.509998,40.599998,36.290047,409000
2014-01-21,40.840000,40.959999,40.430000,40.500000,36.200668,474600
2014-01-22,40.590000,40.730000,40.410000,40.709999,36.388359,517700
2014-01-23,40.410000,41.619999,39.990002,41.520000,37.112373,1051000
2014-01-24,42.000000,42.000000,40.529999,41.310001,36.924667,1528600
2014-01-27,41.259998,41.500000,40.689999,41.139999,36.772720,732700
2014-01-28,40.820000,41.400002,40.570000,41.369999,36.978302,519000
2014-01-29,41.099998,41.360001,40.619999,40.820000,36.486698,731200
2014-01-30,40.919998,41.330002,40.849998,41.299999,36.915733,373500
2014-01-31,40.720001,41.060001,40.560001,40.990002,36.638638,544600
2014-02-03,41.000000,41.119999,39.680000,40.070000,35.816296,710700
2014-02-04,40.220001,40.610001,39.950001,40.480000,36.182781,385900
2014-02-05,40.180000,40.439999,39.889999,40.389999,36.102341,457100
2014-02-06,40.439999,41.029999,40.439999,40.750000,36.424110,361900
2014-02-07,40.919998,41.189999,40.880001,40.970001,36.620777,337200
2014-02-10,40.930000,41.180000,40.900002,40.980000,36.629707,415600
2014-02-11,41.080002,41.480000,40.959999,41.259998,36.879978,289400
2014-02-12,41.270000,41.480000,41.029999,41.090000,36.728020,276500
2014-02-13,40.889999,41.779999,40.610001,41.520000,37.112373,534700
2014-02-14,41.360001,41.759998,41.310001,41.389999,36.996178,211400
2014-02-18,41.360001,42.139999,41.240002,41.860001,37.416290,404200
2014-02-19,41.700001,41.990002,41.040001,41.090000,36.728020,328700
2014-02-20,41.080002,41.520000,40.320000,41.490002,37.085564,407400
