Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,11.540000,11.580000,11.380000,11.510000,8.590382,1112200
2014-01-03,11.490000,11.600000,11.460000,11.520000,8.597847,1448500
2014-01-06,11.700000,11.700000,11.450000,11.500000,8.582917,1391100
2014-01-07,11.510000,11.710000,11.410000,11.480000,8.567991,1351000
2014-01-08,11.460000,11.550000,11.330000,11.490000,8.575456,1049300
2014-01-09,11.540000,11.550000,11.220000,11.410000,8.515748,1752300
2014-01-10,11.460000,11.650000,11.440000,11.600000,8.657550,2510800
2014-01-13,11.590000,11.640000,11.440000,11.490000,8.575456,1318600
2014-01-14,11.510000,11.720000,11.500000,11.650000,8.694871,1478600
2014-01-15,11.630000,11.820000,11.630000,11.750000,8.769502,1725500
2014-01-16,11.730000,11.850000,11.710000,11.830000,8.829212,2078500
2014-01-17,11.790000,11.890000,11.760000,11.820000,8.821746,3616600
2014-01-21,11.860000,11.930000,11.860000,11.870000,8.859063,1930800
2014-01-22,11.900000,12.030000,11.860000,12.020000,8.971015,2911000
2014-01-23,11.940000,12.210000,11.740000,12.160000,9.075500,4568000
2014-01-24,12.070000,12.070000,11.730000,11.900000,8.881454,1580100
2014-01-27,11.940000,11.940000,11.580000,11.640000,8.687406,1753500
2014-01-28,11.670000,11.820000,11.610000,11.680000,8.717259,1589800
2014-01-29,11.600000,11.640000,11.440000,11.510000,8.590382,1576800
2014-01-30,11.620000,11.710000,11.540000,11.550000,8.620234,1479000
2014-01-31,11.360000,11.700000,11.310000,11.580000,8.642625,1710000
2014-02-03,11.580000,11.630000,11.200000,11.260000,8.403798,1742000
2014-02-04,11.280000,11.420000,11.180000,11.300000,8.433648,1776200
2014-02-05,11.270000,11.270000,11.060000,11.220000,8.373942,1525700
2014-02-06,11.230000,11.560000,11.200000,11.470000,8.560529,1715100
2014-02-07,11.480000,11.610000,11.330000,11.470000,8.560529,1484300
2014-02-10,11.480000,11.610000,11.340000,11.580000,8.642625,1190800
