Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,48.431503,48.574528,47.644871,47.662746,35.010277,1994295
2014-01-03,47.582298,47.823650,47.224735,47.385639,34.806713,2041168
2014-01-06,46.992325,47.090652,46.178875,46.491737,34.150105,2511243
2014-01-07,46.742031,47.242615,46.742031,47.001263,34.524387,1656002
2014-01-08,46.107361,46.527496,45.857071,46.134178,34.245697,2089160
2014-01-09,46.080544,46.277203,45.749802,45.892826,34.066532,901667
2014-01-10,46.116302,46.795666,46.053726,46.590069,34.584103,1486967
2014-01-13,46.527496,46.590069,45.338608,45.436935,33.728127,1249133
2014-01-14,45.535267,45.874947,45.356487,45.731922,33.947102,1022821
2014-01-15,45.874947,46.402348,45.660412,46.366592,34.418217,1280009
2014-01-16,46.411289,47.197922,46.259323,46.697334,34.663727,2226088
2014-01-17,46.393410,46.429165,45.463753,45.553143,33.814384,1230898
2014-01-21,45.919643,46.214630,45.115131,45.383305,33.688316,1323079
2014-01-22,45.821316,46.026913,45.240280,45.481632,33.761303,985793
2014-01-23,45.133011,45.749802,44.757572,45.669350,33.900654,1434948
2014-01-24,45.249218,45.687229,44.784389,44.784389,33.243732,1168923
2014-01-27,44.918476,45.338608,44.668182,44.900597,33.329998,1127307
2014-01-28,44.900597,45.499512,44.802269,44.838024,33.283558,1256069
2014-01-29,44.605610,44.775452,43.693832,43.953064,32.626637,1903345
2014-01-30,44.265926,44.426830,43.899429,44.248051,32.845608,1648507
2014-01-31,43.854733,44.569855,43.586563,44.194416,32.805805,1326435
2014-02-03,44.230171,44.346378,42.236774,42.299347,31.399076,1820673
2014-02-04,42.728420,42.925079,42.424496,42.647968,31.657867,1712048
2014-02-05,42.397678,42.531761,42.057995,42.299347,31.399076,1560130
2014-02-06,42.370861,43.077042,42.361919,42.746300,31.730850,955700
2014-02-07,43.032345,43.175369,42.549641,43.139614,32.022808,1076295
2014-02-10,43.068104,43.738525,42.907200,43.273701,32.122345,1650073
2014-02-11,43.273701,43.908367,43.202187,43.649136,32.401031,1147891
2014-02-12,43.631260,43.908367,43.291576,43.345211,32.175430,866540
2014-02-13,43.032345,43.327332,42.916138,43.059162,31.963095,1294440
2014-02-14,43.041286,43.398846,42.951897,43.246883,32.102440,804341
2014-02-18,43.872612,43.935184,43.389908,43.810040,32.520473,1834322
2014-02-19,43.675953,44.292744,43.506111,43.765343,32.487289,1359884
2014-02-20,43.908367,45.267097,43.810040,45.141949,33.509163,2441548
2014-02-21,45.231339,45.803436,45.007866,45.597839,33.847565,2285826
2014-02-24,45.633595,45.776619,45.141949,45.597839,33.847565,1430249
2014-02-25,45.705109,45.812374,45.186646,45.222401,33.568886,1158183
2014-02-26,45.401180,45.597839,44.623489,44.695000,33.177383,2432151
2014-02-27,44.623489,44.748634,44.319561,44.516220,33.044674,2265578
2014-02-28,44.614548,45.696167,44.373196,45.642532,33.880745,1723795
2014-03-03,43.962002,44.248051,42.969772,43.202187,32.069260,4232129
2014-03-04,43.577625,43.577625,42.898262,43.461418,32.261684,2758138
2014-03-05,43.604443,43.604443,42.817810,42.853565,31.810476,2272402
2014-03-06,43.094917,43.953064,43.005527,43.720650,32.454105,2641794
2014-03-07,43.926247,44.712879,43.738525,44.650307,33.144207,2318828
2014-03-10,44.659245,45.124073,44.516220,44.766514,33.230465,1456874
2014-03-11,44.909534,45.159828,44.695000,44.829086,33.276913,1193646
2014-03-12,44.578793,45.079376,44.265926,44.989986,33.396347,1292874
2014-03-13,45.168766,45.293915,43.434601,43.810040,32.520473,3150800
2014-03-14,43.711712,44.346378,43.711712,43.997757,32.659817,1379685
2014-03-17,44.274868,44.784389,44.051392,44.426830,32.978317,1108961
2014-03-18,44.426830,44.560917,44.176537,44.221233,32.825703,780848
2014-03-19,44.230171,44.480465,43.586563,43.872612,32.566929,1083119
2014-03-20,43.845795,44.391075,43.684895,44.069271,32.712902,1492673
2014-03-21,44.695000,45.535267,44.265926,45.284973,33.615322,3197561
2014-03-24,45.365425,45.490570,44.444710,45.302853,33.628597,2699631
2014-03-25,45.517387,45.544205,44.954231,45.329670,33.648495,1647835
2014-03-26,45.365425,45.579960,45.302853,45.419060,33.714863,1319723
2014-03-27,45.436935,45.517387,44.695000,44.864841,33.303448,1291420
2014-03-28,44.981049,45.436935,44.793327,45.249218,33.588799,829176
2014-03-31,45.508450,45.579960,45.258156,45.374363,33.681683,967670
2014-04-01,45.544205,46.429165,45.410118,46.017971,34.159431,2063989
2014-04-02,46.089485,46.599007,45.955399,46.563251,34.564201,1139165
2014-04-03,46.599007,46.661579,46.178875,46.455982,34.484570,854346
2014-04-04,46.482800,46.929749,45.749802,45.803436,34.000187,1036469
2014-04-07,45.696167,45.848129,45.025742,45.115131,33.489254,1139389
2014-04-08,44.596672,44.793327,44.256989,44.400013,33.321537,1224410
2014-04-09,44.498341,44.963169,44.265926,44.954231,33.737469,819107
2014-04-10,44.963169,45.651474,44.185478,44.185478,33.160534,1288064
2014-04-11,43.979881,44.221233,43.300514,43.318394,32.509800,1530261
2014-04-14,43.497173,44.382133,43.416721,44.087147,33.086739,1486632
2014-04-15,44.087147,44.310623,43.193249,43.264759,32.469540,1970355
2014-04-16,43.702770,43.935184,43.148552,43.926247,32.965988,1440541
2014-04-17,44.015636,44.122906,43.130676,43.327332,32.516514,1645822
2014-04-21,43.327332,43.327332,42.755238,43.077042,32.328671,1153820
2014-04-22,43.193249,44.820145,43.014469,44.578793,33.455708,3067122
2014-04-23,44.355316,45.454815,44.149719,44.963169,33.744179,1952567
2014-04-24,45.186646,45.195583,44.677120,44.793327,33.616703,987918
2014-04-25,44.587730,44.757572,44.283806,44.623489,33.489250,952567
2014-04-28,44.846962,45.088318,44.131844,44.569855,33.448997,759593
2014-04-29,44.846962,44.927414,44.435768,44.882717,33.683792,976731
2014-04-30,44.686062,44.739697,44.301685,44.435768,33.348370,1116680
2014-05-01,44.444710,44.525158,44.212296,44.364258,33.294712,814633
2014-05-02,44.498341,44.909534,44.346378,44.400013,33.321537,830070
2014-05-05,44.140781,44.373196,43.720650,43.899429,32.945858,835216
2014-05-06,43.827915,44.239113,43.765343,44.006699,33.026363,792371
2014-05-07,44.140781,44.176537,43.836857,43.979881,33.006233,1489876
2014-05-08,43.997757,44.471523,43.970940,44.140781,33.126976,885558
2014-05-09,44.140781,44.534100,44.015636,44.453648,33.361786,1221949
2014-05-12,44.712879,45.311790,44.686062,45.231339,33.945431,1173621
2014-05-13,45.249218,45.588902,45.186646,45.463753,34.119854,1097214
2014-05-14,45.410118,45.579960,44.846962,45.115131,33.858227,977626
2014-05-15,44.963169,45.410118,44.677120,45.311790,34.005810,2392885
2014-05-16,44.176537,44.346378,43.157494,43.345211,32.529930,5299362
