Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,4.160000,4.190000,4.060000,4.190000,2.547114,449544
2014-01-03,4.250000,4.330000,4.200000,4.300000,2.613983,105930
2014-01-06,4.290000,4.440000,4.270200,4.350000,2.644378,84762
2014-01-07,4.380000,4.420000,4.160000,4.290000,2.607904,60642
2014-01-08,4.220000,4.230000,4.070000,4.170000,2.534956,74712
2014-01-09,4.140000,4.240000,4.060000,4.190000,2.547114,98072
2014-01-10,4.140000,4.340000,4.130000,4.340000,2.638299,140628
2014-01-13,4.210000,4.250000,4.120000,4.200000,2.553192,347516
2014-01-14,4.180000,4.440000,4.160000,4.350000,2.644378,196315
2014-01-15,4.100000,4.280000,4.080000,4.240000,2.577509,184309
2014-01-16,4.140000,4.150000,3.900000,3.970000,2.413375,361335
2014-01-17,3.940000,4.000000,3.890000,3.960000,2.407296,75729
2014-01-21,3.920000,3.989800,3.830000,3.960000,2.407296,126105
2014-01-22,3.890000,4.020000,3.800000,3.870000,2.352585,145796
2014-01-23,3.870000,3.910000,3.730000,3.810000,2.316111,196838
2014-01-24,3.740000,3.840000,3.660000,3.820000,2.322190,164137
2014-01-27,3.720000,3.890000,3.670000,3.830000,2.328269,281889
2014-01-28,3.830000,3.940000,3.800000,3.820000,2.322190,232641
2014-01-29,3.800000,3.840000,3.750000,3.780000,2.297873,94129
2014-01-30,3.880000,4.030000,3.810000,4.000000,2.431612,229206
2014-01-31,3.810000,4.070000,3.810000,3.940000,2.395138,252969
2014-02-03,3.890000,3.900000,3.790000,3.860000,2.346505,374448
2014-02-04,3.870000,4.010000,3.850000,3.920000,2.382980,163348
2014-02-05,3.850000,3.980000,3.800000,3.880000,2.358664,104015
2014-02-06,3.900000,4.020000,3.900000,4.000000,2.431612,213511
2014-02-07,3.980000,4.130000,3.910000,4.050000,2.462008,131501
2014-02-10,3.940000,3.961100,3.820000,3.870000,2.352585,553381
2014-02-11,3.860000,4.000000,3.860000,3.970000,2.413375,97018
2014-02-12,3.970000,3.970000,3.870000,3.900000,2.370822,90852
2014-02-13,3.820000,4.020000,3.820000,3.950000,2.401217,298035
2014-02-14,3.890000,3.940000,3.850000,3.930000,2.389059,70230
2014-02-18,3.660000,3.720000,3.580000,3.640000,2.212767,386805
2014-02-19,3.580000,3.690000,3.570000,3.680000,2.237083,129386
2014-02-20,3.710000,3.750000,3.660000,3.730000,2.267478,135607
2014-02-21,3.760000,3.860000,3.750000,3.850000,2.340427,561953
2014-02-24,3.780000,3.830000,3.750000,3.820000,2.322190,807214
2014-02-25,3.780000,3.790000,3.734200,3.780000,2.297873,296899
2014-02-26,3.740000,3.800000,3.700000,3.740000,2.273558,311280
2014-02-27,3.780000,3.970000,3.780000,3.960000,2.407296,150805
2014-02-28,3.880000,4.010000,3.850000,4.010000,2.437691,506855
2014-03-03,3.930000,3.955000,3.900000,3.940000,2.395138,97489
2014-03-04,3.990000,4.240000,3.950000,3.970000,2.413375,97987
2014-03-05,3.960000,4.000000,3.800000,3.910000,2.376901,246163
2014-03-06,3.920000,3.950000,3.880000,3.950000,2.401217,308810
2014-03-07,3.870000,3.900000,3.660000,3.760000,2.285715,1387794
2014-03-10,3.770000,3.770000,3.623700,3.690000,2.243162,385381
2014-03-11,3.710000,3.820000,3.700000,3.770000,2.291795,143694
2014-03-12,3.760000,3.880000,3.710000,3.880000,2.358664,77897
2014-03-13,3.900000,4.010000,3.900000,3.970000,2.413375,265328
2014-03-14,3.950000,3.950000,3.830000,3.930000,2.389059,113445
2014-03-17,3.910000,3.950000,3.870000,3.870000,2.352585,92394
2014-03-18,3.840000,4.090000,3.820000,4.030000,2.449849,182041
2014-03-19,4.070000,4.220000,4.050000,4.130000,2.510640,265780
2014-03-20,4.150000,4.480000,4.120000,4.230000,2.571430,503748
2014-03-21,4.190000,4.390000,4.170000,4.360000,2.650457,248511
2014-03-24,4.470000,4.510000,4.390000,4.490000,2.729485,103260
2014-03-25,4.510000,4.540000,4.420000,4.440000,2.699090,55151
2014-03-26,4.420000,4.490000,4.420000,4.440000,2.699090,56821
2014-03-27,4.540000,4.800000,4.540000,4.670000,2.838907,1095185
2014-03-28,4.760000,4.870000,4.690000,4.700000,2.857144,1049450
2014-03-31,4.800000,4.880000,4.680000,4.700000,2.857144,868804
2014-04-01,4.770000,4.770000,4.650000,4.710000,2.863223,559122
2014-04-02,4.770000,5.050000,4.770000,4.990000,3.033436,803052
2014-04-03,5.080000,5.140000,4.880000,5.140000,3.124622,193131
2014-04-04,5.230000,5.320000,5.160000,5.180000,3.148937,370042
2014-04-07,5.260000,5.430000,5.220000,5.320000,3.234044,505378
2014-04-08,5.490000,5.520000,5.210000,5.330000,3.240123,1433833
2014-04-09,5.110000,5.110000,4.880000,5.040000,3.063831,1298843
2014-04-10,5.000000,5.100000,4.940000,5.040000,3.063831,192871
2014-04-11,4.980000,5.050000,4.950000,5.020000,3.051673,224154
2014-04-14,5.090000,5.130000,5.010000,5.120000,3.112463,84193
2014-04-15,5.140000,5.175000,4.990000,5.020000,3.051673,246969
2014-04-16,5.050000,5.150000,5.020000,5.140000,3.124622,83531
2014-04-17,5.150000,5.315000,5.070000,5.310000,3.227965,88398
2014-04-21,5.320000,5.450000,5.210000,5.390000,3.276597,57433
2014-04-22,5.260000,5.440000,5.220000,5.330000,3.240123,187038
2014-04-23,5.390000,5.480000,5.310000,5.430000,3.300914,93930
2014-04-24,5.500000,5.520000,5.400000,5.490000,3.337387,91471
2014-04-25,5.450000,5.459900,5.354000,5.440000,3.306993,150384
2014-04-28,5.410000,5.480000,5.330000,5.350000,3.252281,455620
2014-04-29,5.570000,5.690000,5.540000,5.580000,3.392099,149623
2014-04-30,5.580000,5.630000,5.420000,5.560000,3.379941,188787
2014-05-01,5.580000,5.620000,5.440000,5.610000,3.410336,272369
2014-05-02,4.780000,4.960000,4.660000,4.840000,3.404903,411459
2014-05-05,4.900000,5.000000,4.840000,4.920000,3.461183,197563
2014-05-06,4.900000,4.990000,4.890000,4.940000,3.475253,84187
2014-05-07,4.900000,4.900000,4.740000,4.810000,3.383799,219532
2014-05-08,4.790000,4.870000,4.690000,4.780000,3.362695,167508
2014-05-09,4.720000,4.730000,4.550000,4.620000,3.250135,158598
2014-05-12,4.560000,4.720000,4.480000,4.680000,3.292345,83137
2014-05-13,4.610000,4.730000,4.600000,4.650000,3.271240,116416
2014-05-14,4.700000,4.770000,4.700000,4.700000,3.306415,89099
2014-05-15,4.610000,4.690000,4.540000,4.620000,3.250135,615760
2014-05-16,4.720000,4.750000,4.650000,4.730000,3.327520,30306
2014-05-19,4.650000,4.650000,4.560000,4.580000,3.221996,29612
2014-05-20,4.580000,4.640000,4.390000,4.430000,3.116472,57302
2014-05-21,4.460000,4.530000,4.360000,4.420000,3.109437,224171
2014-05-22,4.490000,4.570000,4.430000,4.510000,3.172751,36812
2014-05-23,4.520000,4.530000,4.400000,4.430000,3.116472,183183
