Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,80.170494,81.111938,79.110451,79.451447,73.151924,675309
2014-01-03,79.310600,80.059303,78.102295,78.554482,72.326065,636998
2014-01-06,78.895477,79.273537,78.317268,78.376572,72.162270,537442
2014-01-07,77.064491,78.932541,74.521866,78.250557,72.046265,765962
2014-01-08,78.235733,78.272797,77.442551,78.020760,71.834671,522198
2014-01-09,78.613785,79.355080,77.872498,78.421051,72.203209,654805
2014-01-10,78.895477,79.229057,78.272797,78.954781,72.694618,555114
2014-01-13,78.591553,79.125275,77.672348,77.828018,71.657227,349121
2014-01-14,77.857674,78.591553,77.427727,78.554482,72.326065,685967
2014-01-15,78.584137,80.007416,78.265381,79.332840,73.042717,917185
2014-01-16,79.014084,79.451447,78.606377,79.043739,72.776558,495083
2014-01-17,79.117867,79.280952,77.998520,78.524834,72.298782,540544
2014-01-21,78.799110,79.088211,77.709412,78.813934,72.564941,736284
2014-01-22,78.858414,79.132690,78.287621,79.080803,72.810669,556867
2014-01-23,79.058563,79.065971,77.931801,78.028168,71.841492,812233
2014-01-24,77.716827,78.013344,75.589325,75.656044,69.657448,926089
2014-01-27,75.959969,76.063751,73.891769,74.625648,68.708748,957250
2014-01-28,74.492218,76.085991,74.425499,75.759819,69.752998,970471
2014-01-29,70.029655,72.290588,68.213493,70.926613,65.303009,2974005
2014-01-30,70.667160,71.126762,69.340256,70.429947,64.845711,1832886
2014-01-31,69.310600,70.504074,69.147514,70.051888,64.497650,1630941
2014-02-03,69.822090,70.088959,68.524834,68.606377,63.166729,2321629
2014-02-04,68.828758,70.244629,68.739807,69.985176,64.436218,1574013
2014-02-05,69.807266,70.259453,69.191994,69.762787,64.231438,1210458
2014-02-06,70.059303,70.630096,69.503334,70.578209,64.982216,588434
2014-02-07,70.793182,71.237953,69.755371,70.303932,64.729691,940793
2014-02-10,70.044479,71.957008,69.911041,71.386215,65.726151,927842
2014-02-11,71.349152,71.616013,70.407707,70.415123,64.832069,1153125
2014-02-12,70.333580,71.163826,69.659004,69.725723,64.197350,1307856
2014-02-13,69.814674,71.430687,69.666420,71.378799,65.719360,979509
2014-02-14,71.156410,72.394363,70.904373,72.075615,66.360909,983961
2014-02-18,71.415863,72.045959,71.015564,71.519646,66.189384,680436
2014-02-19,71.186066,71.445518,70.667160,71.260193,65.949280,1381781
2014-02-20,71.378799,71.816162,71.156410,71.482582,66.155098,693656
2014-02-21,71.541885,71.541885,70.607857,70.659744,65.393570,585196
2014-02-24,70.615273,71.378799,70.318756,70.800591,65.523926,651162
2014-02-25,70.800591,71.141586,70.481834,71.134171,65.832657,964670
2014-02-26,71.223129,71.734619,70.578209,70.778351,65.503342,797529
2014-02-27,70.533730,71.682732,70.274277,71.682732,66.340324,703369
2014-02-28,71.690140,72.750183,71.690140,72.157150,66.779381,709439
2014-03-03,71.408447,71.793922,70.719048,70.822830,65.544510,615279
2014-03-04,70.719048,71.341736,69.266121,69.799850,64.597771,1030636
2014-03-05,69.829506,69.955521,69.014084,69.592293,64.405685,914892
2014-03-06,69.621941,70.822830,69.607117,70.415123,65.167175,713486
2014-03-07,70.726463,70.770943,69.962936,70.526314,65.270088,745997
2014-03-10,70.526314,71.104523,70.370644,70.659744,65.393570,391075
2014-03-11,70.674576,71.111938,70.192734,70.555969,65.297546,569683
2014-03-12,70.355820,70.541145,69.466270,69.770203,64.570328,894927
2014-03-13,69.918457,70.222389,68.784286,69.251297,64.090096,863225
2014-03-14,69.273537,70.140846,69.273537,69.762787,64.563454,492115
2014-03-17,70.140846,70.600449,69.859154,70.222389,64.988823,486719
2014-03-18,70.333580,70.837662,70.118607,70.704224,65.434731,356001
2014-03-19,70.785767,70.919197,70.148254,70.481834,65.228920,579261
2014-03-20,70.422539,71.497406,69.747963,71.460342,66.134506,855266
2014-03-21,71.986656,72.461082,71.882874,72.031136,66.662750,1022272
2014-03-24,72.379539,73.061523,72.142326,72.957748,67.520302,811828
2014-03-25,73.209785,73.306152,72.386955,72.757599,67.335075,1182938
2014-03-26,72.891029,74.981468,72.690880,74.692368,69.125648,1531655
2014-03-27,74.736839,75.218681,73.365456,73.684212,68.192627,1114409
2014-03-28,73.817642,74.114159,73.550781,73.587845,68.103447,679491
2014-03-31,74.099335,74.870277,73.402519,74.677536,69.111938,693926
