Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,61.400002,62.119999,60.730000,61.910000,55.281822,164400
2014-01-03,61.910000,63.000000,61.450001,62.790001,56.067619,115800
2014-01-06,62.860001,63.930000,62.259998,62.590000,55.889030,121900
2014-01-07,62.570000,63.380001,61.980000,63.110001,56.353344,147400
2014-01-08,62.959999,63.110001,60.169998,61.279999,54.719265,282900
2014-01-09,61.639999,61.849998,59.549999,59.910000,53.495953,152800
2014-01-10,59.730000,60.250000,59.279999,59.689999,53.299507,144700
2014-01-13,59.279999,60.049999,58.700001,59.340000,52.986980,194500
2014-01-14,59.630001,60.099998,59.029999,59.950001,53.531658,105900
2014-01-15,59.980000,60.160000,59.599998,59.820000,53.415573,95500
2014-01-16,59.599998,60.209999,58.259998,58.520000,52.254761,169400
2014-01-17,58.360001,58.790001,57.680000,58.040001,51.826160,113500
2014-01-21,58.490002,58.889999,57.930000,58.169998,51.942230,115300
2014-01-22,58.419998,59.209999,58.049999,58.340000,52.094032,127500
2014-01-23,58.189999,58.720001,57.980000,58.209999,51.977951,219400
2014-01-24,57.680000,58.820000,56.779999,57.160000,51.040363,262700
2014-01-27,57.200001,57.279999,55.189999,55.520000,49.575951,331200
2014-01-28,52.639999,53.240002,49.560001,49.820000,44.486195,680100
2014-01-29,49.669998,49.939999,48.790001,49.310001,44.030807,330900
2014-01-30,49.619999,50.000000,49.099998,49.389999,44.102238,321800
2014-01-31,48.520000,49.669998,48.139999,49.139999,43.879005,273700
2014-02-03,49.139999,49.139999,46.770000,47.980000,42.843185,305300
2014-02-04,48.099998,49.220001,47.980000,48.660000,43.450386,260600
2014-02-05,48.520000,49.270000,48.020000,48.669998,43.459305,189900
2014-02-06,48.840000,49.139999,48.490002,48.990002,43.745060,208200
2014-02-07,49.110001,50.150002,48.459999,49.250000,43.977222,201200
2014-02-10,49.160000,49.560001,48.490002,49.389999,44.102238,116200
2014-02-11,49.259998,50.439999,48.790001,50.340000,44.950523,204100
2014-02-12,50.549999,50.900002,49.509998,49.889999,44.548702,123800
2014-02-13,49.610001,51.790001,49.610001,51.680000,46.147060,201200
2014-02-14,51.720001,52.220001,51.240002,51.599998,46.075626,157800
2014-02-18,55.279999,56.340000,51.480000,52.119999,46.539948,231100
2014-02-19,52.000000,52.330002,50.529999,51.009998,45.548782,191700
2014-02-20,50.910000,51.580002,50.500000,51.160000,45.682732,246600
2014-02-21,51.419998,51.419998,50.169998,50.889999,45.441647,299500
2014-02-24,50.840000,52.630001,50.500000,52.240002,46.647110,199100
2014-02-25,52.410000,52.849998,51.709999,52.599998,46.968571,284600
2014-02-26,52.689999,53.060001,51.630001,51.750000,46.209572,241900
2014-02-27,51.540001,52.009998,51.049999,51.570000,46.048843,179000
2014-02-28,51.700001,53.259998,51.580002,52.830002,47.173943,238100
2014-03-03,52.450001,52.820000,51.130001,51.599998,46.075626,116200
2014-03-04,52.299999,53.779999,52.299999,53.490002,47.763290,218400
