Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,28.340000,28.340000,27.620001,27.980000,18.869480,106100
2014-01-03,28.040001,28.139999,27.780001,28.000000,18.882965,93300
2014-01-06,28.030001,28.209999,27.610001,27.719999,18.694138,122800
2014-01-07,27.760000,28.200001,27.559999,28.059999,18.923431,124400
2014-01-08,28.040001,28.209999,27.320000,27.389999,18.471586,192000
2014-01-09,27.610001,28.120001,27.290001,27.410000,18.485071,185700
2014-01-10,27.469999,27.709999,27.170000,27.410000,18.485071,54100
2014-01-13,27.250000,27.370001,26.660000,26.790001,18.066957,104100
2014-01-14,26.799999,27.330000,26.799999,27.209999,18.350193,90400
2014-01-15,27.150000,27.660000,27.110001,27.290001,18.404150,136000
2014-01-16,27.389999,27.830000,26.860001,26.879999,18.127649,91000
2014-01-17,26.850000,27.180000,26.760000,26.809999,18.080439,69300
2014-01-21,27.000000,27.180000,26.750000,27.049999,18.242294,162300
2014-01-22,27.049999,27.670000,27.049999,27.500000,18.545763,79700
2014-01-23,27.469999,27.469999,26.750000,26.950001,18.174856,65900
2014-01-24,26.940001,27.100000,26.020000,26.309999,17.743248,117600
2014-01-27,26.469999,26.480000,26.010000,26.030001,17.554413,79900
2014-01-28,25.820000,26.420000,25.799999,26.200001,17.669054,100500
2014-01-29,26.200001,26.440001,25.799999,25.870001,17.446514,86000
2014-01-30,25.900000,26.959999,25.809999,26.840000,18.100670,125600
2014-01-31,26.400000,26.469999,25.490000,25.660000,17.408667,142900
2014-02-03,25.700001,25.889999,24.389999,24.610001,16.696312,151700
2014-02-04,24.639999,25.100000,24.180000,24.690001,16.750586,107500
2014-02-05,24.559999,24.719999,24.240000,24.530001,16.642031,88100
2014-02-06,24.480000,24.950001,24.480000,24.780001,16.811642,52500
2014-02-07,24.830000,24.910000,24.610001,24.730000,16.777718,85900
2014-02-10,24.790001,24.820000,24.340000,24.770000,16.804859,82800
2014-02-11,24.870001,25.670000,24.790001,25.340000,17.191563,100400
2014-02-12,25.440001,26.379999,25.330000,25.410000,17.239056,136200
2014-02-13,25.250000,25.650000,25.000000,25.260000,17.137289,122300
2014-02-14,25.160000,25.469999,24.809999,25.360001,17.205137,149700
2014-02-18,25.430000,25.840000,25.090000,25.309999,17.171213,174200
2014-02-19,25.379999,25.639999,24.510000,24.570000,16.669168,97100
2014-02-20,24.709999,25.190001,24.450001,25.059999,17.001604,63600
2014-02-21,25.129999,25.450001,24.860001,25.070000,17.008389,95500
2014-02-24,25.020000,25.670000,25.010000,25.440001,17.259411,89100
2014-02-25,25.379999,25.580000,25.219999,25.290001,17.157644,141600
2014-02-26,25.379999,25.799999,25.090000,25.690001,17.429024,106800
2014-02-27,25.559999,25.790001,25.360001,25.709999,17.442585,92200
2014-02-28,25.600000,26.000000,25.360001,25.900000,17.571495,133500
2014-03-03,25.600000,25.780001,25.370001,25.629999,17.388311,97500
2014-03-04,25.900000,26.660000,25.549999,26.459999,17.951416,128300
2014-03-05,26.379999,26.650000,25.959999,26.490000,17.971767,157000
2014-03-06,26.469999,26.860001,26.270000,26.650000,18.080315,132400
2014-03-07,26.889999,27.100000,26.620001,26.770000,18.161736,125700
2014-03-10,26.770000,27.000000,26.510000,26.980000,18.304201,108100
2014-03-11,27.000000,27.000000,26.450001,26.629999,18.066744,88100
2014-03-12,26.469999,26.850000,26.370001,26.690001,18.107452,85000
2014-03-13,26.750000,26.920000,26.400000,26.650000,18.080315,97200
2014-03-14,26.480000,26.969999,26.430000,26.730000,18.134590,90500
2014-03-17,27.110001,27.170000,26.920000,26.990000,18.310986,182000
2014-03-18,26.990000,27.100000,26.660000,26.809999,18.188868,263200
2014-03-19,26.870001,27.170000,26.620001,26.910000,18.256710,130400
2014-03-20,26.750000,27.370001,26.750000,27.270000,18.500942,123900
2014-03-21,27.299999,27.469999,26.969999,27.120001,18.399183,1241400
2014-03-24,27.660000,29.000000,27.530001,28.870001,19.586439,427300
2014-03-25,28.770000,29.260000,28.670000,28.900000,19.606798,304900
2014-03-26,29.010000,29.010000,28.480000,28.500000,19.335426,112600
2014-03-27,28.600000,28.650000,28.110001,28.160000,19.104755,141400
2014-03-28,28.260000,28.280001,27.620001,27.719999,18.806246,134600
2014-03-31,27.830000,28.420000,27.719999,28.219999,19.145466,105300
2014-04-01,28.209999,28.750000,28.059999,28.600000,19.403269,116000
2014-04-02,28.719999,28.959999,28.410000,28.629999,19.423618,88000
2014-04-03,28.570000,28.780001,28.330000,28.410000,19.274363,105400
2014-04-04,28.559999,28.580000,27.469999,27.590000,18.718046,107400
2014-04-07,27.559999,27.639999,27.059999,27.590000,18.718046,84800
2014-04-08,27.510000,28.080000,27.280001,27.799999,18.860518,139400
2014-04-09,28.760000,28.809999,27.860001,28.160000,19.104755,97300
2014-04-10,28.080000,28.080000,26.709999,26.740000,18.141373,158800
2014-04-11,26.650000,27.049999,26.059999,26.629999,18.066744,99600
2014-04-14,26.879999,26.910000,26.139999,26.459999,17.951416,103400
2014-04-15,26.440001,26.990000,25.920000,26.350000,17.876787,92600
2014-04-16,26.500000,26.680000,26.260000,26.580000,18.032829,62800
2014-04-17,26.629999,26.879999,26.370001,26.760000,18.154947,91500
2014-04-21,26.840000,26.840000,26.559999,26.770000,18.161736,65300
2014-04-22,26.690001,27.100000,26.600000,26.780001,18.168512,54700
2014-04-23,26.629999,26.820000,26.379999,26.500000,17.978548,92700
2014-04-24,26.510000,26.840000,25.570000,25.730000,17.456158,97300
2014-04-25,26.040001,26.280001,25.549999,25.750000,17.469721,132900
