Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,51.790001,52.200001,50.889999,51.860001,45.820206,327800
2014-01-03,51.810001,52.700001,51.330002,52.369999,46.270802,570400
2014-01-06,52.470001,52.669998,50.730000,51.369999,45.387276,727100
2014-01-07,51.459999,51.869999,51.049999,51.419998,45.431458,655400
2014-01-08,51.520000,51.980000,51.040001,51.959999,45.908558,643700
2014-01-09,52.000000,52.470001,51.259998,51.779999,45.749523,440200
2014-01-10,51.869999,52.430000,51.730000,52.349998,46.253143,397300
2014-01-13,52.459999,52.980000,51.310001,51.580002,45.572826,463200
2014-01-14,51.950001,52.849998,51.950001,52.740002,46.597729,453100
2014-01-15,52.740002,53.310001,51.910000,52.549999,46.429852,626100
2014-01-16,47.750000,50.860001,46.919998,50.820000,44.901333,1340200
2014-01-17,50.610001,50.650002,49.009998,49.509998,43.743916,2716700
2014-01-21,49.680000,49.740002,49.099998,49.430000,43.673218,533200
2014-01-22,49.320000,49.430000,49.029999,49.189999,43.461166,410500
2014-01-23,48.939999,49.240002,48.750000,48.919998,43.222607,378000
2014-01-24,48.480000,48.880001,47.549999,47.660000,42.109348,355300
2014-01-27,47.840000,47.990002,47.040001,47.340000,41.826630,280500
2014-01-28,47.299999,47.959999,47.049999,47.349998,41.835461,318800
2014-01-29,46.869999,47.470001,46.660000,46.759998,41.314178,237400
2014-01-30,46.980000,47.270000,46.639999,47.000000,41.526222,331000
2014-01-31,46.180000,46.840000,46.070000,46.580002,41.155144,290800
2014-02-03,46.400002,46.650002,45.509998,45.680000,40.359947,502400
2014-02-04,45.779999,45.959999,45.029999,45.250000,40.067753,338300
2014-02-05,45.000000,45.270000,44.549999,45.070000,39.908356,354400
2014-02-06,45.270000,45.709999,45.150002,45.639999,40.413082,159300
2014-02-07,45.930000,46.410000,45.630001,46.380001,41.068336,230600
2014-02-10,46.180000,46.310001,45.630001,45.669998,40.439640,305000
2014-02-11,45.730000,46.279999,45.250000,46.180000,40.891239,349700
2014-02-12,46.200001,46.650002,45.980000,46.590000,41.254295,233300
2014-02-13,46.310001,48.820000,46.299999,48.610001,43.042934,689100
2014-02-14,48.619999,48.830002,48.220001,48.509998,42.954411,202000
2014-02-18,48.660000,49.040001,48.410000,48.520000,42.963253,217800
2014-02-19,48.380001,48.770000,47.720001,47.910000,42.423111,356200
2014-02-20,47.860001,48.130001,47.250000,47.720001,42.254868,265200
2014-02-21,47.959999,48.680000,47.560001,48.340000,42.803871,279900
2014-02-24,48.480000,48.650002,48.259998,48.279999,42.750736,145200
2014-02-25,48.189999,48.669998,47.959999,48.349998,42.812721,245500
2014-02-26,48.459999,49.040001,48.209999,48.840000,43.246609,147600
2014-02-27,48.639999,49.040001,48.529999,49.000000,43.388283,142300
2014-02-28,49.000000,49.000000,48.389999,48.480000,42.927834,260900
2014-03-03,48.230000,48.410000,47.869999,48.139999,42.626774,546600
2014-03-04,48.880001,49.099998,48.470001,48.900002,43.299725,656900
2014-03-05,48.759998,48.810001,47.849998,47.950001,42.458527,402400
2014-03-06,47.970001,48.590000,47.830002,47.990002,42.493958,298400
2014-03-07,48.090000,48.369999,47.770000,48.009998,42.511665,307400
2014-03-10,48.000000,48.360001,47.509998,47.990002,42.493958,420600
2014-03-11,48.130001,48.570000,47.270000,47.360001,41.936111,192900
2014-03-12,47.119999,47.290001,46.580002,46.970001,41.590771,134300
2014-03-13,47.250000,47.330002,46.070000,46.130001,40.846962,211500
2014-03-14,45.990002,46.410000,45.529999,45.910000,40.652164,366200
2014-03-17,46.299999,46.779999,45.880001,46.299999,40.997498,457000
2014-03-18,46.459999,47.720001,46.459999,47.709999,42.246006,290900
2014-03-19,47.500000,47.689999,46.980000,47.009998,41.626186,355000
2014-03-20,46.919998,47.630001,46.869999,47.580002,42.130917,267400
2014-03-21,47.700001,48.290001,47.549999,47.959999,42.467392,394500
2014-03-24,48.150002,48.220001,47.099998,47.099998,41.705875,434600
2014-03-25,47.430000,47.779999,47.139999,47.509998,42.068913,203700
2014-03-26,47.889999,48.150002,47.110001,47.139999,41.741299,280000
2014-03-27,47.000000,49.110001,46.240002,48.990002,43.379433,580700
2014-03-28,48.980000,49.130001,47.380001,47.500000,42.060062,305700
2014-03-31,47.880001,48.680000,47.459999,48.279999,42.750736,373400
2014-04-01,48.310001,49.110001,48.119999,49.060001,43.441406,316500
2014-04-02,49.049999,49.450001,48.860001,49.369999,43.715900,200600
2014-04-03,49.509998,49.820000,49.290001,49.509998,43.839870,300600
2014-04-04,49.669998,49.669998,47.639999,47.860001,42.378841,413800
2014-04-07,47.669998,47.770000,46.860001,47.049999,41.661617,360600
2014-04-08,47.119999,47.880001,46.970001,47.240002,41.829853,233800
2014-04-09,47.310001,47.470001,46.900002,47.380001,41.953808,454900
2014-04-10,47.290001,47.320000,46.009998,46.180000,40.891239,287000
2014-04-11,45.759998,46.400002,45.099998,45.169998,39.996902,298200
2014-04-14,45.700001,45.740002,44.939999,45.230000,40.050037,267300
2014-04-15,45.400002,45.619999,44.509998,45.169998,39.996902,396800
2014-04-16,45.549999,45.799999,45.349998,45.610001,40.386517,507000
2014-04-17,45.610001,46.799999,45.290001,46.560001,41.227703,617000
2014-04-21,46.570000,47.099998,46.570000,46.900002,41.528778,234600
2014-04-22,46.720001,47.669998,46.450001,47.650002,42.301125,304800
2014-04-23,47.650002,47.910000,47.189999,47.189999,41.892757,199400
2014-04-24,47.540001,47.540001,46.540001,46.799999,41.546539,238700
2014-04-25,46.590000,46.840000,45.630001,45.660000,40.534512,325300
2014-04-28,45.900002,46.160000,45.310001,45.869999,40.720928,278000
2014-04-29,46.139999,46.189999,45.730000,46.009998,40.845230,223500
2014-04-30,45.980000,46.340000,45.490002,46.330002,41.129303,162600
2014-05-01,46.299999,46.779999,45.930000,46.049999,40.880722,245800
2014-05-02,46.160000,46.799999,46.130001,46.610001,41.377861,167300
2014-05-05,46.270000,46.810001,46.000000,46.630001,41.395618,160900
2014-05-06,46.860001,47.630001,46.740002,47.099998,41.812859,321400
2014-05-07,47.110001,47.540001,46.660000,47.480000,42.150204,328100
2014-05-08,47.439999,48.240002,47.259998,47.770000,42.407661,371000
2014-05-09,47.570000,47.970001,47.430000,47.750000,42.389908,246800
2014-05-12,47.889999,48.919998,47.820000,48.740002,43.268772,206900
2014-05-13,48.790001,48.910000,47.959999,47.990002,42.602966,220800
2014-05-14,47.900002,48.040001,47.290001,47.570000,42.230103,277200
2014-05-15,47.270000,47.480000,46.119999,46.880001,41.617550,366300
2014-05-16,46.820000,47.320000,46.520000,47.310001,41.999290,185900
2014-05-19,47.259998,48.000000,46.930000,47.599998,42.256725,191700
2014-05-20,47.430000,47.630001,46.279999,46.360001,41.155930,356700
2014-05-21,46.599998,46.759998,46.080002,46.450001,41.235821,173000
2014-05-22,46.500000,46.740002,46.090000,46.490002,41.271324,114600
2014-05-23,46.580002,47.110001,46.279999,47.110001,41.821739,172300
2014-05-27,47.450001,47.689999,47.220001,47.299999,41.990414,262900
2014-05-28,47.270000,47.500000,46.880001,47.290001,41.981529,216700
2014-05-29,47.459999,47.889999,46.919998,47.849998,42.478664,189500
2014-05-30,47.959999,47.980000,47.520000,47.830002,42.460915,90600
2014-06-02,47.910000,47.910000,47.310001,47.549999,42.212353,113000
2014-06-03,47.290001,47.810001,47.250000,47.500000,42.167957,138100
2014-06-04,47.250000,47.939999,46.930000,47.930000,42.549686,143000
2014-06-05,48.000000,48.810001,47.520000,48.779999,43.304264,146100
2014-06-06,49.060001,49.560001,48.630001,49.549999,43.987835,160900
2014-06-09,49.509998,50.080002,49.270000,49.910000,44.307426,211400
2014-06-10,49.770000,50.290001,49.580002,50.220001,44.582626,193400
2014-06-11,50.000000,50.189999,49.709999,49.910000,44.307426,184500
2014-06-12,49.770000,49.959999,49.160000,49.410000,43.863548,198800
2014-06-13,49.570000,50.080002,49.150002,50.020000,44.405087,213900
2014-06-16,49.849998,50.369999,49.700001,50.020000,44.405087,379100
2014-06-17,49.970001,50.980000,49.889999,50.820000,45.115280,252800
2014-06-18,50.639999,50.840000,49.840000,50.169998,44.538235,409500
2014-06-19,50.209999,50.840000,50.130001,50.580002,44.902218,266700
2014-06-20,50.709999,50.759998,50.230000,50.720001,45.026501,312200
2014-06-23,50.840000,50.990002,50.509998,50.730000,45.035381,336500
2014-06-24,50.570000,51.270000,50.040001,50.090000,44.467228,258600
2014-06-25,49.869999,50.360001,49.790001,50.250000,44.609253,256700
2014-06-26,49.020000,49.200001,46.630001,47.439999,42.114700,969900
2014-06-27,47.240002,49.209999,47.240002,48.869999,43.384163,1037300
2014-06-30,48.889999,49.080002,47.930000,48.099998,42.700615,412500
2014-07-01,48.330002,48.709999,48.230000,48.360001,42.931431,355100
2014-07-02,48.169998,48.299999,47.470001,47.810001,42.443172,317300
2014-07-03,47.900002,48.380001,47.810001,47.959999,42.576332,166800
2014-07-07,47.730000,47.840000,47.000000,47.349998,42.034801,312400
2014-07-08,47.389999,48.070000,47.020000,47.939999,42.558578,365000
2014-07-09,48.230000,48.470001,47.930000,48.369999,42.940300,397600
2014-07-10,47.439999,48.230000,47.270000,47.950001,42.567440,438900
2014-07-11,47.759998,48.150002,47.470001,47.919998,42.540825,254900
2014-07-14,48.369999,48.400002,47.680000,47.849998,42.478664,220200
2014-07-15,47.959999,48.279999,47.340000,47.740002,42.381027,194900
2014-07-16,47.770000,47.980000,47.270000,47.599998,42.256725,280300
2014-07-17,47.400002,47.560001,46.590000,46.700001,41.457771,246900
2014-07-18,46.639999,47.169998,46.619999,46.709999,41.466640,690100
2014-07-21,46.590000,46.639999,46.099998,46.520000,41.297977,230300
2014-07-22,46.520000,46.900002,46.410000,46.880001,41.725178,289600
2014-07-23,46.849998,47.290001,46.520000,46.889999,41.734093,218100
2014-07-24,46.770000,47.110001,46.279999,46.410000,41.306862,295100
2014-07-25,46.080002,46.770000,46.080002,46.419998,41.315762,210200
2014-07-28,46.380001,46.900002,46.070000,46.790001,41.645081,249200
2014-07-29,46.790001,46.840000,46.450001,46.450001,41.342461,227600
2014-07-30,46.700001,46.779999,46.160000,46.169998,41.093258,163000
2014-07-31,45.709999,46.000000,44.650002,44.650002,39.740391,234700
2014-08-01,44.549999,44.650002,43.750000,44.360001,39.482273,301400
2014-08-04,44.509998,45.209999,43.869999,45.139999,40.176506,152300
2014-08-05,44.779999,45.639999,44.619999,44.820000,39.891697,111200
2014-08-06,44.720001,45.130001,44.570000,44.740002,39.820503,167000
2014-08-07,44.770000,44.770000,43.770000,44.060001,39.215267,241700
2014-08-08,44.189999,44.590000,44.060001,44.310001,39.437786,222300
2014-08-11,44.580002,45.160000,44.119999,44.570000,39.669182,233900
2014-08-12,44.650002,44.840000,44.250000,44.580002,39.678101,103600
2014-08-13,44.610001,45.230000,44.470001,45.150002,40.185413,185800
2014-08-14,45.160000,45.419998,44.950001,45.400002,40.407921,132600
2014-08-15,45.790001,46.189999,44.910000,45.200001,40.229916,242000
2014-08-18,45.700001,45.830002,45.400002,45.599998,40.585941,154900
2014-08-19,45.669998,45.869999,45.490002,45.820000,40.781738,140300
2014-08-20,45.590000,45.709999,45.150002,45.439999,40.443523,209800
2014-08-21,45.389999,45.700001,45.119999,45.470001,40.470234,136500
2014-08-22,45.450001,46.160000,45.160000,45.730000,40.701637,246600
2014-08-25,46.099998,46.099998,45.540001,45.730000,40.701637,169700
2014-08-26,45.959999,46.849998,45.720001,46.740002,41.600578,224300
2014-08-27,46.709999,46.939999,46.630001,46.799999,41.653984,191800
2014-08-28,46.740002,46.919998,46.439999,46.799999,41.653984,107500
2014-08-29,46.840000,47.299999,46.740002,47.040001,41.867592,167100
2014-09-02,47.279999,47.820000,47.009998,47.680000,42.437229,186900
2014-09-03,47.930000,48.000000,46.950001,47.029999,41.858700,186600
2014-09-04,47.230000,47.490002,46.599998,46.639999,41.511578,100800
2014-09-05,46.500000,46.849998,45.869999,46.090000,41.022060,261400
2014-09-08,46.090000,46.270000,45.740002,45.869999,40.826244,104200
2014-09-09,45.799999,45.799999,45.070000,45.099998,40.140896,200300
2014-09-10,45.189999,45.310001,44.750000,45.259998,40.283321,249100
2014-09-11,44.970001,45.279999,44.770000,45.169998,40.203217,128100
