Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,49.580002,50.130001,49.310001,50.070000,32.903767,148300
2014-01-03,50.090000,51.259998,50.029999,50.830002,33.403202,180000
2014-01-06,50.980000,51.419998,49.040001,49.480000,32.516041,331000
2014-01-07,49.639999,50.700001,49.529999,50.630001,33.271770,160700
2014-01-08,50.619999,50.669998,49.830002,50.220001,33.002342,97600
2014-01-09,50.520000,51.189999,50.299999,51.020000,33.528053,155300
2014-01-10,50.910000,52.220001,50.540001,51.799999,34.040653,165400
2014-01-13,51.689999,51.770000,50.730000,51.360001,33.751492,92000
2014-01-14,51.669998,51.790001,51.290001,51.540001,33.869778,137900
2014-01-15,51.790001,52.130001,51.490002,51.669998,33.955219,109900
2014-01-16,51.689999,52.220001,51.349998,51.610001,33.915787,402000
2014-01-17,51.599998,51.970001,51.310001,51.410000,33.784351,60400
2014-01-21,51.520000,51.520000,51.029999,51.360001,33.751492,102500
2014-01-22,51.389999,51.779999,51.049999,51.160000,33.620071,62200
2014-01-23,51.110001,51.360001,50.380001,50.459999,33.160053,96300
2014-01-24,50.099998,50.410000,49.840000,49.959999,32.831482,112000
2014-01-27,49.900002,50.340000,48.750000,49.500000,32.529179,152700
2014-01-28,49.700001,50.000000,49.590000,49.720001,32.673759,78700
2014-01-29,49.450001,49.750000,49.209999,49.259998,32.371475,157900
2014-01-30,49.410000,49.840000,49.290001,49.450001,32.496326,50000
2014-01-31,49.279999,50.430000,48.560001,49.740002,32.686901,121600
2014-02-03,49.869999,49.869999,48.250000,48.590000,31.931181,268000
2014-02-04,48.570000,48.570000,47.209999,48.360001,31.780033,273200
2014-02-05,48.270000,48.509998,47.500000,47.990002,31.536886,112100
2014-02-06,48.189999,48.480000,48.060001,48.389999,31.799747,55500
2014-02-07,48.470001,48.990002,48.110001,48.619999,31.950895,76900
2014-02-10,48.820000,49.250000,48.490002,49.240002,32.358326,89100
2014-02-11,49.389999,49.959999,49.160000,49.910000,32.798615,95300
2014-02-12,50.000000,52.200001,49.950001,51.900002,34.106354,117900
2014-02-13,51.580002,52.150002,51.250000,52.049999,34.204929,136100
2014-02-14,52.110001,52.709999,51.900002,52.709999,34.638660,55700
2014-02-18,52.740002,52.970001,52.470001,52.560001,34.540077,107500
2014-02-19,52.630001,53.160000,52.250000,52.549999,34.533504,95200
2014-02-20,52.230000,52.849998,51.919998,52.779999,34.684658,174500
2014-02-21,52.799999,53.500000,52.320000,53.029999,34.848953,153600
2014-02-24,53.160000,53.889999,53.160000,53.799999,35.354954,131700
