Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,52.889999,52.900002,52.540001,52.790001,31.102131,1750600
2014-01-03,52.709999,52.980000,52.639999,52.799999,31.108034,1291800
2014-01-06,53.080002,53.270000,52.910000,53.000000,31.225861,1631000
2014-01-07,53.099998,53.250000,52.939999,53.070000,31.267101,1349800
2014-01-08,52.880001,52.990002,52.660000,52.730000,31.066792,1748400
2014-01-09,53.270000,53.290001,52.599998,52.840000,31.131588,2454600
2014-01-10,52.779999,53.080002,52.570000,52.750000,31.078573,3437700
2014-01-13,52.160000,52.389999,51.840000,51.869999,30.560106,4547800
2014-01-14,52.189999,52.599998,52.029999,52.570000,30.972530,1960500
2014-01-15,53.000000,53.439999,52.900002,53.369999,31.443857,3451700
2014-01-16,53.459999,53.680000,53.299999,53.680000,31.626497,1561400
2014-01-17,54.029999,54.200001,53.959999,54.099998,31.873943,2355600
2014-01-21,55.040001,55.070000,54.610001,54.950001,32.374741,2921700
2014-01-22,55.000000,55.000000,54.590000,54.740002,32.250996,2454000
2014-01-23,54.700001,54.900002,54.450001,54.900002,32.345272,2689800
2014-01-24,54.020000,54.070000,53.320000,53.330002,31.420288,2557900
2014-01-27,53.380001,53.549999,53.080002,53.110001,31.290670,2248600
2014-01-28,53.290001,53.520000,52.939999,53.259998,31.379045,1598100
2014-01-29,52.150002,52.349998,51.860001,52.040001,30.660263,2974200
2014-01-30,51.689999,52.189999,51.529999,51.959999,30.613131,2576000
2014-01-31,51.119999,51.779999,51.040001,51.540001,30.365686,2689800
2014-02-03,51.849998,51.900002,50.950001,51.000000,30.047527,3331300
2014-02-04,51.080002,51.139999,50.650002,50.900002,29.988611,2290900
2014-02-05,51.540001,51.759998,51.110001,51.689999,30.454056,3803000
2014-02-06,51.799999,52.330002,51.770000,52.299999,30.813444,2351200
2014-02-07,52.639999,52.910000,52.459999,52.840000,31.131588,3822800
2014-02-10,52.529999,53.000000,52.520000,53.000000,31.225861,2394300
2014-02-11,53.500000,54.240002,53.500000,54.169998,31.915180,2450700
2014-02-12,54.610001,54.900002,54.580002,54.810001,32.292248,1692400
2014-02-13,54.570000,55.119999,54.549999,55.060001,32.439556,1481900
2014-02-14,55.480000,55.910000,55.380001,55.889999,32.928562,1798000
2014-02-18,56.259998,56.730000,56.250000,56.660000,33.382202,3072300
2014-02-19,55.700001,56.349998,55.650002,55.709999,33.262794,2529900
2014-02-20,56.049999,56.340000,55.799999,56.220001,33.567307,3013500
2014-02-21,56.230000,56.279999,55.650002,55.689999,33.250854,1876700
2014-02-24,55.500000,56.139999,55.490002,55.750000,33.286678,1787700
2014-02-25,55.520000,56.119999,55.459999,55.700001,33.256836,2503400
2014-02-26,56.110001,56.330002,56.049999,56.220001,33.567307,2396600
2014-02-27,56.139999,56.400002,56.029999,56.130001,33.513569,5895200
2014-02-28,56.000000,56.180000,55.630001,55.939999,33.400124,2836800
2014-03-03,55.490002,55.799999,55.419998,55.799999,33.316536,2322000
2014-03-04,56.299999,56.599998,56.220001,56.430000,33.692684,2254700
2014-03-05,56.349998,56.599998,56.259998,56.430000,33.692684,1696800
2014-03-06,56.299999,56.330002,55.799999,55.849998,33.346390,2172400
2014-03-07,55.580002,55.660000,55.130001,55.529999,33.155319,2176300
2014-03-10,55.459999,55.860001,55.369999,55.840000,33.340416,1898000
2014-03-11,55.700001,55.939999,55.490002,55.650002,33.226974,1844500
2014-03-12,54.849998,55.230000,54.830002,54.980000,32.826939,2057400
2014-03-13,55.150002,55.160000,54.310001,54.360001,32.456757,2616200
2014-03-14,54.439999,54.549999,54.169998,54.230000,32.379131,1611600
2014-03-17,54.310001,54.799999,54.310001,54.549999,32.570194,1484700
2014-03-18,54.570000,55.000000,54.570000,54.750000,32.689617,1270100
2014-03-19,54.860001,55.369999,54.439999,54.709999,32.665733,1530200
2014-03-20,53.730000,54.070000,53.689999,54.020000,32.253738,2336900
2014-03-21,53.709999,53.959999,53.049999,53.070000,31.686543,2897900
2014-03-24,53.410000,53.419998,52.599998,52.990002,31.638765,1989700
2014-03-25,53.630001,54.080002,53.509998,53.889999,32.176132,2404000
2014-03-26,53.950001,54.130001,53.560001,53.590000,31.997013,1985600
2014-03-27,53.799999,54.020000,53.529999,53.919998,32.194054,2442500
2014-03-28,54.110001,54.470001,53.730000,53.900002,32.182106,1550900
2014-03-31,53.529999,53.570000,53.090000,53.430000,31.901484,2583700
2014-04-01,52.840000,53.369999,52.759998,53.299999,31.823875,2603000
2014-04-02,52.930000,53.080002,52.820000,53.000000,31.644747,3096800
2014-04-03,52.770000,52.830002,52.430000,52.720001,31.477562,2228300
2014-04-04,52.740002,52.790001,52.099998,52.139999,31.131254,2810900
2014-04-07,52.000000,52.029999,51.389999,51.549999,30.778976,3608400
2014-04-08,52.209999,52.400002,52.029999,52.189999,31.161110,3299100
2014-04-09,53.029999,53.419998,52.799999,53.419998,31.895517,2506300
2014-04-10,53.400002,53.529999,52.470001,52.549999,31.376057,2321800
2014-04-11,51.730000,52.250000,51.700001,51.759998,30.904364,3281300
2014-04-14,51.779999,51.939999,51.509998,51.840000,30.952135,2217200
2014-04-15,52.150002,52.369999,51.700001,52.320000,31.238728,1850800
2014-04-16,52.639999,52.830002,52.439999,52.820000,31.537271,2571300
2014-04-17,52.340000,52.750000,52.279999,52.509998,31.352173,2219400
2014-04-21,52.680000,53.180000,52.580002,53.119999,31.716391,1637000
2014-04-22,55.520000,55.639999,55.209999,55.299999,33.017994,5317600
2014-04-23,55.500000,55.520000,54.959999,55.139999,32.922474,2253600
2014-04-24,55.660000,55.689999,55.200001,55.509998,33.143375,2505400
2014-04-25,55.720001,55.810001,55.330002,55.759998,33.292652,2102000
2014-04-28,56.029999,56.119999,55.299999,56.009998,33.441929,3226700
2014-04-29,55.680000,56.480000,55.669998,56.389999,33.668797,4050600
2014-04-30,55.450001,55.599998,54.669998,55.369999,33.059795,3905200
2014-05-01,55.330002,55.580002,55.220001,55.400002,33.077721,1723000
2014-05-02,55.020000,55.250000,54.810001,55.130001,32.916492,1758800
2014-05-05,54.869999,55.299999,54.570000,55.290001,33.012028,1959600
2014-05-06,55.360001,55.630001,55.279999,55.419998,33.089649,3114900
2014-05-07,55.330002,55.540001,55.119999,55.450001,33.107567,2619200
2014-05-08,54.820000,55.049999,54.709999,54.900002,32.779160,3024900
2014-05-09,54.689999,55.020000,54.470001,54.990002,32.832905,2695600
2014-05-12,54.830002,55.160000,54.730000,55.139999,32.922474,5204100
2014-05-13,54.910000,55.529999,54.900002,55.520000,33.149361,7863100
2014-05-14,54.750000,55.310001,54.480000,55.189999,33.336601,5753000
2014-05-15,55.169998,55.560001,55.110001,55.490002,33.517818,4123900
2014-05-16,55.340000,55.599998,55.290001,55.430000,33.481583,2375600
2014-05-19,54.799999,55.020000,54.660000,54.840000,33.125191,2824900
2014-05-20,54.810001,54.930000,54.599998,54.709999,33.046669,1830800
2014-05-21,55.090000,55.500000,55.020000,55.320000,33.415131,1530700
2014-05-22,55.250000,55.369999,55.119999,55.150002,33.312450,1281000
2014-05-23,55.000000,55.060001,54.779999,54.840000,33.125191,1485000
2014-05-27,55.279999,55.290001,54.860001,54.959999,33.197670,2966700
2014-05-28,54.099998,54.430000,53.779999,53.779999,32.484917,2264600
2014-05-29,54.330002,54.540001,54.209999,54.380001,32.847343,1750900
2014-05-30,54.000000,54.200001,53.900002,53.939999,32.581562,1758600
2014-06-02,53.529999,53.720001,53.490002,53.660000,32.412441,1597500
2014-06-03,53.340000,53.400002,53.130001,53.220001,32.146671,2620100
2014-06-04,53.240002,53.310001,53.020000,53.090000,32.068127,2383400
2014-06-05,53.529999,53.540001,53.279999,53.299999,32.195000,2123800
2014-06-06,53.520000,53.799999,53.360001,53.700001,32.436592,1757700
2014-06-09,53.849998,53.980000,53.700001,53.860001,32.533249,1504300
2014-06-10,53.880001,54.020000,53.810001,54.000000,32.617794,1266100
2014-06-11,54.310001,54.490002,54.220001,54.299999,32.799019,2276800
2014-06-12,54.689999,54.740002,54.299999,54.400002,32.859413,1467600
2014-06-13,54.389999,54.750000,54.310001,54.500000,32.919819,1501800
2014-06-16,54.529999,54.680000,54.340000,54.389999,32.853374,2198600
2014-06-17,53.869999,54.189999,53.830002,54.049999,32.648006,1575600
2014-06-18,53.779999,54.029999,53.700001,53.950001,32.587612,1637500
2014-06-19,54.439999,54.599998,54.380001,54.430000,32.877533,1256900
2014-06-20,54.689999,54.709999,54.389999,54.540001,32.943993,1618800
2014-06-23,53.750000,53.910000,53.700001,53.869999,32.539288,2023100
2014-06-24,53.689999,53.939999,53.630001,53.720001,32.448677,2124800
2014-06-25,53.389999,53.570000,53.169998,53.419998,32.267475,2440300
2014-06-26,53.439999,53.709999,53.180000,53.669998,32.418472,1447400
2014-06-27,53.919998,53.970001,53.720001,53.779999,32.484917,1169800
2014-06-30,53.630001,53.849998,53.360001,53.480000,32.303715,1772600
2014-07-01,54.340000,54.470001,54.040001,54.189999,32.732567,3471400
2014-07-02,54.160000,54.439999,54.099998,54.299999,32.799019,1580600
2014-07-03,54.759998,54.779999,54.450001,54.520000,32.931896,1108500
2014-07-07,54.320000,54.509998,54.049999,54.110001,32.684250,1822100
2014-07-08,53.689999,53.740002,53.279999,53.360001,32.231228,1686200
2014-07-09,53.520000,54.009998,53.450001,53.869999,32.539288,1662500
2014-07-10,53.900002,54.490002,53.849998,54.400002,32.859413,2509100
2014-07-11,53.660000,53.980000,53.500000,53.709999,32.442631,2226500
2014-07-14,53.590000,53.660000,53.419998,53.580002,32.364105,2028700
2014-07-15,53.450001,53.599998,53.130001,53.320000,32.207066,2037800
2014-07-16,53.259998,53.549999,53.020000,53.310001,32.201023,3256400
2014-07-17,53.139999,53.520000,53.020000,53.080002,32.062103,2649700
2014-07-18,53.380001,53.820000,53.240002,53.720001,32.448677,1973700
2014-07-21,53.230000,53.480000,53.189999,53.389999,32.249344,2045300
2014-07-22,53.520000,53.590000,53.209999,53.220001,32.146671,1986300
2014-07-23,50.279999,50.930000,50.009998,50.040001,30.225838,13439900
2014-07-24,50.060001,50.200001,49.700001,50.080002,30.249990,9530100
2014-07-25,48.910000,48.980000,48.230000,48.599998,29.356022,10706000
2014-07-28,48.669998,48.680000,48.080002,48.200001,29.114408,6890400
2014-07-29,48.459999,48.580002,48.009998,48.029999,29.011724,5375300
2014-07-30,48.320000,48.540001,48.200001,48.470001,29.277500,3939000
2014-07-31,48.880001,48.880001,48.349998,48.369999,29.217102,5813500
2014-08-01,47.580002,48.090000,47.509998,48.029999,29.011724,5434600
2014-08-04,48.650002,48.669998,48.160000,48.529999,29.313742,3994500
2014-08-05,48.830002,48.980000,48.520000,48.680000,29.404348,4683000
2014-08-06,47.639999,47.860001,47.470001,47.709999,29.207220,4078700
2014-08-07,47.080002,47.119999,46.220001,46.349998,28.374651,6105800
2014-08-08,46.189999,46.669998,46.009998,46.580002,28.515469,4769600
2014-08-11,46.400002,46.599998,46.270000,46.590000,28.521587,3578600
2014-08-12,46.419998,46.650002,46.360001,46.610001,28.533821,3384200
2014-08-13,46.570000,46.720001,46.450001,46.580002,28.515469,3003700
2014-08-14,46.619999,47.040001,46.590000,47.020000,28.784821,3732600
2014-08-15,47.250000,47.299999,46.610001,46.869999,28.693001,2390700
2014-08-18,47.299999,47.480000,47.230000,47.459999,29.054167,1922500
2014-08-19,47.060001,47.419998,46.970001,47.349998,28.986839,3706200
2014-08-20,47.480000,47.830002,47.299999,47.810001,29.268444,5286700
2014-08-21,47.860001,47.900002,47.650002,47.700001,29.201101,4035500
2014-08-22,47.490002,47.770000,47.410000,47.680000,29.188864,2703600
2014-08-25,48.070000,48.250000,47.849998,48.130001,29.464342,2543600
2014-08-26,48.130001,48.400002,48.099998,48.259998,29.543930,2991400
2014-08-27,48.619999,48.820000,48.560001,48.669998,29.794922,2767200
2014-08-28,48.930000,48.980000,48.709999,48.869999,29.917358,2702700
2014-08-29,49.230000,49.240002,48.889999,49.099998,30.058159,2393200
2014-09-02,48.330002,48.360001,48.110001,48.290001,29.562300,2978500
2014-09-03,48.740002,48.770000,48.500000,48.619999,29.764301,2185400
2014-09-04,48.410000,48.419998,48.080002,48.189999,29.501074,2845600
2014-09-05,47.599998,47.919998,47.470001,47.919998,29.335789,3833300
2014-09-08,46.290001,46.799999,46.270000,46.779999,28.637897,7958700
2014-09-09,46.529999,46.840000,46.349998,46.650002,28.558317,3855900
2014-09-10,46.900002,47.410000,46.759998,47.279999,28.943998,3596400
2014-09-11,46.700001,46.930000,46.450001,46.930000,28.729731,4258700
2014-09-12,47.139999,47.139999,46.900002,47.060001,28.809311,2958500
2014-09-15,46.790001,47.139999,46.730000,46.980000,28.760330,3370900
2014-09-16,46.799999,47.340000,46.770000,47.299999,28.956234,2661800
2014-09-17,47.259998,47.369999,47.020000,47.099998,28.833803,5022700
2014-09-18,47.360001,47.450001,47.150002,47.290001,28.950113,5072900
2014-09-19,47.599998,47.689999,47.369999,47.380001,29.005213,7925600
2014-09-22,47.500000,47.619999,47.119999,47.320000,28.968481,7844600
2014-09-23,46.669998,46.930000,46.610001,46.639999,28.552191,7679800
2014-09-24,46.619999,47.040001,46.590000,47.029999,28.790951,9801100
2014-09-25,46.959999,46.980000,46.610001,46.680000,28.576679,5098300
