Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,45.657001,45.862202,44.672039,44.856720,42.602798,1763791
2014-01-03,44.733601,45.328678,44.631001,45.164520,42.895134,461257
2014-01-06,45.123482,45.390240,44.651520,45.144001,42.875629,1172320
2014-01-07,45.144001,45.349201,44.938801,45.144001,42.875629,1992593
2014-01-08,45.205559,45.205559,44.733601,45.205559,42.934113,1154240
2014-01-09,45.144001,45.185040,44.548920,44.877239,42.622284,459600
2014-01-10,44.651520,44.856720,44.261639,44.507881,42.271484,812329
2014-01-13,44.241119,44.795158,44.241119,44.569439,42.329960,728216
2014-01-14,44.548920,45.369720,44.405281,45.349201,43.070526,1251608
2014-01-15,45.246601,45.492840,44.795158,44.959320,42.700245,915253
2014-01-16,44.938801,45.205559,44.507881,45.061920,42.797691,1130019
2014-01-17,45.061920,46.293121,44.733601,45.657001,43.362873,2702290
2014-01-21,46.190521,46.354679,44.815681,44.979839,42.719727,1280214
2014-01-22,45.123482,46.149479,44.938801,46.087921,43.772137,1428655
2014-01-23,46.026360,46.498322,45.349201,46.498322,44.161919,936062
2014-01-24,45.862202,46.128960,45.328678,46.067402,43.752655,891033
2014-01-27,46.067402,46.067402,44.918282,45.123482,42.856152,1099610
2014-01-28,44.815681,45.144001,44.631001,44.938801,42.680752,686209
2014-01-29,44.754120,44.897758,44.241119,44.446320,42.213020,437865
2014-01-30,44.651520,44.774639,44.323200,44.446320,42.213020,520273
2014-01-31,44.138519,44.507881,43.789680,44.425800,42.193531,428606
2014-02-03,44.425800,44.528400,42.763680,42.989399,40.829300,1115010
2014-02-04,43.091999,43.256161,42.763680,43.153561,40.985226,835770
2014-02-05,42.784199,43.009918,42.168598,42.681599,40.536976,694786
2014-02-06,42.763680,43.502399,42.722641,43.502399,41.316532,294103
2014-02-07,43.625519,44.877239,43.543442,44.425800,42.193531,513012
2014-02-10,44.466839,44.507881,43.707600,43.933319,41.725803,562427
2014-02-11,44.589958,44.672039,44.035919,44.507881,42.271484,642446
2014-02-12,44.610481,45.041401,44.364239,44.918282,42.661274,436647
2014-02-13,44.692558,45.185040,44.425800,45.041401,42.778206,551608
2014-02-14,45.144001,45.246601,44.856720,45.144001,42.875629,647856
2014-02-18,45.144001,45.144001,44.589958,44.651520,42.407913,616179
2014-02-19,44.651520,45.041401,44.118000,44.179562,41.959663,441033
2014-02-20,44.118000,44.466839,43.728119,44.097481,41.881714,602096
2014-02-21,44.118000,45.533878,44.056438,45.451801,43.167980,1166082
2014-02-24,45.574921,46.169998,45.226082,45.677521,43.382351,743177
2014-02-25,45.657001,46.334160,45.574921,45.903240,43.596737,823197
2014-02-26,45.985321,46.539360,45.759602,46.252079,43.928047,1072027
2014-02-27,45.985321,46.908718,44.733601,46.149479,43.830601,2187817
2014-02-28,46.169998,46.334160,45.308159,45.882721,43.577248,970565
2014-03-03,45.595440,46.169998,45.369720,46.149479,43.830601,676754
2014-03-04,47.011318,47.401199,46.087921,46.293121,43.967033,2307018
2014-03-05,46.108440,46.970280,46.067402,46.724041,44.376297,668713
2014-03-06,46.724041,46.908718,45.964802,46.128960,43.811104,682407
2014-03-07,46.067402,46.847160,45.964802,46.600922,44.259357,642349
2014-03-10,46.703522,46.888199,45.615959,45.923759,43.616222,922027
2014-03-11,45.944279,46.087921,45.144001,45.369720,43.090027,835429
2014-03-12,45.226082,45.964802,44.672039,45.862202,43.557755,788645
2014-03-13,45.615959,46.026360,45.061920,45.246601,42.973091,992690
2014-03-14,45.061920,45.677521,44.877239,45.205559,42.934113,609064
2014-03-17,45.369720,45.944279,45.328678,45.390240,43.109501,369250
2014-03-18,45.349201,46.354679,45.267120,46.313641,43.986511,677778
2014-03-19,46.211040,46.231560,45.472321,45.677521,43.382351,733382
2014-03-20,45.657001,46.005840,45.369720,45.492840,43.206959,652729
2014-03-21,45.698040,47.175480,45.451801,47.175480,44.805050,3026754
2014-03-24,47.072880,47.380680,46.087921,46.703522,44.356804,966033
2014-03-25,46.744560,46.990799,46.128960,46.128960,43.811104,781774
2014-03-26,46.169998,46.313641,45.739079,45.841679,43.538265,781969
2014-03-27,45.780121,46.211040,45.492840,45.615959,43.323879,670517
2014-03-28,45.492840,45.923759,45.041401,45.657001,43.362873,2073051
2014-03-31,45.841679,46.026360,45.144001,45.636478,43.343376,4896930
2014-04-01,45.595440,46.580399,45.574921,46.272598,43.947529,1052534
2014-04-02,46.169998,46.559879,46.067402,46.108440,43.791634,1061550
2014-04-03,46.169998,46.334160,45.185040,45.185040,42.914623,959357
2014-04-04,45.205559,45.246601,44.241119,44.302681,42.076584,2767300
2014-04-07,44.323200,44.384762,43.625519,43.851238,41.647831,694298
2014-04-08,43.810200,43.912800,43.379280,43.830719,41.628342,686160
2014-04-09,43.974361,44.425800,43.871761,44.138519,41.920681,864815
2014-04-10,44.056438,44.261639,43.174080,43.461361,41.277546,527973
2014-04-11,43.297199,43.871761,43.009918,43.605000,41.413971,760136
