Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,7.625000,7.800000,7.625000,7.755000,7.155862,861200
2014-01-03,7.667500,7.812500,7.485000,7.652500,7.061281,2398000
2014-01-06,7.685000,7.710000,7.272500,7.342500,6.775231,3040400
2014-01-07,7.337500,7.422500,7.200000,7.302500,6.738321,4024000
2014-01-08,7.402500,7.802500,7.257500,7.520000,6.939017,3885600
2014-01-09,7.542500,7.607500,7.192500,7.245000,6.685264,741200
2014-01-10,7.260000,7.330000,6.922500,7.255000,6.694491,1867600
2014-01-13,7.157500,7.272500,6.982500,6.995000,6.454578,712800
2014-01-14,7.025000,7.160000,7.002500,7.092500,6.544546,444400
2014-01-15,7.075000,7.230000,7.075000,7.140000,6.588376,480000
2014-01-16,7.125000,7.315000,7.085000,7.210000,6.652967,565200
2014-01-17,7.237500,7.602500,7.202500,7.500000,6.920563,6476400
2014-01-21,7.757500,7.805000,6.922500,6.975000,6.436123,3024400
2014-01-22,7.050000,7.192500,6.967500,7.145000,6.592989,844000
2014-01-23,6.922500,6.935000,6.262500,6.862500,6.332315,2351600
2014-01-24,6.710000,6.837500,6.650000,6.665000,6.150074,2006400
2014-01-27,6.620000,6.745000,6.345000,6.630000,6.117777,1805600
2014-01-28,6.575000,7.020000,6.575000,7.015000,6.473033,1104800
2014-01-29,6.985000,7.040000,6.752500,6.880000,6.348464,1136400
2014-01-30,6.870000,6.980000,6.762500,6.855000,6.325395,799600
2014-01-31,6.882500,6.997500,6.677500,6.787500,6.263110,373600
2014-02-03,6.730000,6.830000,6.380000,6.387500,5.894013,1142400
2014-02-04,6.375000,6.687500,6.375000,6.607500,6.097016,552800
2014-02-05,6.502500,6.557500,6.315000,6.550000,6.043958,473600
2014-02-06,6.622500,7.125000,6.505000,7.105000,6.556080,962000
2014-02-07,7.195000,7.230000,6.970000,7.097500,6.549160,459600
2014-02-10,7.030000,7.222500,7.030000,7.107500,6.558388,338000
2014-02-11,7.185000,7.250000,6.957500,6.997500,6.456885,566000
2014-02-12,6.815000,6.882500,6.710000,6.747500,6.226199,872000
2014-02-13,6.500000,6.842500,6.500000,6.722500,6.203131,848000
2014-02-14,6.767500,6.767500,6.617500,6.662500,6.147766,327200
2014-02-18,6.700000,6.995000,6.680000,6.927500,6.392293,597200
2014-02-19,6.960000,7.165000,6.907500,7.062500,6.516863,475600
2014-02-20,7.000000,7.177500,6.922500,6.965000,6.426896,1028000
2014-02-21,6.980000,7.015000,6.887500,6.950000,6.413055,293600
2014-02-24,6.930000,7.200000,6.912500,6.985000,6.445351,448400
2014-02-25,6.987500,7.130000,6.912500,7.092500,6.544546,240800
2014-02-26,7.150000,7.177500,7.035000,7.125000,6.574535,529600
2014-02-27,7.157500,7.157500,7.080000,7.100000,6.551466,420000
2014-02-28,7.127500,7.187500,6.927500,7.040000,6.496102,464800
2014-03-03,6.970000,7.007500,6.900000,6.987500,6.447658,453600
2014-03-04,7.067500,7.150000,7.025000,7.050000,6.505329,644000
2014-03-05,7.140000,7.150000,7.082500,7.100000,6.551466,488000
2014-03-06,7.100000,7.415000,7.032500,7.275000,6.712946,1464400
2014-03-07,7.372500,7.527500,7.290000,7.462500,6.885960,986000
2014-03-10,7.387500,7.387500,6.592500,6.742500,6.221585,1876000
2014-03-11,6.915000,6.940000,6.627500,6.682500,6.166222,1105200
2014-03-12,6.745000,6.995000,6.262500,6.560000,6.053186,1687200
2014-03-13,6.440000,6.445000,6.225000,6.292500,5.806352,2371600
2014-03-14,6.045000,6.212500,5.737500,5.860000,5.407266,2434400
2014-03-17,5.862500,6.122500,5.857500,5.887500,5.432642,1006800
2014-03-18,5.847500,6.037500,5.847500,5.990000,5.527223,1719200
2014-03-19,6.000000,6.200000,5.967500,6.130000,5.656407,1667600
2014-03-20,6.015000,6.165000,5.987500,6.015000,5.550291,554400
2014-03-21,6.070000,6.085000,5.765000,5.782500,5.335754,1197600
2014-03-24,5.752500,5.790000,5.540000,5.605000,5.171968,1176800
2014-03-25,5.567500,5.702500,5.560000,5.630000,5.195036,1154000
2014-03-26,5.700000,5.827500,5.700000,5.780000,5.333447,1156000
2014-03-27,5.822500,5.937500,5.762500,5.837500,5.386505,720800
2014-03-28,5.887500,6.095000,5.852500,5.920000,5.462631,322400
2014-03-31,6.025000,6.197500,5.997500,6.142500,5.667941,765600
2014-04-01,6.185000,6.225000,6.020000,6.062500,5.594121,1257600
2014-04-02,6.132500,6.195000,6.025000,6.167500,5.691010,532400
2014-04-03,6.152500,6.222500,5.970000,6.027500,5.561826,467600
2014-04-04,6.055000,6.055000,5.880000,5.917500,5.460324,392000
2014-04-07,5.892500,5.912500,5.765000,5.825000,5.374971,871200
2014-04-08,5.865000,5.977500,5.855000,5.875000,5.421108,413200
2014-04-09,5.925000,6.055000,5.917500,6.037500,5.571053,416000
2014-04-10,6.007500,6.137500,5.967500,6.022500,5.557212,481200
2014-04-11,5.970000,5.990000,5.832500,5.857500,5.404960,378400
2014-04-14,5.845000,6.027500,5.822500,5.932500,5.474165,461200
2014-04-15,5.915000,5.947500,5.830000,5.887500,5.432642,585600
2014-04-16,5.950000,6.077500,5.905000,6.032500,5.566439,287200
2014-04-17,6.000000,6.080000,5.897500,5.977500,5.515688,493600
2014-04-21,5.970000,6.012500,5.892500,5.942500,5.483393,472800
2014-04-22,5.917500,6.010000,5.885000,6.000000,5.536450,264000
2014-04-23,5.952500,6.012500,5.830000,5.882500,5.428028,268000
2014-04-24,5.887500,5.887500,5.727500,5.770000,5.324220,378400
2014-04-25,5.735000,5.745000,5.435000,5.505000,5.079694,970800
2014-04-28,5.477500,5.505000,5.450000,5.497500,5.072773,746400
