Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,29.309999,29.400000,28.629999,28.700001,27.167034,146600
2014-01-03,28.690001,29.320000,28.570000,29.129999,27.574068,1141200
2014-01-06,29.160000,29.990000,29.030001,29.750000,28.160948,174800
2014-01-07,29.870001,30.559999,29.670000,30.170000,28.558514,183100
2014-01-08,30.080000,30.540001,29.940001,30.309999,28.691032,231800
2014-01-09,30.500000,30.900000,30.080000,30.530001,28.899282,145000
2014-01-10,30.670000,30.670000,30.129999,30.620001,28.984476,287000
2014-01-13,30.590000,30.860001,30.180000,30.450001,28.823555,238800
2014-01-14,30.680000,31.200001,30.410000,31.160000,29.495630,180100
2014-01-15,31.309999,32.560001,31.230000,32.200001,30.480089,308600
2014-01-16,32.000000,32.320000,31.889999,32.259998,30.536879,130700
2014-01-17,32.200001,32.410000,32.099998,32.250000,30.527416,122800
2014-01-21,32.430000,32.700001,32.400002,32.680000,30.934452,159300
2014-01-22,32.790001,32.830002,32.459999,32.680000,30.934452,332400
2014-01-23,32.459999,32.619999,32.060001,32.279999,30.555807,400100
2014-01-24,31.969999,32.080002,31.330000,31.549999,29.864805,260500
2014-01-27,31.580000,31.580000,30.549999,30.620001,28.984476,143000
2014-01-28,30.620001,31.049999,30.360001,31.030001,29.372581,212100
2014-01-29,30.700001,30.870001,30.410000,30.760000,29.116999,221400
2014-01-30,31.120001,31.200001,30.709999,31.040001,29.382042,294500
2014-01-31,30.690001,30.900000,30.450001,30.870001,29.221127,129200
2014-02-03,30.879999,30.950001,29.410000,29.870001,28.274536,262600
2014-02-04,30.040001,30.120001,29.540001,30.030001,28.425995,287000
2014-02-05,29.900000,30.059999,29.280001,29.730000,28.142015,139700
2014-02-06,29.850000,30.410000,29.719999,29.809999,28.217743,109300
2014-02-07,29.879999,30.240000,29.850000,30.150000,28.539579,91700
2014-02-10,30.049999,30.139999,29.850000,30.000000,28.397596,155300
2014-02-11,30.070000,30.590000,30.000000,30.379999,28.757294,87000
2014-02-12,28.500000,29.160000,28.240000,28.930000,27.384747,415100
2014-02-13,28.820000,29.629999,28.250000,29.400000,27.829634,224300
2014-02-14,29.370001,29.660000,29.309999,29.510000,27.933764,94500
2014-02-18,29.510000,29.700001,29.219999,29.500000,27.924301,113600
2014-02-19,29.389999,29.540001,28.780001,28.840000,27.299553,160400
2014-02-20,28.830000,29.400000,28.559999,29.389999,27.820177,129000
2014-02-21,29.350000,29.350000,28.900000,29.000000,27.451008,112900
2014-02-24,28.990000,29.540001,28.930000,29.299999,27.734985,92800
2014-02-25,29.309999,29.450001,29.090000,29.160000,27.602465,57400
2014-02-26,29.260000,29.690001,29.209999,29.490000,27.914839,65000
2014-02-27,29.450001,29.910000,29.290001,29.889999,28.293472,88600
2014-02-28,29.990000,30.309999,29.900000,30.160000,28.549047,173600
2014-03-03,29.910000,30.440001,29.700001,30.170000,28.558514,169000
2014-03-04,30.590000,31.240000,30.590000,31.080000,29.419905,241300
2014-03-05,30.900000,30.969999,29.570000,30.000000,28.397596,351700
2014-03-06,30.080000,30.740000,29.990000,30.570000,29.024223,114400
2014-03-07,30.889999,31.170000,30.520000,31.139999,29.565395,144400
2014-03-10,31.170000,31.400000,30.950001,31.350000,29.764778,115400
2014-03-11,31.440001,31.440001,30.840000,30.900000,29.337536,123800
2014-03-12,30.870001,31.030001,30.480000,30.910000,29.347033,88000
2014-03-13,30.930000,30.930000,29.900000,30.160000,28.634953,164200
2014-03-14,29.980000,30.639999,29.980000,30.549999,29.005232,116300
2014-03-17,30.920000,31.719999,30.920000,31.080000,29.508434,114000
2014-03-18,31.190001,31.410000,30.940001,31.400000,29.812258,76900
2014-03-19,31.340000,31.540001,31.000000,31.330000,29.745789,93500
2014-03-20,31.270000,31.559999,31.059999,31.150000,29.574890,39200
2014-03-21,31.340000,31.740000,30.799999,31.030001,29.460966,143700
2014-03-24,31.040001,31.230000,30.750000,31.000000,29.432480,130700
2014-03-25,31.190001,31.280001,30.770000,30.830000,29.271074,180800
2014-03-26,31.080000,31.090000,30.080000,30.150000,28.625456,192100
2014-03-27,30.170000,30.320000,29.879999,30.150000,28.625456,93200
2014-03-28,30.129999,30.620001,29.840000,30.070000,28.549503,56000
2014-03-31,30.200001,31.059999,29.930000,30.900000,29.337536,152900
2014-04-01,31.110001,31.490000,30.940001,31.299999,29.717302,123900
2014-04-02,31.299999,31.639999,31.219999,31.620001,30.021135,47700
2014-04-03,31.690001,31.740000,31.020000,31.260000,29.679329,59200
2014-04-04,31.540001,31.540001,30.230000,30.590000,29.043209,124300
2014-04-07,30.379999,30.389999,29.969999,30.010000,28.492535,92300
2014-04-08,30.070000,30.629999,30.000000,30.330000,28.796356,116500
2014-04-09,30.520000,30.830000,30.260000,30.780001,29.223598,63400
2014-04-10,30.680000,30.770000,30.000000,30.049999,28.530521,90200
2014-04-11,29.700001,30.200001,29.379999,29.520000,28.027313,160100
2014-04-14,29.930000,29.959999,29.240000,29.420000,27.932373,79200
2014-04-15,29.610001,29.650000,28.920000,29.510000,28.017820,118400
2014-04-16,29.790001,30.080000,29.740000,30.000000,28.483042,55100
2014-04-17,30.000000,30.570000,29.870001,30.299999,28.767876,52100
2014-04-21,30.450001,30.559999,30.040001,30.469999,28.929279,62700
2014-04-22,30.610001,30.990000,30.240000,30.740000,29.185623,84000
2014-04-23,30.620001,30.850000,30.370001,30.610001,29.062201,105400
2014-04-24,30.760000,30.760000,30.100000,30.160000,28.634953,78500
2014-04-25,29.940001,29.980000,29.190001,29.490000,27.998835,163700
2014-04-28,29.670000,29.670000,29.020000,29.260000,27.780457,174500
2014-04-29,29.299999,29.620001,28.959999,29.030001,27.562092,105200
2014-04-30,28.879999,29.110001,28.490000,28.990000,27.524109,178200
2014-05-01,28.860001,28.980000,28.350000,28.650000,27.201303,163400
2014-05-02,28.709999,29.049999,28.559999,28.650000,27.201303,68500
2014-05-05,28.360001,28.660000,28.090000,28.270000,26.840525,96800
2014-05-06,28.340000,29.170000,28.030001,28.830000,27.372204,263600
2014-05-07,28.850000,28.969999,28.500000,28.879999,27.419668,97100
2014-05-08,28.930000,29.280001,28.440001,28.490000,27.049400,110600
2014-05-09,28.320000,28.740000,28.230000,28.680000,27.229792,81000
2014-05-12,28.900000,29.790001,28.900000,29.709999,28.207710,108000
2014-05-13,29.629999,30.219999,29.490000,30.000000,28.483042,167600
2014-05-14,29.870001,29.900000,29.340000,29.500000,28.008327,118200
2014-05-15,29.260000,29.809999,28.910000,29.290001,27.808947,211800
2014-05-16,29.209999,29.230000,28.840000,29.209999,27.732985,198900
2014-05-19,29.230000,29.799999,29.000000,29.420000,27.932373,58100
2014-05-20,29.250000,29.250000,28.530001,28.950001,27.486139,169400
2014-05-21,28.910000,29.150000,28.400000,29.030001,27.648041,172400
2014-05-22,29.010000,29.610001,28.969999,29.379999,27.981384,100100
2014-05-23,29.459999,30.049999,29.299999,30.049999,28.619490,153100
2014-05-27,30.040001,30.400000,29.780001,29.850000,28.429008,102400
2014-05-28,29.830000,29.830000,29.309999,29.440001,28.038530,188900
2014-05-29,29.389999,29.420000,28.840000,29.090000,27.705187,71700
2014-05-30,29.090000,29.090000,28.600000,28.600000,27.238518,107600
2014-06-02,28.750000,28.879999,28.070000,28.480000,27.124228,148000
2014-06-03,28.240000,28.430000,27.830000,28.299999,26.952799,217500
2014-06-04,28.309999,28.490000,28.200001,28.379999,27.028988,90100
2014-06-05,28.420000,28.879999,28.230000,28.870001,27.495663,277300
2014-06-06,29.100000,30.290001,28.969999,30.180000,28.743301,123800
2014-06-09,30.150000,30.920000,30.139999,30.830000,29.362358,112900
2014-06-10,30.639999,30.980000,30.400000,30.920000,29.448072,90200
2014-06-11,30.750000,31.290001,30.520000,31.250000,29.762362,172800
2014-06-12,31.270000,31.270000,29.660000,29.940001,28.514723,142100
2014-06-13,29.900000,29.900000,29.230000,29.330000,27.933762,88900
2014-06-16,29.450001,29.450001,28.610001,28.889999,27.514709,92400
2014-06-17,28.740000,29.650000,28.410000,29.410000,28.009964,159600
2014-06-18,29.520000,29.629999,29.070000,29.590000,28.181385,55200
2014-06-19,29.650000,29.750000,29.469999,29.670000,28.257582,64300
2014-06-20,29.549999,30.049999,29.520000,30.030001,28.600435,170800
2014-06-23,30.040001,30.219999,29.910000,30.170000,28.733772,102800
2014-06-24,30.270000,30.889999,30.120001,30.459999,29.009968,156600
2014-06-25,30.180000,30.469999,30.080000,30.379999,28.933771,112700
2014-06-26,30.320000,30.440001,29.879999,30.360001,28.914732,68800
2014-06-27,30.190001,31.110001,30.190001,31.070000,29.590933,154800
2014-06-30,31.070000,31.110001,30.580000,30.990000,29.514746,103400
2014-07-01,31.170000,31.530001,30.840000,30.879999,29.409971,140400
2014-07-02,30.700001,30.900000,30.520000,30.549999,29.095686,91400
2014-07-03,30.650000,31.100000,30.520000,31.000000,29.524263,34100
2014-07-07,30.900000,30.900000,30.110001,30.250000,28.809965,103100
2014-07-08,30.230000,30.240000,29.400000,29.840000,28.419491,132300
2014-07-09,29.990000,29.990000,29.540001,29.639999,28.229004,79000
2014-07-10,28.969999,29.309999,28.770000,29.100000,27.714708,106500
2014-07-11,29.120001,29.250000,28.889999,29.110001,27.724232,54900
2014-07-14,29.440001,29.500000,29.020000,29.190001,27.800430,57800
2014-07-15,29.299999,29.299999,28.680000,28.830000,27.457565,48800
2014-07-16,29.110001,29.110001,28.459999,28.709999,27.343275,47600
2014-07-17,28.459999,28.549999,28.160000,28.379999,27.028988,96600
2014-07-18,28.280001,28.950001,28.090000,28.910000,27.533754,81300
2014-07-21,28.780001,28.780001,28.309999,28.400000,27.048035,49100
2014-07-22,28.469999,28.870001,28.360001,28.500000,27.143270,64000
2014-07-23,28.480000,28.620001,28.150000,28.240000,26.895653,41500
2014-07-24,28.240000,28.250000,27.809999,27.930000,26.600403,40900
2014-07-25,27.639999,27.750000,27.309999,27.440001,26.133734,44600
2014-07-28,27.440001,27.440001,27.020000,27.200001,25.905165,48700
2014-07-29,27.200001,27.520000,26.920000,26.959999,25.676582,45000
2014-07-30,27.160000,27.219999,26.830000,27.000000,25.714678,44800
