Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,5.500000,5.500000,5.360000,5.400000,5.400000,786300
2014-01-03,5.400000,5.470000,5.380000,5.400000,5.400000,560800
2014-01-06,5.400000,5.490000,5.380000,5.380000,5.380000,689500
2014-01-07,5.380000,5.460000,5.370000,5.390000,5.390000,418600
2014-01-08,5.400000,5.450000,5.300000,5.360000,5.360000,819400
2014-01-09,5.400000,5.440000,5.310000,5.440000,5.440000,2216700
2014-01-10,5.490000,5.750000,5.450000,5.650000,5.650000,1143300
2014-01-13,5.660000,5.780000,5.500000,5.550000,5.550000,1486600
2014-01-14,5.590000,5.980000,5.580000,5.800000,5.800000,1225500
2014-01-15,5.840000,5.900000,5.800000,5.830000,5.830000,1843900
2014-01-16,5.820000,5.890000,5.790000,5.790000,5.790000,1149400
2014-01-17,5.740000,5.890000,5.690000,5.860000,5.860000,942700
2014-01-21,5.900000,5.900000,5.780000,5.870000,5.870000,787400
2014-01-22,5.850000,6.070000,5.850000,6.020000,6.020000,971700
2014-01-23,5.990000,6.050000,5.950000,6.020000,6.020000,1098400
2014-01-24,5.980000,6.030000,5.870000,5.950000,5.950000,996800
2014-01-27,5.960000,5.960000,5.770000,5.860000,5.860000,1162900
2014-01-28,5.840000,5.910000,5.760000,5.890000,5.890000,807400
2014-01-29,5.830000,5.970000,5.750000,5.850000,5.850000,707400
2014-01-30,5.890000,5.910000,5.710000,5.850000,5.850000,1202400
2014-01-31,5.730000,5.900000,5.730000,5.780000,5.780000,589600
2014-02-03,5.740000,5.820000,5.590000,5.640000,5.640000,974300
2014-02-04,5.670000,5.670000,5.570000,5.600000,5.600000,584300
2014-02-05,5.600000,5.670000,5.520000,5.580000,5.580000,497400
2014-02-06,5.620000,6.060000,5.550000,5.940000,5.940000,4880000
2014-02-07,6.450000,6.810000,5.910000,6.810000,6.810000,9019800
2014-02-10,6.810000,6.920000,6.630000,6.870000,6.870000,3068900
2014-02-11,6.830000,7.180000,6.800000,7.100000,7.100000,2540100
2014-02-12,7.000000,7.200000,6.930000,7.180000,7.180000,1630500
2014-02-13,7.150000,7.700000,7.120000,7.370000,7.370000,3667900
2014-02-14,7.360000,7.730000,7.280000,7.730000,7.730000,1781000
2014-02-18,7.720000,7.780000,7.520000,7.730000,7.730000,1619900
2014-02-19,7.700000,7.800000,7.660000,7.770000,7.770000,1793500
2014-02-20,7.800000,7.850000,7.680000,7.850000,7.850000,1378100
2014-02-21,7.850000,7.860000,7.660000,7.690000,7.690000,963700
2014-02-24,7.710000,7.770000,7.660000,7.700000,7.700000,945000
2014-02-25,7.710000,7.750000,7.620000,7.690000,7.690000,832100
2014-02-26,7.720000,7.750000,7.650000,7.690000,7.690000,1002600
2014-02-27,7.670000,7.720000,7.640000,7.700000,7.700000,527800
2014-02-28,7.720000,7.750000,7.550000,7.570000,7.570000,1378900
2014-03-03,7.550000,7.740000,7.500000,7.680000,7.680000,878400
2014-03-04,7.770000,8.000000,7.750000,7.900000,7.900000,1580200
2014-03-05,7.890000,7.980000,7.810000,7.870000,7.870000,809200
2014-03-06,7.870000,7.900000,7.760000,7.800000,7.800000,588500
2014-03-07,7.830000,7.860000,7.750000,7.790000,7.790000,482600
2014-03-10,7.800000,7.830000,7.660000,7.680000,7.680000,827000
2014-03-11,7.670000,7.690000,7.500000,7.540000,7.540000,925800
2014-03-12,7.530000,7.800000,7.530000,7.730000,7.730000,970700
2014-03-13,7.760000,7.810000,7.490000,7.580000,7.580000,695800
