Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,41.520000,42.049999,41.270000,41.910000,41.073761,320700
2014-01-03,41.799999,42.130001,41.480000,41.970001,41.132565,385200
2014-01-06,41.939999,42.040001,41.619999,41.779999,40.946350,412700
2014-01-07,41.910000,42.720001,41.310001,42.570000,41.720592,551200
2014-01-08,42.500000,42.720001,41.790001,42.540001,41.691181,323000
2014-01-09,42.770000,43.880001,42.400002,43.150002,42.289017,456200
2014-01-10,43.240002,43.599998,42.939999,43.250000,42.387016,368600
2014-01-13,43.000000,43.000000,41.610001,41.779999,40.946350,283600
2014-01-14,41.799999,42.730000,41.799999,41.900002,41.063961,269500
2014-01-15,41.799999,41.959999,41.419998,41.610001,40.779751,242900
2014-01-16,41.650002,42.200001,41.299999,41.730000,40.897354,271000
2014-01-17,41.730000,41.849998,41.040001,41.360001,40.534737,369000
2014-01-21,41.520000,42.230000,41.450001,42.040001,41.201168,526200
2014-01-22,41.980000,42.279999,41.509998,41.689999,40.858143,384900
2014-01-23,41.549999,41.610001,40.490002,40.500000,39.691895,487200
2014-01-24,40.299999,40.389999,39.450001,39.820000,39.025463,705700
2014-01-27,39.770000,40.110001,39.349998,39.549999,38.760853,408700
2014-01-28,39.459999,39.820000,39.360001,39.490002,38.702038,544300
2014-01-29,39.959999,39.959999,38.119999,38.990002,38.212021,587300
2014-01-30,39.389999,39.459999,38.669998,39.049999,38.270824,200300
2014-01-31,38.639999,39.180000,38.400002,38.740002,37.967018,424900
2014-02-03,38.820000,38.939999,37.470001,37.619999,36.869358,581000
2014-02-04,37.700001,38.240002,37.090000,37.549999,36.800755,309000
2014-02-05,37.349998,38.650002,37.349998,38.560001,37.790607,299900
2014-02-06,38.750000,39.389999,38.410000,39.259998,38.476635,321100
2014-02-07,39.320000,39.599998,38.919998,39.209999,38.427628,512600
2014-02-10,39.070000,39.369999,38.889999,39.099998,38.319824,295100
2014-02-11,39.099998,39.639999,39.099998,39.459999,38.672642,210000
2014-02-12,39.500000,39.790001,38.970001,39.070000,38.290424,155600
2014-02-13,38.939999,39.750000,38.900002,39.619999,38.829456,210500
2014-02-14,39.810001,39.910000,39.029999,39.740002,38.947060,108500
2014-02-18,39.700001,40.180000,39.340000,39.520000,38.731449,389300
2014-02-19,39.230000,40.029999,39.150002,39.299999,38.515839,341100
2014-02-20,39.150002,39.759998,38.279999,39.160000,38.378624,747600
2014-02-21,39.259998,39.500000,38.779999,38.849998,38.074814,346700
2014-02-24,38.779999,39.209999,38.610001,38.799999,38.025814,782500
2014-02-25,38.720001,39.070000,38.549999,38.980000,38.202217,352000
2014-02-26,39.160000,39.630001,38.939999,39.450001,38.662834,233700
2014-02-27,39.599998,40.740002,39.439999,40.480000,39.672287,405500
2014-02-28,40.410000,41.009998,40.240002,40.560001,39.750702,441100
2014-03-03,40.290001,40.689999,39.889999,40.000000,39.201874,284000
2014-03-04,40.160000,41.060001,40.160000,40.840000,40.025108,405500
2014-03-05,40.939999,40.980000,40.240002,40.599998,39.789886,338500
2014-03-06,40.549999,41.040001,40.400002,40.720001,39.907505,483200
2014-03-07,41.060001,41.560001,40.889999,41.180000,40.358322,439200
2014-03-10,41.080002,41.570000,40.200001,41.130001,40.309326,396400
2014-03-11,41.150002,41.439999,40.950001,41.369999,40.544533,413900
2014-03-12,41.150002,41.689999,40.830002,41.020000,40.201519,317500
2014-03-13,41.099998,41.299999,40.189999,40.639999,39.829102,225600
2014-03-14,40.639999,41.180000,40.380001,40.750000,39.936905,242100
2014-03-17,40.869999,41.869999,40.860001,41.060001,40.240719,320200
2014-03-18,41.110001,41.889999,40.970001,41.770000,40.936554,364500
2014-03-19,41.689999,41.830002,41.130001,41.450001,40.622936,383400
2014-03-20,41.299999,41.450001,40.720001,40.840000,40.025108,300700
2014-03-21,41.080002,41.259998,40.700001,40.900002,40.083912,540400
2014-03-24,41.139999,41.240002,40.709999,40.950001,40.132915,307300
2014-03-25,40.900002,41.270000,40.459999,41.009998,40.191719,294200
