Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9.310000,9.390000,9.090000,9.190000,7.864433,1218300
2014-01-03,9.210000,9.390000,9.190000,9.390000,8.035586,737300
2014-01-06,9.390000,9.440000,9.010000,9.040000,7.736070,996800
2014-01-07,9.100000,9.250000,9.100000,9.240000,7.907218,631600
2014-01-08,9.260000,9.280000,9.050000,9.190000,7.864433,530900
2014-01-09,9.200000,9.300000,9.020000,9.040000,7.736070,599300
2014-01-10,9.060000,9.130000,8.940000,8.990000,7.693282,1131100
2014-01-13,8.980000,9.080000,8.850000,8.870000,7.590592,938100
2014-01-14,8.880000,9.040000,8.860000,9.040000,7.736070,803900
2014-01-15,9.110000,9.210000,9.030000,9.210000,7.881547,1268800
2014-01-16,9.190000,9.200000,9.080000,9.110000,7.795971,578000
2014-01-17,9.080000,9.200000,9.010000,9.180000,7.855876,737500
2014-01-21,9.230000,9.250000,8.970000,9.040000,7.736070,602700
2014-01-22,9.070000,9.070000,8.970000,9.040000,7.736070,424900
2014-01-23,8.970000,8.970000,8.740000,8.910000,7.624819,952900
2014-01-24,8.810000,8.860000,8.530000,8.600000,7.359535,1653200
2014-01-27,8.660000,8.720000,8.520000,8.590000,7.350979,1600500
2014-01-28,8.580000,8.880000,8.580000,8.750000,7.487898,2284600
2014-01-29,8.650000,8.760000,8.560000,8.580000,7.342422,806200
2014-01-30,8.690000,8.890000,8.580000,8.780000,7.513573,1119200
2014-01-31,8.590000,8.780000,8.560000,8.680000,7.427996,1103500
2014-02-03,8.670000,8.680000,8.110000,8.120000,6.948770,1985400
2014-02-04,8.150000,8.380000,7.950000,8.350000,7.145596,2747900
2014-02-05,8.620000,9.040000,8.510000,8.930000,7.641933,3097400
2014-02-06,9.100000,9.100000,8.630000,8.650000,7.417271,1906900
2014-02-07,8.700000,8.810000,8.600000,8.660000,7.425849,1058100
2014-02-10,8.620000,8.740000,8.500000,8.630000,7.400123,1599700
2014-02-11,8.640000,8.660000,8.520000,8.580000,7.357251,863500
2014-02-12,8.600000,8.970000,8.540000,8.940000,7.665946,1668700
2014-02-13,8.850000,9.070000,8.800000,9.030000,7.743118,822300
2014-02-14,9.030000,9.050000,8.880000,8.960000,7.683095,954000
2014-02-18,9.000000,9.090000,8.870000,9.070000,7.777419,1165000
2014-02-19,9.010000,9.110000,8.930000,8.940000,7.665946,892100
2014-02-20,8.980000,9.100000,8.890000,9.030000,7.743118,849600
2014-02-21,9.020000,9.140000,9.000000,9.060000,7.768847,832000
2014-02-24,9.070000,9.150000,8.930000,8.990000,7.708817,1388100
2014-02-25,9.010000,9.100000,8.940000,9.000000,7.717395,1271700
2014-02-26,9.050000,9.570000,9.050000,9.570000,8.206161,1473800
2014-02-27,9.510000,9.590000,9.350000,9.570000,8.206161,1195500
2014-02-28,9.630000,9.700000,9.460000,9.650000,8.274762,1487900
2014-03-03,9.530000,9.540000,9.340000,9.540000,8.180441,999400
2014-03-04,9.730000,10.040000,9.700000,9.920000,8.506284,1741700
2014-03-05,9.880000,9.940000,9.700000,9.870000,8.463410,1212700
2014-03-06,9.910000,9.970000,9.790000,9.880000,8.471983,669200
2014-03-07,9.980000,9.980000,9.780000,9.870000,8.463410,847300
2014-03-10,9.890000,9.990000,9.780000,9.870000,8.463410,955600
2014-03-11,9.900000,9.900000,9.590000,9.650000,8.274762,756700
2014-03-12,9.600000,9.650000,9.520000,9.610000,8.240462,598600
2014-03-13,9.690000,9.730000,9.330000,9.420000,8.077539,859400
2014-03-14,9.400000,9.570000,9.400000,9.490000,8.137562,705200
2014-03-17,9.590000,9.690000,9.460000,9.530000,8.171865,622900
2014-03-18,9.550000,9.600000,9.460000,9.600000,8.231888,583300
2014-03-19,9.620000,9.650000,9.400000,9.460000,8.111839,570700
2014-03-20,9.470000,9.560000,9.360000,9.490000,8.137562,636400
2014-03-21,9.550000,9.850000,9.490000,9.700000,8.317636,2598100
2014-03-24,9.760000,9.850000,9.470000,9.540000,8.180441,1062700
2014-03-25,9.630000,9.820000,9.540000,9.670000,8.291909,795600
2014-03-26,9.780000,9.790000,9.460000,9.460000,8.111839,893600
2014-03-27,9.500000,9.520000,9.310000,9.400000,8.060390,696600
2014-03-28,9.420000,9.580000,9.270000,9.340000,8.008940,1016200
2014-03-31,9.450000,9.620000,9.370000,9.500000,8.146141,1416400
2014-04-01,9.560000,9.670000,9.520000,9.650000,8.274762,672800
2014-04-02,9.690000,9.730000,9.630000,9.720000,8.334785,441600
2014-04-03,9.760000,9.790000,9.490000,9.620000,8.249039,603300
2014-04-04,9.740000,9.800000,9.380000,9.400000,8.060390,897400
2014-04-07,9.370000,9.430000,9.270000,9.270000,7.948917,2040600
2014-04-08,9.300000,9.340000,9.070000,9.220000,7.906042,651200
2014-04-09,9.280000,9.410000,9.170000,9.390000,8.051817,785300
2014-04-10,9.400000,9.400000,9.000000,9.040000,7.751693,929000
2014-04-11,8.930000,9.140000,8.840000,9.040000,7.751693,1270700
2014-04-14,9.120000,9.150000,8.950000,9.010000,7.725971,1351700
2014-04-15,9.030000,9.210000,8.920000,9.170000,7.863168,1022100
2014-04-16,9.260000,9.350000,9.210000,9.330000,8.000369,451600
2014-04-17,9.330000,9.500000,9.270000,9.460000,8.111839,580500
2014-04-21,9.460000,9.500000,9.320000,9.450000,8.103266,305800
2014-04-22,9.480000,9.710000,9.450000,9.590000,8.223313,845300
2014-04-23,9.570000,9.630000,9.340000,9.400000,8.060390,806300
2014-04-24,9.490000,9.490000,9.220000,9.300000,7.974640,898700
2014-04-25,9.290000,9.380000,9.220000,9.370000,8.034664,1761000
2014-04-28,9.410000,9.530000,9.200000,9.400000,8.060390,1211400
2014-04-29,9.430000,9.430000,9.110000,9.190000,7.880318,945500
2014-04-30,9.070000,9.380000,8.920000,9.120000,7.820293,2390000
2014-05-01,9.090000,9.100000,8.680000,8.760000,7.511598,1509200
2014-05-02,8.750000,9.030000,8.750000,8.900000,7.631642,1371900
2014-05-05,8.790000,8.950000,8.660000,8.880000,7.614494,1863000
2014-05-06,8.870000,8.970000,8.720000,8.720000,7.477297,1590900
2014-05-07,8.720000,8.800000,8.550000,8.650000,7.432614,1203500
2014-05-08,8.650000,8.800000,8.540000,8.610000,7.398245,1081000
2014-05-09,8.550000,8.710000,8.550000,8.690000,7.466989,863000
2014-05-12,8.730000,9.030000,8.720000,8.990000,7.724763,887000
2014-05-13,8.960000,9.040000,8.900000,8.910000,7.656024,1103400
2014-05-14,8.870000,8.890000,8.610000,8.650000,7.432614,1062100
2014-05-15,8.580000,8.600000,8.300000,8.420000,7.234984,2663700
