Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,43.330002,43.419998,42.660000,42.810001,28.770401,198400
2014-01-03,42.849998,43.080002,42.680000,42.880001,28.817448,95800
2014-01-06,42.939999,42.970001,42.639999,42.669998,28.676311,124000
2014-01-07,42.740002,43.400002,42.740002,43.279999,29.086252,150500
2014-01-08,43.360001,43.360001,42.730000,43.029999,28.918247,184900
2014-01-09,43.240002,43.450001,42.889999,43.320000,29.113138,115200
2014-01-10,43.439999,43.950001,43.389999,43.689999,29.361799,116000
2014-01-13,43.709999,43.779999,43.000000,43.250000,29.066103,104600
2014-01-14,43.310001,43.500000,43.099998,43.369999,29.146740,121300
2014-01-15,43.360001,43.610001,43.180000,43.380001,29.153473,97100
2014-01-16,43.240002,43.570000,43.240002,43.549999,29.267714,95500
2014-01-17,43.610001,44.240002,43.400002,44.000000,29.570141,274800
2014-01-21,44.049999,44.740002,43.950001,44.689999,30.033848,156500
2014-01-22,44.660000,45.040001,44.369999,44.779999,30.094334,139800
2014-01-23,44.680000,44.730000,44.279999,44.570000,29.953205,131300
2014-01-24,44.259998,44.580002,43.919998,44.240002,29.731432,142800
2014-01-27,44.250000,44.310001,44.000000,44.009998,29.576847,158800
2014-01-28,44.099998,44.270000,43.919998,44.250000,29.738153,167800
2014-01-29,44.090000,44.369999,44.009998,44.209999,29.711273,159000
2014-01-30,44.320000,45.290001,44.150002,45.029999,30.262350,261200
2014-01-31,44.549999,45.380001,44.540001,45.209999,30.383312,159600
2014-02-03,45.299999,45.830002,44.669998,44.799999,30.107777,226000
2014-02-04,45.060001,45.070000,44.380001,44.680000,30.027119,155700
2014-02-05,44.660000,44.750000,44.060001,44.110001,29.644062,219600
2014-02-06,44.099998,44.459999,43.919998,44.040001,29.597013,117300
2014-02-07,44.279999,44.480000,43.950001,44.450001,29.872557,114000
2014-02-10,44.369999,44.660000,43.970001,44.520000,29.919598,111500
2014-02-11,44.619999,45.139999,44.340000,45.080002,30.295948,76700
2014-02-12,44.990002,45.299999,44.830002,44.950001,30.208582,82600
2014-02-13,44.810001,46.099998,44.810001,46.020000,30.927668,119100
2014-02-14,46.090000,46.369999,45.730000,46.340000,31.142721,106600
2014-02-18,46.500000,46.740002,46.270000,46.470001,31.230099,130600
2014-02-19,46.259998,47.049999,45.700001,45.970001,30.894075,199400
2014-02-20,46.000000,46.630001,45.959999,46.340000,31.142721,132600
2014-02-21,46.650002,46.860001,46.290001,46.430000,31.203209,204600
2014-02-24,46.459999,46.900002,46.299999,46.330002,31.136009,157700
2014-02-25,46.349998,46.889999,46.150002,46.369999,31.162876,149600
2014-02-26,46.590000,46.650002,45.639999,45.779999,30.766376,164700
2014-02-27,45.689999,45.959999,45.330002,45.660000,30.685741,132200
2014-02-28,45.779999,46.090000,45.639999,45.939999,30.873905,261700
2014-03-03,45.790001,45.930000,45.099998,45.279999,30.430351,286100
2014-03-04,45.709999,46.189999,45.619999,45.950001,30.880629,254900
2014-03-05,45.939999,45.939999,45.330002,45.500000,30.578205,151900
2014-03-06,45.459999,46.000000,45.180000,45.200001,30.376593,192600
2014-03-07,45.290001,45.560001,44.900002,45.389999,30.504276,250000
2014-03-10,45.209999,45.570000,45.209999,45.450001,30.544613,127200
2014-03-11,45.380001,45.430000,44.910000,45.310001,30.450521,335000
2014-03-12,44.810001,45.570000,44.770000,45.529999,30.870901,320200
2014-03-13,45.630001,46.230000,45.599998,45.980000,31.176004,176000
2014-03-14,45.820000,46.270000,45.820000,46.080002,31.243805,150900
2014-03-17,46.310001,46.459999,46.029999,46.200001,31.325176,139000
2014-03-18,46.340000,47.009998,46.240002,46.980000,31.854046,195400
2014-03-19,46.990002,47.060001,46.270000,46.500000,31.528593,285600
2014-03-20,46.380001,46.560001,46.060001,46.509998,31.535362,153000
2014-03-21,46.790001,47.349998,46.430000,46.439999,31.487904,250800
2014-03-24,46.490002,46.959999,46.169998,46.500000,31.528593,158000
2014-03-25,46.520000,47.000000,46.500000,46.959999,31.840477,154600
2014-03-26,47.090000,47.250000,46.700001,46.740002,31.691320,129500
2014-03-27,46.820000,46.939999,46.419998,46.799999,31.732000,140700
2014-03-28,46.669998,47.090000,46.669998,46.919998,31.813370,85400
2014-03-31,47.160000,47.860001,46.930000,47.430000,32.159157,127500
2014-04-01,47.430000,48.240002,47.090000,47.470001,32.186287,141400
2014-04-02,47.560001,47.630001,47.049999,47.599998,32.274437,162800
2014-04-03,47.599998,47.820000,47.459999,47.689999,32.335442,111900
2014-04-04,47.950001,48.150002,47.459999,47.610001,32.281204,179800
2014-04-07,47.529999,47.709999,47.250000,47.259998,32.043896,150500
2014-04-08,47.240002,47.790001,46.930000,47.700001,32.342232,94900
2014-04-09,47.689999,47.810001,47.020000,47.299999,32.071011,123500
2014-04-10,47.200001,47.650002,47.130001,47.279999,32.057465,224600
2014-04-11,47.000000,47.599998,46.599998,46.880001,31.786255,133000
2014-04-14,47.230000,47.860001,46.779999,47.799999,32.410042,170400
2014-04-15,47.779999,48.540001,47.669998,48.389999,32.810070,172600
2014-04-16,48.720001,48.810001,48.310001,48.520000,32.898232,83900
2014-04-17,48.599998,48.770000,47.560001,47.700001,32.342232,245800
2014-04-21,47.700001,48.020000,47.419998,47.650002,32.308327,68900
2014-04-22,47.790001,47.860001,47.369999,47.770000,32.389694,99400
2014-04-23,47.889999,48.389999,47.630001,47.669998,32.321899,129300
2014-04-24,48.060001,48.400002,47.099998,47.930000,32.498184,99600
2014-04-25,47.880001,48.529999,47.880001,48.430000,32.837212,208600
2014-04-28,48.500000,48.880001,48.049999,48.470001,32.864334,137600
2014-04-29,48.650002,48.930000,48.259998,48.450001,32.850750,174600
2014-04-30,48.500000,48.630001,48.139999,48.380001,32.803295,125400
