Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0.280000,0.280000,0.280000,0.280000,0.280000,0
2014-01-03,0.280000,0.280000,0.280000,0.280000,0.280000,0
2014-01-06,0.285000,0.285000,0.285000,0.285000,0.285000,20000
2014-01-07,0.290000,0.290000,0.290000,0.290000,0.290000,0
2014-01-08,0.290000,0.290000,0.290000,0.290000,0.290000,0
2014-01-09,0.270000,0.274000,0.270000,0.274000,0.274000,1200
2014-01-10,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-13,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-14,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-15,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-16,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-17,0.270000,0.270000,0.270000,0.270000,0.270000,0
2014-01-21,0.233000,0.233000,0.233000,0.233000,0.233000,10000
2014-01-22,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-23,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-24,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-27,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-28,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-29,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-30,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-01-31,0.233000,0.237000,0.233000,0.237000,0.237000,50000
2014-02-03,0.227000,0.238000,0.227000,0.238000,0.238000,24000
2014-02-04,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-05,0.237000,0.237000,0.237000,0.237000,0.237000,400
2014-02-06,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-07,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-10,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-11,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-12,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-13,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-14,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-18,0.240000,0.240000,0.240000,0.240000,0.240000,0
2014-02-19,0.422000,0.422000,0.364000,0.375000,0.375000,38400
2014-02-20,0.380000,0.400000,0.380000,0.400000,0.400000,1500
2014-02-21,0.443000,0.514000,0.443000,0.470000,0.470000,73200
2014-02-24,0.464000,0.474000,0.464000,0.474000,0.474000,71000
2014-02-25,0.472000,0.472000,0.420000,0.420000,0.420000,20000
2014-02-26,0.421000,0.431000,0.399000,0.421000,0.421000,40200
2014-02-27,0.419000,0.420000,0.408000,0.420000,0.420000,32800
2014-02-28,0.427000,0.458000,0.409000,0.458000,0.458000,37100
2014-03-03,0.454000,0.464000,0.454000,0.457000,0.457000,5500
2014-03-04,0.466000,0.466000,0.448000,0.448000,0.448000,26000
2014-03-05,0.418000,0.440000,0.418000,0.440000,0.440000,21600
2014-03-06,0.438000,0.446000,0.438000,0.439000,0.439000,10700
2014-03-07,0.429000,0.429000,0.429000,0.429000,0.429000,1000
2014-03-10,0.431000,0.431000,0.430000,0.430000,0.430000,18000
2014-03-11,0.430000,0.430000,0.430000,0.430000,0.430000,0
2014-03-12,0.438000,0.454000,0.438000,0.454000,0.454000,2000
2014-03-13,0.474000,0.482000,0.474000,0.474000,0.474000,18200
2014-03-14,0.429000,0.429000,0.429000,0.429000,0.429000,7500
2014-03-17,0.439000,0.439000,0.430000,0.430000,0.430000,4500
2014-03-18,0.430000,0.430000,0.430000,0.430000,0.430000,0
2014-03-19,0.415000,0.415000,0.396000,0.401000,0.401000,69500
2014-03-20,0.400000,0.400000,0.400000,0.400000,0.400000,0
2014-03-21,0.386000,0.386000,0.386000,0.386000,0.386000,24400
2014-03-24,0.398000,0.398000,0.388000,0.392000,0.392000,37500
2014-03-25,0.393000,0.393000,0.393000,0.393000,0.393000,500
2014-03-26,0.385000,0.386000,0.385000,0.386000,0.386000,31000
2014-03-27,0.388000,0.388000,0.388000,0.388000,0.388000,2000
2014-03-28,0.396000,0.401000,0.378000,0.378000,0.378000,12500
2014-03-31,0.396000,0.401000,0.378000,0.378000,0.378000,12500
2014-04-01,0.398000,0.398000,0.388000,0.388000,0.388000,4400
2014-04-02,0.386000,0.386000,0.386000,0.386000,0.386000,2000
2014-04-03,0.386000,0.386000,0.386000,0.386000,0.386000,2000
2014-04-04,0.397000,0.397000,0.397000,0.397000,0.397000,10000
2014-04-07,0.389000,0.389000,0.376000,0.376000,0.376000,4000
2014-04-08,0.389000,0.389000,0.376000,0.376000,0.376000,4000
2014-04-09,0.389000,0.389000,0.376000,0.376000,0.376000,4000
2014-04-10,0.389000,0.389000,0.376000,0.376000,0.376000,4000
2014-04-11,0.389000,0.389000,0.376000,0.376000,0.376000,4000
2014-04-14,0.358000,0.358000,0.358000,0.358000,0.358000,14000
2014-04-15,0.358000,0.358000,0.358000,0.358000,0.358000,14000
2014-04-16,0.341000,0.341000,0.341000,0.341000,0.341000,2500
2014-04-17,0.342000,0.342000,0.342000,0.342000,0.342000,1000
2014-04-21,0.342000,0.342000,0.342000,0.342000,0.342000,1000
2014-04-22,0.342000,0.342000,0.342000,0.342000,0.342000,1000
2014-04-23,0.342000,0.342000,0.342000,0.342000,0.342000,1000
2014-04-24,0.342000,0.342000,0.342000,0.342000,0.342000,11000
2014-04-25,0.315000,0.315000,0.315000,0.315000,0.315000,2100
2014-04-28,0.315000,0.315000,0.315000,0.315000,0.315000,2100
2014-04-29,0.315000,0.315000,0.315000,0.315000,0.315000,2100
2014-04-30,0.294000,0.294000,0.294000,0.294000,0.294000,2500
2014-05-01,0.298000,0.298000,0.293000,0.293000,0.293000,4400
2014-05-02,0.298000,0.298000,0.293000,0.293000,0.293000,4400
2014-05-05,0.298000,0.298000,0.293000,0.293000,0.293000,4400
2014-05-06,0.278000,0.278000,0.278000,0.278000,0.278000,5000
2014-05-07,0.278000,0.278000,0.278000,0.278000,0.278000,6500
2014-05-08,0.278000,0.278000,0.278000,0.278000,0.278000,6500
2014-05-09,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-12,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-13,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-14,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-15,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-16,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-19,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-20,0.222000,0.230000,0.222000,0.230000,0.230000,3700
2014-05-21,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-05-22,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-05-23,0.230000,0.230000,0.230000,0.230000,0.230000,0
2014-05-27,0.249000,0.249000,0.249000,0.249000,0.249000,2500
2014-05-28,0.249000,0.249000,0.249000,0.249000,0.249000,2500
2014-05-29,0.249000,0.249000,0.249000,0.249000,0.249000,2500
2014-05-30,0.272000,0.272000,0.272000,0.272000,0.272000,200
2014-06-02,0.297000,0.297000,0.265000,0.265000,0.265000,17000
2014-06-03,0.297000,0.297000,0.265000,0.265000,0.265000,17000
2014-06-04,0.297000,0.297000,0.265000,0.265000,0.265000,17000
2014-06-05,0.297000,0.297000,0.265000,0.265000,0.265000,17000
2014-06-06,0.297000,0.297000,0.265000,0.265000,0.265000,17000
2014-06-09,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-10,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-11,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-12,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-13,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-16,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-17,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-18,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-19,0.260000,0.260000,0.260000,0.260000,0.260000,0
2014-06-20,0.292000,0.301000,0.292000,0.301000,0.301000,10000
2014-06-23,0.273000,0.274000,0.257000,0.257000,0.257000,17000
2014-06-24,0.288000,0.288000,0.288000,0.288000,0.288000,4000
2014-06-25,0.284000,0.284000,0.284000,0.284000,0.284000,3000
