Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,63.000000,63.820000,63.000000,63.250000,46.812656,634800
2014-01-03,63.110001,63.610001,62.830002,62.970001,46.605431,588100
2014-01-06,63.200001,63.500000,62.250000,62.299999,46.109535,838800
2014-01-07,62.860001,63.930000,62.790001,63.560001,47.042099,1149500
2014-01-08,63.529999,63.720001,62.419998,63.299999,46.849655,722300
2014-01-09,63.290001,63.500000,62.320000,63.410000,46.931080,618600
2014-01-10,63.500000,64.599998,63.209999,64.589996,47.804409,829400
2014-01-13,64.599998,65.089996,64.300003,64.559998,47.782207,1363200
2014-01-14,64.540001,65.529999,64.389999,65.410004,48.411312,861400
2014-01-15,65.500000,65.959999,65.290001,65.489998,48.470524,707300
2014-01-16,65.519997,65.550003,65.139999,65.360001,48.374298,365600
2014-01-17,65.300003,65.419998,64.690002,64.930000,48.056061,516100
2014-01-21,65.500000,65.730003,65.169998,65.620003,48.566746,598400
2014-01-22,65.750000,66.500000,65.559998,66.199997,48.996021,831800
2014-01-23,66.019997,66.070000,65.000000,65.290001,48.322506,884700
2014-01-24,64.849998,64.849998,61.959999,62.500000,46.257561,1364900
2014-01-27,62.529999,63.000000,61.639999,62.180000,46.020733,1313000
2014-01-28,62.150002,63.189999,62.119999,63.009998,46.635025,723700
2014-01-29,62.500000,64.910004,62.220001,63.840000,47.249332,1171900
2014-01-30,64.790001,64.849998,63.590000,63.980000,47.352947,648300
2014-01-31,63.270000,65.239998,63.130001,64.599998,47.811813,948400
2014-02-03,64.620003,65.330002,61.860001,62.360001,46.153950,2232500
2014-02-04,62.910000,63.369999,61.709999,63.029999,46.649826,1184900
2014-02-05,62.810001,63.180000,61.349998,62.880001,46.538818,1749900
2014-02-06,62.910000,63.650002,62.910000,63.180000,46.760841,675600
2014-02-07,63.540001,65.279999,63.439999,65.010002,48.115280,1066700
2014-02-10,65.040001,66.209999,65.040001,65.510002,48.485340,1617700
2014-02-11,65.620003,66.059998,65.010002,65.550003,48.514927,1589900
