Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,16.730000,17.180000,16.320000,16.740000,16.740000,101100
2014-01-03,16.760000,17.510000,16.209999,17.450001,17.450001,67200
2014-01-06,17.540001,17.719999,16.469999,16.719999,16.719999,27500
2014-01-07,16.780001,17.090000,16.250000,16.709999,16.709999,59400
2014-01-08,16.850000,17.840000,16.850000,17.750000,17.750000,110500
2014-01-09,17.990000,18.270000,17.780001,18.040001,18.040001,79600
2014-01-10,18.000000,20.219999,17.930000,19.500000,19.500000,149200
2014-01-13,19.750000,20.790001,19.299999,19.870001,19.870001,176300
2014-01-14,19.889999,21.959999,19.870001,21.870001,21.870001,212500
2014-01-15,21.959999,24.990000,21.770000,24.639999,24.639999,437800
2014-01-16,25.000000,27.650000,24.430000,26.549999,26.549999,783000
2014-01-17,26.500000,30.000000,26.500000,29.320000,29.320000,481800
2014-01-21,29.320000,30.400000,28.540001,28.959999,28.959999,432400
2014-01-22,28.730000,28.820000,26.760000,26.840000,26.840000,546000
2014-01-23,26.700001,27.010000,25.209999,26.219999,26.219999,257700
2014-01-24,21.850000,27.670000,21.750000,26.900000,26.900000,1078300
2014-01-27,26.629999,27.750000,26.160000,26.910000,26.910000,274400
2014-01-28,27.010000,27.670000,26.620001,27.049999,27.049999,482100
2014-01-29,26.799999,26.900000,25.490000,25.709999,25.709999,285600
2014-01-30,25.709999,27.430000,24.799999,26.830000,26.830000,464900
2014-01-31,26.350000,26.770000,25.830000,26.070000,26.070000,153100
2014-02-03,26.049999,26.889999,22.190001,22.299999,22.299999,139700
2014-02-04,22.469999,23.850000,22.370001,23.000000,23.000000,149500
2014-02-05,22.889999,22.940001,21.670000,21.910000,21.910000,174000
2014-02-06,22.030001,22.340000,21.799999,22.020000,22.020000,198400
2014-02-07,22.129999,23.090000,21.750000,22.760000,22.760000,89400
2014-02-10,22.830000,25.620001,22.830000,25.020000,25.020000,93500
2014-02-11,25.049999,25.049999,23.410000,23.480000,23.480000,111800
2014-02-12,23.420000,25.490000,22.870001,25.129999,25.129999,103400
2014-02-13,25.600000,26.400000,24.690001,26.030001,26.030001,2178400
2014-02-14,26.299999,27.730000,25.910000,26.620001,26.620001,188700
2014-02-18,27.620001,29.170000,27.459999,28.430000,28.430000,293500
2014-02-19,28.320000,28.990000,27.940001,28.549999,28.549999,143400
2014-02-20,28.770000,30.570000,28.530001,30.250000,30.250000,454100
2014-02-21,30.200001,31.000000,29.600000,29.959999,29.959999,394000
2014-02-24,29.830000,30.459999,29.610001,29.920000,29.920000,176000
2014-02-25,29.900000,33.020000,29.030001,32.209999,32.209999,262000
2014-02-26,32.119999,33.740002,31.200001,32.349998,32.349998,230100
2014-02-27,32.150002,34.220001,31.860001,33.970001,33.970001,214700
2014-02-28,34.200001,34.619999,30.059999,31.360001,31.360001,469700
2014-03-03,30.799999,32.709999,29.480000,32.380001,32.380001,356800
