Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,5.070000,5.190000,5.060000,5.190000,4.979348,3000
2014-01-03,5.170000,5.180000,5.150000,5.180000,4.969754,5500
2014-01-06,5.180000,5.270000,5.100000,5.270000,5.056101,36800
2014-01-07,5.300000,5.690000,5.300000,5.610000,5.382301,32700
2014-01-08,5.620000,6.180000,5.600000,5.940000,5.698907,50900
2014-01-09,5.880000,5.920000,5.680000,5.690000,5.459054,16200
2014-01-10,5.650000,5.670000,5.270000,5.670000,5.439866,20200
2014-01-13,5.490000,5.490000,5.170000,5.450000,5.228795,56400
2014-01-14,5.370000,5.510000,5.230000,5.490000,5.267171,13000
2014-01-15,5.440000,5.440000,5.250000,5.400000,5.180825,9100
2014-01-16,5.450000,5.480000,5.360000,5.390000,5.171230,2500
2014-01-17,5.570000,5.620000,5.410000,5.520000,5.295954,7100
2014-01-21,5.600000,5.770000,5.550000,5.700000,5.468648,23000
2014-01-22,5.870000,5.870000,5.700000,5.750000,5.516619,15400
2014-01-23,5.790000,5.840000,5.690000,5.830000,5.593372,23700
2014-01-24,5.710000,5.850000,5.550000,5.680000,5.449460,15300
2014-01-27,5.590000,5.900000,5.590000,5.900000,5.660531,24900
2014-01-28,5.940000,6.380000,5.810000,6.190000,5.938760,61100
2014-01-29,6.150000,6.350000,6.070000,6.200000,5.948354,12100
2014-01-30,6.350000,6.350000,6.110000,6.290000,6.034701,25000
2014-01-31,6.280000,6.720000,6.090000,6.500000,6.236178,69900
2014-02-03,6.600000,6.700000,6.470000,6.700000,6.428060,78900
2014-02-04,6.680000,6.690000,6.370000,6.630000,6.360902,22400
2014-02-05,6.660000,6.680000,6.260000,6.420000,6.159425,30200
2014-02-06,6.440000,6.520000,6.200000,6.330000,6.073078,14200
2014-02-07,6.100000,6.400000,5.880000,6.370000,6.111454,18300
2014-02-10,6.250000,6.250000,6.010000,6.020000,5.775660,16200
2014-02-11,6.110000,6.110000,5.930000,5.930000,5.689313,20400
2014-02-12,5.900000,5.950000,5.740000,5.870000,5.631748,15200
2014-02-13,6.170000,6.200000,5.830000,6.180000,5.929166,15300
2014-02-14,6.210000,6.360000,6.150000,6.300000,6.044296,14000
2014-02-18,6.250000,6.400000,6.120000,6.400000,6.140237,13500
2014-02-19,6.400000,6.450000,6.210000,6.350000,6.092266,13300
2014-02-20,6.100000,6.390000,6.050000,6.100000,5.852413,27400
2014-02-21,6.030000,6.190000,6.000000,6.190000,5.938760,11600
2014-02-24,6.170000,6.190000,5.800000,5.890000,5.650936,19900
2014-02-25,5.780000,5.990000,5.640000,5.850000,5.612560,40800
2014-02-26,5.830000,6.050000,5.680000,6.000000,5.756472,30400
2014-02-27,5.850000,6.070000,5.830000,5.880000,5.641343,21800
2014-02-28,5.990000,5.990000,5.640000,5.740000,5.507025,91700
2014-03-03,5.750000,6.000000,5.650000,5.700000,5.468648,26900
2014-03-04,5.710000,5.750000,5.560000,5.570000,5.343925,38400
2014-03-05,5.600000,5.730000,5.270000,5.580000,5.353519,33300
2014-03-06,5.790000,5.850000,5.420000,5.560000,5.334331,135600
2014-03-07,5.690000,5.690000,5.520000,5.610000,5.382301,15700
2014-03-10,5.520000,5.560000,5.430000,5.500000,5.276766,28700
2014-03-11,5.360000,5.570000,5.350000,5.560000,5.334331,7900
2014-03-12,5.530000,5.620000,5.530000,5.590000,5.363113,24700
2014-03-13,5.670000,5.880000,5.590000,5.780000,5.545402,47600
2014-03-14,5.780000,5.840000,5.770000,5.780000,5.545402,15000
2014-03-17,5.830000,5.960000,5.810000,5.960000,5.718096,19400
2014-03-18,6.000000,6.050000,5.890000,6.000000,5.756472,78200
2014-03-19,6.000000,6.190000,5.970000,6.190000,5.938760,443500
2014-03-20,6.120000,6.240000,6.050000,6.200000,5.948354,74300
2014-03-21,6.250000,6.400000,6.100000,6.400000,6.140237,28600
2014-03-24,6.350000,6.400000,6.100000,6.140000,5.890790,18300
2014-03-25,6.100000,6.100000,5.950000,6.000000,5.756472,48000
2014-03-26,5.950000,6.140000,5.950000,6.000000,5.756472,37700
2014-03-27,5.800000,5.950000,5.670000,5.820000,5.583778,21200
2014-03-28,5.890000,6.020000,5.880000,5.960000,5.718096,22100
2014-03-31,6.010000,6.140000,5.980000,6.050000,5.804443,10400
2014-04-01,6.060000,6.200000,6.060000,6.200000,5.948354,8600
2014-04-02,6.200000,6.330000,6.190000,6.280000,6.025107,17900
2014-04-03,6.310000,6.440000,6.250000,6.250000,5.996325,22000
2014-04-04,6.400000,6.410000,6.280000,6.280000,6.025107,25400
2014-04-07,6.250000,6.270000,5.630000,5.660000,5.430272,40400
2014-04-08,5.730000,5.860000,5.580000,5.650000,5.420678,21300
2014-04-09,5.610000,5.730000,5.600000,5.650000,5.420678,9700
2014-04-10,5.710000,5.860000,5.600000,5.600000,5.372707,14100
2014-04-11,5.670000,5.670000,5.110000,5.250000,5.036913,87000
2014-04-14,5.230000,5.440000,5.230000,5.420000,5.200013,34600
