Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9.378127,9.395997,9.260186,9.299500,8.383268,6729470
2014-01-03,9.335239,9.435311,9.299500,9.385275,8.460593,5234219
2014-01-06,9.403145,9.446033,9.335239,9.342387,8.421931,6279551
2014-01-07,9.306648,9.367405,9.235168,9.242316,8.331720,6916376
2014-01-08,9.281630,9.460329,9.274482,9.456755,8.525030,11098827
2014-01-09,9.471051,9.531808,9.421015,9.517513,8.579803,7521863
2014-01-10,9.542530,9.599714,9.517513,9.585418,8.641016,8305303
2014-01-13,9.560400,9.642602,9.524660,9.631880,8.682900,9348957
2014-01-14,9.646176,9.706934,9.631880,9.671194,8.718343,12225581
2014-01-15,9.671194,9.735525,9.660472,9.735525,8.776335,11162621
2014-01-16,9.731951,9.771265,9.646176,9.699786,8.744117,10198150
2014-01-17,9.203002,9.231594,8.727663,8.745533,7.883883,51661712
2014-01-21,8.766976,8.766976,8.584703,8.663331,7.809780,21253048
2014-01-22,8.788420,8.820586,8.641887,8.727663,7.867772,12559103
2014-01-23,8.588277,8.699071,8.137956,8.338099,7.516590,55931181
2014-01-24,8.273767,8.348821,8.213009,8.223731,7.413491,22538729
2014-01-27,8.259471,8.355969,8.202287,8.213009,7.403825,16070313
2014-01-28,8.252323,8.320229,8.162974,8.177269,7.371606,16635509
2014-01-29,8.205861,8.366690,8.195139,8.266619,7.452153,24906117
2014-01-30,8.330951,8.363117,8.230879,8.255897,7.442487,11864359
2014-01-31,8.170122,8.248749,8.091494,8.134382,7.332946,13059945
2014-02-03,8.120086,8.137956,7.902073,7.937813,7.155742,23826089
2014-02-04,7.927091,8.030736,7.791279,7.830593,7.059087,15403550
2014-02-05,7.819871,7.916369,7.762688,7.862759,7.088082,13980767
2014-02-06,7.844889,8.062902,7.809149,8.055754,7.262064,11770347
2014-02-07,8.070050,8.191565,8.062902,8.130808,7.329724,10278173
2014-02-10,8.141530,8.180843,8.066476,8.162974,7.358718,7748781
2014-02-11,7.927091,8.420300,7.533953,8.359543,7.535923,16602213
2014-02-12,8.380986,8.563259,8.366690,8.423874,7.593917,10980471
2014-02-13,8.391708,8.527520,8.330951,8.438170,7.606802,10344206
2014-02-14,8.427448,8.452466,8.338099,8.434596,7.603580,7346149
2014-02-18,8.445318,8.584703,8.355969,8.548964,7.706678,12251882
2014-02-19,8.577555,8.656183,8.416726,8.473910,7.639021,17616488
2014-02-20,8.452466,8.513224,8.334525,8.366690,7.542364,14037286
2014-02-21,8.359543,8.545390,8.320229,8.520372,7.680906,13361010
2014-02-24,8.509650,8.641887,8.498928,8.563259,7.719565,10206544
2014-02-25,8.570407,8.570407,8.391708,8.438170,7.606802,15288552
2014-02-26,8.470336,8.541816,8.391708,8.416726,7.587470,8705138
2014-02-27,8.384560,8.509650,8.252323,8.498928,7.661572,7652530
2014-02-28,8.491780,8.674053,8.377412,8.556112,7.713123,8463950
2014-03-03,8.495354,8.620443,8.427448,8.577555,7.732454,7054038
2014-03-04,8.645461,8.788420,8.634739,8.709793,7.851663,9630996
2014-03-05,8.652609,8.745533,8.588277,8.677627,7.871114,7548724
2014-03-06,8.716941,8.852752,8.638313,8.802716,7.984576,14906065
2014-03-07,8.831308,8.970693,8.724089,8.870622,8.046172,11639400
2014-03-10,8.881344,8.920658,8.809864,8.892066,8.065623,6695894
2014-03-11,8.917084,8.934954,8.856326,8.917084,8.088316,8700101
2014-03-12,8.870622,8.927806,8.827734,8.870622,8.046172,6057390
2014-03-13,8.881344,8.934954,8.777698,8.799142,7.981335,8605809
2014-03-14,8.809864,8.852752,8.634739,8.738385,7.926225,10974875
