Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,20.320000,20.360001,20.059999,20.129999,11.938163,244900
2014-01-03,20.120001,20.570000,20.090000,20.410000,12.104215,232400
2014-01-06,20.490000,20.650000,20.360001,20.600000,12.216901,168700
2014-01-07,20.670000,20.870001,20.570000,20.790001,12.329576,300700
2014-01-08,20.719999,20.719999,20.040001,20.190001,11.973742,267700
2014-01-09,20.270000,20.270000,20.010000,20.100000,11.920379,188200
2014-01-10,20.180000,20.459999,19.959999,20.200001,11.979677,195900
2014-01-13,20.200001,20.200001,19.750000,20.030001,11.878861,297700
2014-01-14,20.020000,20.129999,19.920000,20.070000,11.902577,261900
2014-01-15,20.160000,20.610001,20.010000,20.510000,12.163521,239800
2014-01-16,20.780001,21.219999,20.780001,21.180000,12.560871,437300
2014-01-17,21.430000,21.900000,21.410000,21.450001,12.720991,324400
2014-01-21,21.520000,21.950001,21.379999,21.940001,13.011592,360400
2014-01-22,22.000000,22.420000,21.879999,21.980000,13.035308,319700
2014-01-23,21.980000,22.280001,21.730000,22.010000,13.053105,275500
2014-01-24,22.020000,22.230000,21.500000,21.870001,12.970078,241400
2014-01-27,21.850000,21.920000,21.370001,21.440001,12.715070,257400
2014-01-28,21.410000,21.959999,21.330000,21.860001,12.964150,274900
2014-01-29,21.549999,21.719999,21.110001,21.209999,12.639372,237500
2014-01-30,21.350000,21.809999,21.270000,21.600000,12.871778,227000
2014-01-31,21.309999,21.520000,21.049999,21.459999,12.788352,300200
2014-02-03,21.500000,21.500000,20.540001,20.820000,12.406969,384600
2014-02-04,20.870001,21.420000,20.770000,21.410000,12.758553,255400
2014-02-05,21.400000,21.520000,21.129999,21.370001,12.734722,223400
2014-02-06,21.370001,22.040001,21.350000,21.940001,13.074389,286000
2014-02-07,22.049999,22.590000,21.980000,22.440001,13.372349,329700
2014-02-10,22.440001,22.440001,22.139999,22.280001,13.277005,174400
2014-02-11,22.379999,22.500000,22.129999,22.370001,13.330638,188400
2014-02-12,22.480000,22.680000,22.160000,22.680000,13.515366,164300
2014-02-13,23.170000,23.990000,22.820000,23.500000,14.004017,385000
2014-02-14,23.530001,23.740000,23.129999,23.180000,13.813321,224100
2014-02-18,23.459999,23.680000,23.299999,23.320000,13.896757,279300
2014-02-19,23.360001,23.500000,22.940001,22.969999,13.688187,368400
2014-02-20,23.070000,23.309999,22.980000,23.230000,13.843123,176800
2014-02-21,23.219999,23.219999,22.920000,23.070000,13.747771,279500
2014-02-24,23.139999,23.480000,22.969999,22.980000,13.694145,237800
2014-02-25,23.070000,23.209999,22.889999,22.969999,13.688187,154400
2014-02-26,23.000000,23.250000,22.930000,23.049999,13.798932,154000
2014-02-27,23.010000,23.209999,22.850000,23.049999,13.798932,172900
2014-02-28,23.110001,23.400000,22.950001,23.309999,13.954589,221500
2014-03-03,23.250000,23.620001,23.080000,23.590000,14.122203,209500
2014-03-04,23.750000,24.709999,23.700001,24.120001,14.439485,392600
2014-03-05,24.120001,24.139999,23.740000,23.860001,14.283853,174000
2014-03-06,23.850000,23.850000,23.510000,23.600000,14.128197,113300
2014-03-07,23.610001,23.620001,22.790001,23.240000,13.912685,215200
2014-03-10,23.200001,23.450001,23.000000,23.150000,13.858802,166300
2014-03-11,23.170000,23.389999,23.040001,23.309999,13.954589,301900
2014-03-12,23.280001,23.490000,23.180000,23.480000,14.056360,265200
2014-03-13,23.629999,23.690001,23.290001,23.290001,13.942618,271000
2014-03-14,23.139999,23.610001,22.950001,23.040001,13.792944,843900
2014-03-17,23.230000,23.389999,23.129999,23.160000,13.864778,243700
2014-03-18,23.170000,23.280001,22.959999,23.040001,13.792944,388000
2014-03-19,23.120001,23.170000,22.760000,22.820000,13.661247,1983000
2014-03-20,22.870001,22.930000,22.400000,22.629999,13.547502,296100
2014-03-21,22.750000,22.900000,22.500000,22.629999,13.547502,1022200
2014-03-24,22.750000,23.330000,22.639999,23.219999,13.900699,295400
2014-03-25,23.440001,23.610001,23.240000,23.450001,14.038393,293200
2014-03-26,23.600000,23.780001,23.330000,23.580000,14.116220,447700
2014-03-27,23.389999,23.650000,23.240000,23.490000,14.125238,687000
2014-03-28,23.540001,23.910000,23.510000,23.629999,14.209418,368300
2014-03-31,23.840000,24.129999,23.639999,24.100000,14.492048,567000
2014-04-01,24.020000,24.129999,23.620001,24.100000,14.492048,442600
2014-04-02,24.010000,24.400000,23.620001,24.150000,14.522120,506500
2014-04-03,25.190001,25.190001,23.889999,24.270000,14.594283,455800
2014-04-04,24.280001,24.389999,23.709999,23.860001,14.347742,279900
2014-04-07,23.830000,24.000000,23.709999,23.850000,14.341722,191900
2014-04-08,23.809999,23.990000,23.580000,23.850000,14.341722,280500
2014-04-09,23.820000,23.950001,23.629999,23.840000,14.335710,185600
2014-04-10,23.910000,24.010000,23.520000,23.639999,14.215439,306100
2014-04-11,23.570000,23.760000,23.320000,23.340000,14.035042,321800
2014-04-14,23.580000,23.860001,23.280001,23.459999,14.107205,225100
2014-04-15,23.580000,24.110001,23.410000,24.030001,14.449959,193300
2014-04-16,24.139999,24.420000,24.000000,24.299999,14.612311,203500
2014-04-17,24.330000,24.549999,24.219999,24.530001,14.750623,260600
2014-04-21,24.639999,24.900000,24.600000,24.760000,14.888927,174600
2014-04-22,24.770000,24.990000,24.700001,24.990000,15.027240,191900
2014-04-23,24.030001,24.260000,23.950001,24.100000,14.492048,2373000
2014-04-24,24.150000,24.200001,23.969999,24.139999,14.516113,454800
2014-04-25,24.110001,24.150000,23.549999,23.700001,14.251513,348800
2014-04-28,23.799999,23.900000,23.469999,23.570000,14.236419,395800
2014-04-29,23.750000,23.850000,23.559999,23.570000,14.236419,250700
2014-04-30,23.570000,23.610001,23.340000,23.530001,14.212256,315100
2014-05-01,23.490000,23.680000,23.049999,23.440001,14.157896,423200
2014-05-02,23.330000,23.700001,23.200001,23.440001,14.157896,325700
2014-05-05,23.379999,23.540001,23.230000,23.400000,14.133739,233500
2014-05-06,23.320000,23.620001,23.320000,23.510000,14.200178,477600
2014-05-07,23.680000,23.900000,23.620001,23.840000,14.399504,374200
2014-05-08,23.680000,23.969999,23.520000,23.629999,14.272649,1223300
2014-05-09,23.629999,23.930000,23.459999,23.850000,14.405543,332800
2014-05-12,23.830000,24.190001,23.830000,24.090000,14.550498,419700
2014-05-13,24.010000,24.200001,23.870001,23.980000,14.484069,463400
2014-05-14,24.010000,24.100000,23.750000,23.930000,14.453856,274900
2014-05-15,23.799999,23.850000,23.450001,23.830000,14.393464,378200
2014-05-16,23.799999,23.940001,23.420000,23.590000,14.248495,498900
2014-05-19,23.459999,23.750000,23.350000,23.610001,14.260578,121700
2014-05-20,23.520000,23.620001,23.270000,23.500000,14.194139,272400
2014-05-21,23.540001,23.639999,23.350000,23.490000,14.188096,235900
2014-05-22,23.469999,23.790001,23.330000,23.639999,14.278706,350100
2014-05-23,23.709999,23.950001,23.709999,23.820000,14.387409,460900
2014-05-27,23.959999,24.000000,23.790001,23.840000,14.399504,328200
2014-05-28,23.799999,23.860001,23.580000,23.709999,14.384336,281900
2014-05-29,23.760000,23.930000,23.750000,23.900000,14.499603,288600
2014-05-30,23.959999,23.969999,23.719999,23.950001,14.529943,251600
2014-06-02,24.000000,24.010000,23.799999,24.000000,14.560266,408300
2014-06-03,23.950001,24.190001,23.860001,24.139999,14.645210,603900
2014-06-04,24.110001,24.280001,24.010000,24.200001,14.681602,260000
2014-06-05,24.219999,24.850000,24.080000,24.840000,15.069876,308500
2014-06-06,24.940001,25.010000,24.719999,25.010000,15.173016,439000
2014-06-09,24.959999,25.040001,24.559999,24.600000,14.924273,336500
2014-06-10,24.490000,24.570000,24.049999,24.190001,14.675535,257500
2014-06-11,24.150000,24.270000,23.920000,24.000000,14.560266,185900
2014-06-12,24.070000,24.100000,23.750000,23.920000,14.511741,218600
2014-06-13,24.020000,24.129999,23.780001,23.969999,14.542070,233500
2014-06-16,23.920000,23.950001,23.700001,23.780001,14.426805,223700
2014-06-17,23.840000,23.920000,23.510000,23.709999,14.384336,385700
2014-06-18,23.790001,24.110001,23.690001,24.110001,14.627005,219200
2014-06-19,24.190001,24.290001,23.920000,24.280001,14.730146,193900
2014-06-20,24.320000,24.559999,24.270000,24.520000,14.875744,542000
2014-06-23,24.459999,24.549999,23.850000,23.930000,14.517805,313000
2014-06-24,23.910000,24.190001,23.770000,23.820000,14.451060,251300
2014-06-25,23.730000,24.129999,23.719999,24.120001,14.633065,383600
2014-06-26,24.120001,24.190001,23.860001,23.980000,14.611753,352300
2014-06-27,23.809999,24.350000,23.809999,24.120001,14.697046,861400
2014-06-30,24.049999,24.190001,23.770000,24.010000,14.630021,302700
2014-07-01,24.020000,24.320000,23.910000,24.030001,14.642207,346400
2014-07-02,24.120001,24.240000,23.940001,24.100000,14.684859,321500
2014-07-03,24.180000,24.180000,23.889999,23.900000,14.562997,145000
2014-07-07,23.850000,23.940001,23.610001,23.620001,14.392383,347800
2014-07-08,23.590000,23.840000,23.559999,23.740000,14.465499,171700
2014-07-09,23.770000,23.799999,23.530001,23.730000,14.459415,220700
2014-07-10,23.490000,23.969999,23.420000,23.900000,14.562997,344400
2014-07-11,23.910000,24.049999,23.530001,23.860001,14.538637,345300
2014-07-14,23.959999,24.059999,23.850000,23.900000,14.562997,184500
2014-07-15,23.889999,23.959999,23.639999,23.879999,14.550810,182400
2014-07-16,23.990000,24.170000,23.860001,24.129999,14.703147,145700
2014-07-17,24.040001,24.110001,23.730000,23.770000,14.483779,118900
2014-07-18,23.730000,24.129999,23.730000,23.950001,14.593462,153900
2014-07-21,24.150000,24.309999,24.010000,24.110001,14.690961,387700
2014-07-22,24.180000,24.450001,24.180000,24.370001,14.849382,255200
2014-07-23,24.379999,24.440001,24.110001,24.219999,14.757981,128100
2014-07-24,24.320000,24.440001,24.150000,24.350000,14.837195,400500
2014-07-25,24.200001,24.459999,24.000000,24.010000,14.630021,388900
2014-07-28,23.990000,24.000000,23.680000,23.809999,14.508162,246200
2014-07-29,23.700001,23.879999,23.650000,23.760000,14.544895,206700
2014-07-30,23.840000,23.879999,23.400000,23.559999,14.422455,160200
2014-07-31,23.510000,23.510000,22.840000,22.840000,13.981701,305200
2014-08-01,22.780001,23.059999,22.459999,22.629999,13.853150,523300
2014-08-04,22.709999,22.809999,22.459999,22.600000,13.834779,275100
2014-08-05,22.500000,22.780001,22.480000,22.620001,13.847020,290000
2014-08-06,22.600000,22.889999,22.590000,22.650000,13.865394,277200
2014-08-07,22.809999,22.959999,22.690001,22.910000,14.024555,486100
2014-08-08,22.900000,22.900000,22.570000,22.700001,13.896002,262700
2014-08-11,22.700001,22.870001,22.700001,22.780001,13.944975,357800
2014-08-12,22.799999,22.850000,22.500000,22.530001,13.791930,272700
2014-08-13,22.670000,22.750000,22.430000,22.709999,13.902122,290700
2014-08-14,22.670000,22.860001,22.660000,22.750000,13.926605,315500
2014-08-15,22.950001,23.030001,22.639999,22.799999,13.957212,602300
2014-08-18,22.950001,23.260000,22.860001,23.260000,14.238821,306800
2014-08-19,23.280001,23.580000,23.270000,23.559999,14.422455,197900
2014-08-20,23.570000,23.840000,23.450001,23.799999,14.569367,405700
2014-08-21,23.790001,23.850000,23.610001,23.760000,14.544895,346500
2014-08-22,23.750000,23.799999,23.309999,23.400000,14.324506,334000
2014-08-25,23.459999,23.580000,23.400000,23.549999,14.416340,231900
2014-08-26,23.600000,23.730000,23.549999,23.709999,14.514277,289500
2014-08-27,23.590000,23.680000,23.370001,23.389999,14.385121,233400
2014-08-28,23.260000,23.480000,23.260000,23.400000,14.391268,214200
2014-08-29,23.400000,23.590000,23.360001,23.430000,14.409733,1288400
