Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.400000,19.530001,19.049999,19.200001,15.270669,1519500
2014-01-03,19.240000,19.320000,19.070000,19.160000,15.238856,1167400
2014-01-06,19.190001,19.250000,18.590000,18.870001,15.008208,2190200
2014-01-07,18.910000,19.170000,18.799999,18.990000,15.103643,1705000
2014-01-08,18.969999,19.309999,18.809999,19.219999,15.286572,1575600
2014-01-09,19.320000,19.320000,19.049999,19.110001,15.199083,1774100
2014-01-10,19.170000,19.170000,18.969999,19.100000,15.191137,1031500
2014-01-13,19.070000,19.209999,18.510000,18.549999,14.753691,2346900
2014-01-14,18.650000,18.700001,18.350000,18.549999,14.753691,3214200
2014-01-15,18.620001,18.750000,18.389999,18.580000,14.777555,2017200
2014-01-16,18.620001,18.860001,18.580000,18.650000,14.833226,2281600
2014-01-17,18.709999,18.750000,18.360001,18.389999,14.626436,2453300
2014-01-21,18.400000,18.490000,17.889999,17.969999,14.292389,3170800
2014-01-22,18.020000,18.030001,17.799999,17.900000,14.236718,2519300
2014-01-23,17.850000,17.900000,17.540001,17.570000,13.974256,3729300
2014-01-24,17.500000,17.500000,16.950001,16.959999,13.489091,2778200
2014-01-27,17.129999,17.129999,16.450001,16.480000,13.107325,6213900
2014-01-28,16.670000,16.910000,16.209999,16.850000,13.401603,8353800
2014-01-29,16.850000,16.959999,16.469999,16.600000,13.202768,4556500
2014-01-30,16.820000,16.910000,16.540001,16.709999,13.290252,2805500
2014-01-31,16.490000,16.709999,16.299999,16.500000,13.123227,2057600
2014-02-03,16.500000,16.500000,15.800000,15.830000,12.590349,3902200
2014-02-04,15.940000,16.120001,15.800000,15.960000,12.693743,2450600
2014-02-05,16.360001,16.379999,15.880000,16.110001,12.813046,3010500
2014-02-06,16.200001,16.280001,16.110001,16.200001,12.884624,2775000
2014-02-07,16.420000,16.469999,16.150000,16.330000,12.988022,4344500
2014-02-10,16.320000,16.370001,16.219999,16.309999,12.972117,1849000
2014-02-11,17.170000,17.180000,16.639999,17.110001,13.608393,3228400
2014-02-12,17.209999,17.500000,17.160000,17.400000,13.839049,3058100
2014-02-13,17.240000,17.680000,17.230000,17.670000,14.053782,2238700
2014-02-14,17.660000,17.889999,17.639999,17.870001,14.212854,1586000
2014-02-18,17.790001,18.100000,17.680000,18.010000,14.324204,2899800
2014-02-19,17.900000,18.410000,17.879999,18.000000,14.316252,4500600
2014-02-20,18.080000,18.120001,17.760000,18.000000,14.316252,2454400
2014-02-21,18.040001,18.070000,17.650000,17.660000,14.045834,1905800
2014-02-24,17.350000,17.430000,17.030001,17.070000,13.576578,2538500
2014-02-25,17.000000,17.139999,16.580000,16.930000,13.465230,2813200
2014-02-26,17.040001,17.299999,17.000000,17.180000,13.664063,2110100
2014-02-27,17.190001,17.440001,17.100000,17.410000,13.846995,1695500
2014-02-28,17.320000,17.600000,17.250000,17.440001,13.870857,2008300
2014-03-03,17.290001,17.340000,17.030001,17.209999,13.687925,1835300
2014-03-04,17.469999,17.570000,17.230000,17.240000,13.711788,2508800
2014-03-05,17.219999,17.520000,17.120001,17.510000,13.926531,1816900
2014-03-06,17.620001,17.709999,17.540001,17.670000,14.053782,2218600
2014-03-07,17.650000,17.770000,17.230000,17.709999,14.085599,2422200
2014-03-10,17.650000,17.730000,17.059999,17.139999,13.632253,2386300
2014-03-11,17.209999,17.370001,17.020000,17.200001,13.679971,1679200
2014-03-12,17.080000,17.290001,16.870001,16.910000,13.449327,1569100
2014-03-13,16.969999,17.070000,16.469999,16.530001,13.147093,2851700
2014-03-14,16.480000,16.629999,16.290001,16.520000,13.139136,2218800
2014-03-17,16.610001,16.879999,16.510000,16.680000,13.266393,1727900
2014-03-18,16.690001,16.980000,16.520000,16.930000,13.465230,2074400
2014-03-19,16.940001,17.230000,16.730000,17.129999,13.624299,2272500
2014-03-20,17.090000,17.209999,16.879999,17.080000,13.584534,1501600
2014-03-21,17.100000,17.719999,17.010000,17.680000,14.061742,3540300
2014-03-24,17.760000,18.160000,17.650000,17.900000,14.236718,2542700
2014-03-25,18.000000,18.240000,17.930000,18.110001,14.403738,3636100
2014-03-26,18.250000,18.280001,17.799999,17.799999,14.157179,2989000
2014-03-27,17.680000,17.910000,17.420000,17.549999,14.049110,3611400
2014-03-28,17.670000,17.820000,17.360001,17.440001,13.961055,2398100
2014-03-31,17.879999,17.969999,17.650000,17.790001,14.241236,3494000
2014-04-01,17.990000,18.020000,17.620001,17.840000,14.281266,2061500
2014-04-02,17.889999,18.200001,17.850000,18.059999,14.457379,2947300
2014-04-03,18.020000,18.690001,18.000000,18.620001,14.905668,5038700
2014-04-04,18.660000,18.700001,18.200001,18.320000,14.665514,3067100
2014-04-07,18.299999,18.469999,17.990000,18.360001,14.697533,3313900
2014-04-08,18.370001,18.719999,18.320000,18.549999,14.849633,3375000
2014-04-09,18.629999,18.940001,18.530001,18.799999,15.049763,2516500
2014-04-10,18.709999,18.830000,18.280001,18.430000,14.753569,2567000
2014-04-11,18.350000,18.530001,18.100000,18.400000,14.729556,3143500
2014-04-14,18.559999,19.049999,18.490000,18.830000,15.073776,4089800
2014-04-15,18.780001,18.900000,18.340000,18.860001,15.097788,3441000
2014-04-16,18.950001,19.000000,18.620001,18.900000,15.129811,2646900
2014-04-17,18.570000,19.070000,17.930000,18.000000,14.409343,7951200
2014-04-21,18.240000,18.290001,17.930000,18.230000,14.593463,3266900
2014-04-22,18.309999,18.410000,18.129999,18.190001,14.561440,2798300
2014-04-23,18.250000,18.559999,18.200001,18.549999,14.849633,2751500
2014-04-24,18.610001,18.680000,18.350000,18.650000,14.929686,2986500
2014-04-25,18.490000,18.670000,18.270000,18.379999,14.713545,1786100
2014-04-28,18.350000,18.370001,17.830000,18.080000,14.473385,2292700
2014-04-29,18.100000,18.549999,18.070000,18.170000,14.545432,1236200
2014-04-30,18.170000,18.400000,18.000000,18.270000,14.625484,2569300
2014-05-01,18.370001,18.590000,18.240000,18.480000,14.793595,2488900
2014-05-02,18.480000,18.790001,18.360001,18.480000,14.793595,2410500
2014-05-05,18.430000,18.459999,17.790001,17.900000,14.329291,2592000
2014-05-06,17.910000,17.959999,17.760000,17.860001,14.297272,1756500
2014-05-07,17.840000,18.020000,17.770000,17.990000,14.401341,1352600
2014-05-08,17.950001,18.360001,17.889999,17.940001,14.361317,1916000
2014-05-09,17.879999,17.969999,17.530001,17.610001,14.097145,2326300
2014-05-12,17.750000,18.320000,17.709999,18.250000,14.609475,1909900
2014-05-13,18.190001,18.400000,17.990000,18.070000,14.465381,2461800
2014-05-14,18.260000,18.290001,18.090000,18.139999,14.521416,1223600
2014-05-15,18.370001,18.370001,17.830000,18.080000,14.473385,2360000
2014-05-16,18.049999,18.240000,17.790001,18.209999,14.577454,1544800
2014-05-19,18.100000,18.299999,18.059999,18.120001,14.505402,1320400
2014-05-20,18.040001,18.040001,17.549999,17.650000,14.129166,1747700
2014-05-21,17.760000,17.820000,17.490000,17.660000,14.137169,1628900
