Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,33.133183,33.349888,32.948082,33.191875,23.757811,2846054
2014-01-03,33.196388,33.313770,32.654629,32.726864,23.424969,2418780
2014-01-06,32.920994,33.101582,32.686230,32.722347,23.421740,2395966
2014-01-07,32.853271,32.948082,32.365688,32.388264,23.182606,4024876
2014-01-08,32.586906,32.758465,32.361176,32.735893,23.431429,3215294
2014-01-09,32.839729,32.866817,32.338600,32.623024,23.350643,1248374
2014-01-10,32.772011,33.029346,32.663658,32.943565,23.580072,1200530
2014-01-13,32.790070,32.979683,32.198647,32.270882,23.098593,1501327
2014-01-14,32.460499,33.340858,32.252823,33.331829,23.857988,2504501
2014-01-15,33.340858,33.634312,33.187359,33.363430,23.880608,1405639
2014-01-16,33.218964,33.453724,33.218964,33.345371,23.867682,1292453
2014-01-17,33.300224,33.733635,33.237019,33.575623,24.032482,1658149
2014-01-21,33.783295,33.896164,33.227989,33.571106,24.029257,1367763
2014-01-22,33.697517,33.972912,33.449211,33.860046,24.236071,1800352
2014-01-23,33.860046,33.860046,33.232506,33.512417,23.987247,1947206
2014-01-24,33.142212,33.160271,32.410835,32.437923,23.218149,2196616
2014-01-27,33.291195,33.291195,32.126411,32.528217,23.282787,3498814
2014-01-28,32.604965,33.042889,32.604965,32.848759,23.512218,2961234
2014-01-29,32.677200,32.677200,31.878103,32.081264,22.962858,2768972
2014-01-30,32.528217,32.591423,32.279911,32.388264,23.182606,3291712
2014-01-31,31.932280,32.279911,31.823929,32.027088,22.924082,4100186
2014-02-03,32.144470,32.203159,30.916479,30.979685,22.174389,5113771
2014-02-04,31.200903,31.611738,31.060947,31.539503,22.575085,3270005
2014-02-05,31.218962,31.602709,31.024832,31.539503,22.575085,2115325
2014-02-06,31.575621,32.726864,31.575621,32.677200,23.389429,3814894
2014-02-07,31.331827,32.076748,29.941309,31.756208,22.730202,12854088
2014-02-10,31.972912,32.063206,31.611738,31.742664,22.720514,3791858
2014-02-11,31.742664,31.832956,31.525959,31.584650,22.607407,3546215
2014-02-12,31.724606,31.977427,31.530474,31.774265,22.743126,3637694
2014-02-13,31.480812,31.841986,31.417606,31.733635,22.714045,2942185
2014-02-14,31.674944,32.090294,31.616253,32.076748,22.959635,3616431
2014-02-18,32.058689,32.094807,31.534988,31.593679,22.613869,2701857
2014-02-19,31.498871,31.697517,31.241535,31.282167,22.390898,2929781
2014-02-20,31.390518,31.390518,30.984200,31.255079,22.371506,3228584
2014-02-21,31.268623,31.670429,31.218962,31.584650,22.607407,2050204
2014-02-24,31.638826,32.361176,31.625282,31.896164,22.830381,2493869
2014-02-25,31.963882,32.139954,31.851015,32.108353,22.982254,3415309
2014-02-26,32.108353,32.604965,32.058689,32.505642,23.266619,3069769
2014-02-27,32.410835,32.948082,32.252823,32.943565,23.580072,2774288
2014-02-28,32.957111,33.115124,32.586906,32.902935,23.550995,3055814
2014-03-03,32.478554,33.006771,32.410835,32.835213,23.502522,3323608
2014-03-04,32.984200,33.720089,32.902935,33.702030,24.122971,3955325
2014-03-05,33.702030,33.837471,33.571106,33.769753,24.171442,2468396
2014-03-06,33.787811,34.455982,33.747177,34.194130,24.475197,2950823
2014-03-07,34.428894,34.595936,34.085777,34.176071,24.462269,2086087
2014-03-10,34.135441,34.212189,33.476299,33.715576,24.132668,2688346
2014-03-11,33.990971,34.153500,33.693001,33.792324,24.187601,3047176
2014-03-12,33.453724,33.598194,33.218964,33.349888,23.983063,2599746
2014-03-13,33.431152,33.444695,32.510159,32.573364,23.424629,6262248
2014-03-14,32.505642,32.961624,32.469524,32.564335,23.418135,3757304
2014-03-17,32.844242,32.988712,32.704288,32.979683,23.716833,1948535
2014-03-18,32.979683,33.453724,32.979683,33.318283,23.960327,1690931
2014-03-19,33.264107,33.503387,32.862301,33.083523,23.791506,2122192
2014-03-20,32.911964,33.079006,32.636570,32.781036,23.573975,2262401
2014-03-21,33.119640,33.196388,32.785553,32.925507,23.677868,2868425
2014-03-24,32.993229,33.106094,32.465012,32.550789,23.408398,2003246
2014-03-25,32.758465,33.015800,32.595936,32.925507,23.677868,2222088
2014-03-26,32.997742,33.029346,32.045147,32.045147,23.044773,3116948
2014-03-27,32.040630,32.343117,31.765238,32.288940,23.220098,4025984
2014-03-28,32.474041,33.214447,32.410835,32.808125,23.593458,2514247
2014-03-31,33.011288,33.386005,33.011288,33.060947,23.775270,2729102
2014-04-01,33.286682,33.643341,33.209930,33.462753,24.064230,3678450
2014-04-02,33.503387,33.823929,33.453724,33.711060,24.242794,2467510
2014-04-03,33.634312,33.729118,33.038376,33.133183,23.827215,2157853
2014-04-04,33.435665,33.652370,32.609482,32.681717,23.502552,2036249
2014-04-07,32.636570,32.636570,31.742664,32.058689,23.054508,3124258
2014-04-08,32.063206,32.424377,31.986456,32.072235,23.064253,2738405
2014-04-09,32.130924,32.790070,32.099323,32.532730,23.395412,3501694
2014-04-10,32.613995,32.717834,31.756208,31.873589,22.921396,1976001
2014-04-11,31.674944,31.918736,31.246050,31.345371,22.541540,2390428
2014-04-14,31.796841,32.067719,31.408579,31.661400,22.768806,3734711
2014-04-15,31.954853,32.027088,31.205418,31.828442,22.888931,3118942
2014-04-16,32.189617,32.288940,31.990971,32.212189,23.164900,2718913
2014-04-17,32.148983,32.577877,32.126411,32.446953,23.333725,2871305
2014-04-21,32.415352,32.573364,32.266365,32.496613,23.369434,2144120
2014-04-22,32.595936,33.182842,32.564335,33.056435,23.772018,2619459
2014-04-23,33.051918,33.268623,32.826183,33.011288,23.739561,4142714
2014-04-24,33.390518,33.860046,33.051918,33.729118,24.255775,3542228
2014-04-25,33.584648,33.665913,32.690746,32.799095,23.586962,2907409
2014-04-28,33.024830,33.024830,31.643341,32.009029,23.018799,4459903
2014-04-29,32.076748,32.388264,32.013542,32.361176,23.272041,2380461
2014-04-30,32.288940,32.415352,32.076748,32.207676,23.161655,2519563
2014-05-01,32.207676,32.329571,31.968397,32.288940,23.220098,3033886
2014-05-02,32.487583,33.047405,32.478554,32.523701,23.388922,2008562
2014-05-05,32.433411,32.595936,32.194130,32.487583,23.362946,2454442
2014-05-06,32.478554,32.609482,32.239277,32.243793,23.187628,1696026
2014-05-07,32.374718,32.379234,31.823929,32.316029,23.239578,2005682
2014-05-08,32.198647,32.762981,32.045147,32.194130,23.151915,1469653
2014-05-09,32.167042,32.446953,31.936794,32.392776,23.294765,2511589
2014-05-12,32.618511,32.997742,32.428894,32.866817,23.635666,1513510
2014-05-13,33.006771,33.006771,32.663658,32.803612,23.590216,1808991
2014-05-14,32.907448,32.907448,32.537247,32.636570,23.470093,2273919
2014-05-15,32.428894,32.487583,31.715576,31.986456,23.002562,1757160
2014-05-16,31.837473,32.009029,31.557562,32.004517,23.015556,2471719
2014-05-19,31.986456,32.316029,31.778782,32.266365,23.203863,1583282
2014-05-20,32.243793,32.275394,31.796841,31.878103,22.924644,1979102
2014-05-21,32.058689,32.406322,32.058689,32.311512,23.236328,1342955
2014-05-22,32.320541,32.505642,32.203159,32.252823,23.194120,1949200
2014-05-23,32.334087,32.672688,32.288940,32.604965,23.447357,1272739
2014-05-27,32.722347,33.051918,32.483070,32.668171,23.492809,1762919
2014-05-28,32.501129,33.101582,32.410835,32.902935,23.776648,2621896
2014-05-29,32.948082,33.011288,32.582394,32.979683,23.832106,2205697
2014-05-30,32.957111,33.417606,32.835213,33.376976,24.119205,2696320
2014-06-02,33.399548,33.832958,33.345371,33.787811,24.416080,2135039
2014-06-03,33.674946,33.909706,33.485329,33.751694,24.389980,2814601
2014-06-04,33.611736,33.711060,33.489841,33.656883,24.321466,3226369
2014-06-05,33.787811,33.828442,33.440182,33.693001,24.347567,2907409
2014-06-06,33.846500,33.860046,33.706547,33.837471,24.451967,3556183
2014-06-09,33.860046,33.860046,33.521446,33.571106,24.259483,2986485
2014-06-10,33.525959,33.553047,33.205418,33.498871,24.207285,2892126
2014-06-11,33.322800,33.408577,33.069977,33.155758,23.959341,3354618
2014-06-12,33.128670,33.146729,32.623024,32.704288,23.633102,2720020
2014-06-13,32.744923,32.934536,32.505642,32.717834,23.642883,3387178
2014-06-16,32.654629,32.848759,32.568848,32.731377,23.652670,1802346
2014-06-17,32.627541,32.862301,32.586906,32.799095,23.701605,2018529
2014-06-18,32.799095,33.029346,32.731377,33.024830,23.864727,4710419
2014-06-19,33.015800,33.494358,32.984200,33.471783,24.187712,3029234
2014-06-20,33.503387,33.729118,33.417606,33.647858,24.314949,2801754
2014-06-23,33.720089,33.805870,33.471783,33.774265,24.406296,3316741
2014-06-24,33.697517,34.000000,33.417606,33.458241,24.177919,2739069
2014-06-25,33.571106,34.176071,33.376976,33.932281,24.520483,6556400
2014-06-26,33.968395,34.144470,33.656883,34.045147,24.602043,2662209
2014-06-27,33.977428,34.306999,33.747177,34.139954,24.670547,4800127
2014-06-30,34.112865,34.225735,33.869076,34.185101,24.703175,1753616
2014-07-01,34.221218,34.302483,33.977428,34.135441,24.667290,1757603
2014-07-02,34.162529,34.334087,34.054176,34.306999,24.791262,1384375
2014-07-03,34.392776,34.604965,34.356659,34.568848,24.980486,1080256
2014-07-07,34.266365,34.505642,34.266365,34.451466,24.895666,1249260
2014-07-08,34.257336,34.302483,34.076748,34.230247,24.735796,2632971
2014-07-09,34.406322,34.785553,34.239277,34.776524,25.130556,2383562
2014-07-10,34.221218,34.835213,34.221218,34.627541,25.022902,2035806
2014-07-11,34.613995,34.781036,34.442436,34.699776,25.075102,1428011
2014-07-14,34.907448,35.110607,34.654629,34.659142,25.045734,1527021
2014-07-15,34.668171,34.866817,34.329571,34.528217,24.951122,1730580
2014-07-16,34.704288,34.785553,34.451466,34.496613,24.928284,1613849
2014-07-17,34.302483,34.496613,33.927765,33.968395,24.546574,1387255
2014-07-18,34.162529,34.510159,34.094807,34.469524,24.908710,1079148
