Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,10.150000,10.150000,9.970000,9.970000,6.532462,1324600
2014-01-03,9.990000,9.990000,9.900000,9.910000,6.493150,911700
2014-01-06,9.920000,9.990000,9.840000,9.860000,6.460390,1359400
2014-01-07,10.090000,10.180000,9.970000,10.060000,6.591432,1108700
2014-01-08,10.080000,10.110000,10.010000,10.080000,6.604536,876600
2014-01-09,10.120000,10.150000,10.080000,10.100000,6.617639,848200
2014-01-10,10.100000,10.160000,10.010000,10.090000,6.611088,921900
2014-01-13,10.090000,10.120000,10.000000,10.020000,6.565224,1127600
2014-01-14,10.050000,10.070000,10.000000,10.040000,6.578328,594700
2014-01-15,10.040000,10.130000,10.000000,10.030000,6.571775,661500
2014-01-16,10.030000,10.030000,9.910000,9.960000,6.525909,738500
2014-01-17,9.980000,10.090000,9.960000,10.060000,6.591432,750900
2014-01-21,10.110000,10.230000,10.100000,10.220000,6.696267,1442300
2014-01-22,10.250000,10.330000,10.220000,10.320000,6.761786,846900
2014-01-23,10.250000,10.250000,10.090000,10.210000,6.689713,809500
2014-01-24,10.150000,10.160000,10.010000,10.030000,6.571775,1017100
2014-01-27,10.010000,10.030000,9.880000,9.880000,6.473494,1054300
2014-01-28,9.890000,10.040000,9.880000,9.950000,6.519358,1190700
2014-01-29,9.890000,9.980000,9.840000,9.870000,6.466939,2002800
2014-01-30,10.000000,10.010000,9.770000,9.920000,6.499701,1669200
2014-01-31,9.810000,9.870000,9.670000,9.690000,6.349004,1464100
2014-02-03,9.660000,9.700000,9.280000,9.300000,6.093471,2737800
2014-02-04,9.360000,9.570000,9.280000,9.540000,6.250721,2336200
2014-02-05,9.540000,9.590000,9.500000,9.550000,6.257274,1490600
2014-02-06,9.540000,9.600000,9.460000,9.570000,6.270377,1037100
2014-02-07,9.600000,9.700000,9.520000,9.660000,6.329348,1653300
2014-02-10,9.640000,9.750000,9.610000,9.720000,6.368659,756600
2014-02-11,9.680000,9.800000,9.680000,9.780000,6.407972,1376500
2014-02-12,9.770000,9.920000,9.720000,9.780000,6.407972,938900
2014-02-13,9.710000,9.800000,9.640000,9.770000,6.401422,1242900
2014-02-14,9.740000,9.880000,9.740000,9.880000,6.473494,731000
2014-02-18,9.900000,9.950000,9.820000,9.920000,6.499701,606100
2014-02-19,9.900000,9.920000,9.660000,9.740000,6.381765,2069700
2014-02-20,9.750000,9.820000,9.690000,9.790000,6.414525,1659400
2014-02-21,9.820000,9.920000,9.780000,9.870000,6.466939,2230200
2014-02-24,9.880000,10.020000,9.880000,10.000000,6.552121,1384200
2014-02-25,9.990000,10.020000,9.910000,9.940000,6.512808,1044300
2014-02-26,9.990000,10.010000,9.900000,9.990000,6.545566,802600
2014-02-27,9.970000,10.030000,9.910000,10.020000,6.565224,671200
2014-02-28,10.010000,10.160000,10.000000,10.080000,6.604536,1297400
2014-03-03,9.970000,10.100000,9.890000,10.100000,6.617639,1694900
2014-03-04,10.160000,10.260000,10.150000,10.240000,6.709369,1529300
2014-03-05,10.340000,10.400000,10.320000,10.370000,6.794547,1400000
2014-03-06,10.390000,10.420000,10.300000,10.320000,6.761786,1373300
2014-03-07,10.380000,10.450000,10.270000,10.400000,6.814204,1287400
2014-03-10,10.420000,10.450000,10.320000,10.370000,6.794547,1445300
2014-03-11,10.380000,10.390000,10.270000,10.270000,6.729025,2648900
2014-03-12,10.110000,10.170000,9.970000,10.040000,6.649549,1684300
2014-03-13,10.080000,10.120000,9.950000,9.980000,6.609811,1450000
2014-03-14,9.950000,10.090000,9.940000,10.020000,6.636304,804000
2014-03-17,10.040000,10.140000,10.020000,10.100000,6.689289,1514800
2014-03-18,10.130000,10.250000,10.090000,10.220000,6.768766,1300600
2014-03-19,10.230000,10.360000,10.140000,10.240000,6.782012,1099500
2014-03-20,10.210000,10.450000,10.190000,10.390000,6.881357,1492700
2014-03-21,10.400000,10.500000,10.340000,10.350000,6.854866,2528800
2014-03-24,10.380000,10.480000,10.290000,10.340000,6.848241,1022900
2014-03-25,10.390000,10.440000,10.310000,10.400000,6.887980,1198700
2014-03-26,10.450000,10.450000,10.280000,10.280000,6.808500,1129300
2014-03-27,10.280000,10.340000,10.090000,10.090000,6.682666,958100
2014-03-28,10.100000,10.280000,10.050000,10.240000,6.782012,1114100
2014-03-31,10.320000,10.430000,10.280000,10.410000,6.894603,989900
2014-04-01,10.450000,10.650000,10.340000,10.620000,7.033686,1990800
2014-04-02,10.660000,10.670000,10.530000,10.550000,6.987323,1092700
2014-04-03,10.530000,10.580000,10.460000,10.550000,6.987323,1393700
2014-04-04,10.580000,10.600000,10.370000,10.380000,6.874733,2083600
2014-04-07,10.380000,10.560000,10.300000,10.550000,6.987323,2616700
2014-04-08,10.550000,10.710000,10.450000,10.530000,6.974079,3136500
2014-04-09,10.530000,10.680000,10.530000,10.660000,7.060179,2539200
2014-04-10,10.680000,10.710000,10.320000,10.390000,6.881357,3132200
2014-04-11,10.320000,10.530000,10.200000,10.330000,6.841618,1789700
2014-04-14,10.380000,10.560000,10.310000,10.540000,6.980702,2102800
2014-04-15,10.540000,10.630000,10.440000,10.600000,7.020441,1902900
2014-04-16,10.630000,10.690000,10.560000,10.640000,7.046935,1390000
2014-04-17,10.610000,10.670000,10.530000,10.650000,7.053557,1631500
2014-04-21,10.630000,10.700000,10.580000,10.610000,7.027062,1217600
2014-04-22,10.600000,10.680000,10.540000,10.620000,7.033686,1522800
2014-04-23,10.650000,10.810000,10.590000,10.800000,7.152903,1668200
2014-04-24,10.780000,10.780000,10.260000,10.330000,6.841618,3289400
2014-04-25,10.260000,10.270000,10.040000,10.050000,6.656175,2264000
2014-04-28,10.120000,10.150000,9.950000,10.010000,6.629680,2061300
2014-04-29,10.010000,10.080000,9.940000,9.960000,6.596566,1983400
2014-04-30,9.930000,10.030000,9.880000,10.020000,6.636304,1246400
2014-05-01,10.010000,10.010000,9.780000,9.840000,6.517087,2296700
2014-05-02,9.850000,9.990000,9.800000,9.890000,6.550205,1887400
2014-05-05,9.800000,9.890000,9.760000,9.830000,6.510465,1738600
