Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,35.009998,35.310001,34.720001,35.270000,32.937042,712200
2014-01-03,35.230000,35.720001,34.910000,35.680000,33.319901,894200
2014-01-06,35.959999,36.790001,35.869999,36.650002,34.225758,2879200
2014-01-07,37.000000,37.090000,36.570000,36.970001,34.524609,1272600
2014-01-08,36.980000,37.189999,36.750000,37.029999,34.580627,1274300
2014-01-09,36.180000,36.580002,35.180000,36.299999,33.898903,1167900
2014-01-10,36.450001,36.980000,36.110001,36.939999,34.496582,1002700
2014-01-13,36.910000,37.119999,35.230000,35.430000,33.086456,1095100
2014-01-14,35.540001,35.970001,35.470001,35.820000,33.450649,739700
2014-01-15,36.009998,36.470001,35.810001,36.360001,33.954941,632700
2014-01-16,36.209999,36.619999,36.070000,36.389999,33.982948,825400
2014-01-17,36.430000,36.430000,36.049999,36.299999,33.898903,492800
2014-01-21,36.540001,36.540001,35.459999,35.549999,33.198505,347600
2014-01-22,35.689999,35.700001,34.990002,35.250000,32.918358,460100
2014-01-23,35.060001,35.389999,34.110001,34.450001,32.171284,705300
2014-01-24,34.110001,34.200001,33.119999,33.790001,31.554934,1028400
2014-01-27,33.790001,34.700001,33.490002,33.810001,31.573633,1221300
2014-01-28,33.910000,34.459999,33.660000,33.900002,31.657663,530200
2014-01-29,33.509998,33.930000,33.009998,33.639999,31.414864,663200
2014-01-30,33.990002,34.310001,33.849998,33.910000,31.666998,674400
2014-01-31,33.520000,34.049999,33.340000,33.770000,31.536263,1386600
2014-02-03,33.770000,33.910000,32.700001,33.230000,31.031971,1007600
2014-02-04,33.410000,33.689999,33.150002,33.599998,31.377499,655300
2014-02-05,33.549999,33.619999,33.090000,33.230000,31.031971,629500
2014-02-06,33.360001,33.619999,32.830002,33.110001,30.919918,689700
2014-02-07,33.150002,34.090000,33.009998,33.959999,31.713686,880700
2014-02-10,33.910000,34.660000,33.790001,34.490002,32.208622,633400
2014-02-11,34.529999,34.779999,34.180000,34.610001,32.320698,899300
2014-02-12,34.619999,36.580002,34.619999,35.169998,32.843651,926700
2014-02-13,34.639999,35.619999,33.619999,35.490002,33.142487,1475200
2014-02-14,35.480000,35.900002,35.310001,35.580002,33.226532,490600
2014-02-18,35.759998,36.720001,35.459999,35.660000,33.301247,708400
2014-02-19,35.560001,35.639999,35.020000,35.220001,32.890339,552200
2014-02-20,35.200001,35.240002,34.560001,34.990002,32.675568,491400
2014-02-21,35.060001,35.189999,34.570000,34.959999,32.647541,606300
2014-02-24,34.959999,35.820000,34.889999,35.759998,33.394627,753000
2014-02-25,35.730000,36.070000,35.400002,35.560001,33.207859,766200
2014-02-26,35.549999,35.720001,35.259998,35.389999,33.058395,530700
2014-02-27,35.380001,35.669998,35.049999,35.470001,33.133133,376100
2014-02-28,35.389999,36.000000,35.389999,35.869999,33.506767,601400
2014-03-03,35.549999,35.689999,35.139999,35.509998,33.170486,632700
2014-03-04,35.840000,36.369999,35.830002,36.200001,33.815033,430200
2014-03-05,36.230000,36.750000,36.110001,36.580002,34.170006,262200
2014-03-06,36.740002,37.119999,36.730000,36.849998,34.422215,437300
2014-03-07,37.040001,37.310001,36.889999,37.009998,34.571663,258800
2014-03-10,36.900002,37.270000,36.330002,36.919998,34.487595,433300
2014-03-11,36.830002,37.130001,36.160000,36.400002,34.001873,797500
2014-03-12,36.090000,36.240002,35.689999,35.939999,33.572174,701400
2014-03-13,36.110001,36.549999,35.529999,35.820000,33.460075,920300
2014-03-14,35.660000,35.660000,34.369999,35.360001,33.030376,770500
2014-03-17,35.630001,35.830002,35.340000,35.599998,33.254566,422500
2014-03-18,36.040001,37.750000,35.090000,36.299999,33.908447,1361400
2014-03-19,36.310001,36.540001,35.150002,35.230000,32.908943,2771100
2014-03-20,35.799999,36.869999,35.799999,36.700001,34.282089,12384400
2014-03-21,37.000000,37.250000,36.150002,36.610001,34.198021,2751700
2014-03-24,36.619999,37.209999,36.119999,36.750000,34.328773,1680900
2014-03-25,36.869999,37.180000,36.279999,36.500000,34.095268,1312100
2014-03-26,36.660000,36.750000,35.880001,35.930000,33.562832,1818000
2014-03-27,35.790001,36.419998,35.200001,35.619999,33.273251,1362800
2014-03-28,35.720001,35.810001,35.209999,35.490002,33.151817,3758300
2014-03-31,36.230000,36.680000,35.880001,36.270000,33.880428,2146000
2014-04-01,36.509998,36.779999,36.380001,36.770000,34.347485,1015400
2014-04-02,36.970001,37.209999,36.480000,37.169998,34.721115,2482100
2014-04-03,37.220001,37.480000,37.049999,37.259998,34.805195,1470200
2014-04-04,37.389999,37.590000,36.669998,36.810001,34.384846,1386400
2014-04-07,36.770000,36.970001,35.840000,35.980000,33.609528,1983800
2014-04-08,35.950001,36.830002,35.660000,35.910000,33.544144,2864000
2014-04-09,35.990002,36.369999,35.650002,36.290001,33.899090,1648800
2014-04-10,36.270000,36.759998,35.400002,35.689999,33.338627,2268500
2014-04-11,35.380001,35.619999,34.650002,34.799999,32.507267,1367500
2014-04-14,35.060001,35.060001,34.240002,34.580002,32.301765,1155400
2014-04-15,34.599998,34.740002,34.110001,34.599998,32.320461,1039500
2014-04-16,34.860001,35.240002,34.700001,34.900002,32.600697,750100
2014-04-17,34.889999,35.590000,34.889999,35.509998,33.170486,706300
2014-04-21,35.570000,35.570000,35.000000,35.240002,32.918278,470200
2014-04-22,35.340000,36.130001,35.090000,35.830002,33.469414,1203200
2014-04-23,35.860001,35.959999,35.349998,35.529999,33.189171,953100
2014-04-24,36.020000,36.209999,35.150002,35.369999,33.039715,1398200
2014-04-25,35.299999,35.450001,34.959999,35.130001,32.815514,616400
2014-04-28,35.310001,35.310001,33.759998,34.320000,32.058899,1390000
2014-04-29,34.869999,35.279999,34.570000,34.830002,32.535294,1046400
